年次,Year,地域階層,地域コード,地域,District,福祉事務所 Welfare offices／事務所数 Offices,福祉事務所 Welfare offices／地区担当員数 Caseworkers,民生委員 Local welfare commissioners (volunteers)／定員数 Maximum number,民生委員 Local welfare commissioners (volunteers)／現在員 Current number／総数 Total,民生委員 Local welfare commissioners (volunteers)／現在員 Current number／男 Male,民生委員 Local welfare commissioners (volunteers)／現在員 Current number／女 Female
平成21,2009,0,13000,東京都,Tokyo-to,67,1688,10461,10124,2712,7412
平成22,2010,0,13000,東京都,Tokyo-to,67,1869,10461,10216,2712,7504
平成23,2011,0,13000,東京都,Tokyo-to,67,2094,10585,10054,2563,7491
平成24,2012,0,13000,東京都,Tokyo-to,67,2094,10585,10135,2580,7555
平成25,2013,0,13000,東京都,Tokyo-to,67,2213,10610,10194,2598,7596
平成25,2013,1,13100,区部,All ku,36,1738,7377,7148,1728,5420
平成25,2013,2,13101,千代田区,Chiyoda-ku,1,7,52,51,15,36
平成25,2013,2,13102,中央区,Chuo-ku,1,10,102,98,24,74
平成25,2013,2,13103,港区,Minato-ku,1,25,169,146,45,101
平成25,2013,2,13104,新宿区,Shinjuku-ku,1,90,302,293,66,227
平成25,2013,2,13105,文京区,Bunkyo-ku,1,19,146,141,43,98
平成25,2013,2,13106,台東区,Taito-ku,1,76,214,210,73,137
平成25,2013,2,13107,墨田区,Sumida-ku,1,67,209,191,56,135
平成25,2013,2,13108,江東区,Koto-ku,1,68,311,284,78,206
平成25,2013,2,13109,品川区,Shinagawa-ku,1,40,322,309,78,231
平成25,2013,2,13110,目黒区,Meguro-ku,1,26,231,225,34,191
平成25,2013,2,13111,大田区,Ota-ku,1,137,503,496,114,382
平成25,2013,2,13112,世田谷区,Setagaya-ku,5,86,622,604,82,522
平成25,2013,2,13113,渋谷区,Shibuya-ku,1,29,185,184,34,150
平成25,2013,2,13114,中野区,Nakano-ku,1,57,305,295,43,252
平成25,2013,2,13115,杉並区,Suginami-ku,1,67,433,415,86,329
平成25,2013,2,13116,豊島区,Toshima-ku,1,68,252,242,35,207
平成25,2013,2,13117,北区,Kita-ku,1,90,324,311,81,230
平成25,2013,2,13118,荒川区,Arakawa-ku,1,48,215,215,64,151
平成25,2013,2,13119,板橋区,Itabashi-ku,3,158,513,505,117,388
平成25,2013,2,13120,練馬区,Nerima-ku,4,113,570,561,137,424
平成25,2013,2,13121,足立区,Adachi-ku,5,198,558,548,181,367
平成25,2013,2,13122,葛飾区,Katsushika-ku,1,95,404,390,108,282
平成25,2013,2,13123,江戸川区,Edogawa-ku,1,164,435,434,134,300
平成25,2013,1,13200,市部,All shi,26,459,3034,2853,804,2049
平成25,2013,2,13201,八王子市,Hachioji-shi,1,51,445,438,147,291
平成25,2013,2,13202,立川市,Tachikawa-shi,1,39,157,155,40,115
平成25,2013,2,13203,武蔵野市,Musashino-shi,1,18,98,95,16,79
平成25,2013,2,13204,三鷹市,Mitaka-shi,1,27,124,113,18,95
平成25,2013,2,13205,青梅市,Ome-shi,1,14,141,141,67,74
平成25,2013,2,13206,府中市,Fuchu-shi,1,27,173,170,45,125
平成25,2013,2,13207,昭島市,Akishima-shi,1,14,85,78,19,59
平成25,2013,2,13208,調布市,Chofu-shi,1,23,158,153,68,85
平成25,2013,2,13209,町田市,Machida-shi,1,42,254,244,73,171
平成25,2013,2,13210,小金井市,Koganei-shi,1,9,84,67,11,56
平成25,2013,2,13211,小平市,Kodaira-shi,1,20,137,124,18,106
平成25,2013,2,13212,日野市,Hino-shi,1,14,133,128,37,91
平成25,2013,2,13213,東村山市,Higashimurayama-shi,1,17,111,102,23,79
平成25,2013,2,13214,国分寺市,Kokubunji-shi,1,7,77,76,24,52
平成25,2013,2,13215,国立市,Kunitachi-shi,1,6,54,53,13,40
平成25,2013,2,13218,福生市,Fussa-shi,1,9,52,50,17,33
平成25,2013,2,13219,狛江市,Komae-shi,1,9,57,45,11,34
平成25,2013,2,13220,東大和市,Higashiyamato-shi,1,12,60,57,20,37
平成25,2013,2,13221,清瀬市,Kiyose-shi,1,13,55,50,14,36
平成25,2013,2,13222,東久留米市,Higashikurume-shi,1,14,80,62,12,50
平成25,2013,2,13223,武蔵村山市,Musashimurayama-shi,1,12,62,62,23,39
平成25,2013,2,13224,多摩市,Tama-shi,1,17,112,90,18,72
平成25,2013,2,13225,稲城市,Inagi-shi,1,9,58,56,18,38
平成25,2013,2,13227,羽村市,Hamura-shi,1,6,50,50,9,41
平成25,2013,2,13228,あきる野市,Akiruno-shi,1,7,70,70,25,45
平成25,2013,2,13229,西東京市,Nishitokyo-shi,1,23,147,124,18,106
平成25,2013,1,13300,郡部,All gun,1,8,98,98,32,66
平成25,2013,1,13350,島部,All islands,4,8,101,95,34,61
,,,,,,,,,,,
東京都統計年鑑（平成25年）TOKYO STATISTICAL YEARBOOK ( 2013 )　18  社会保障 18  SOCIAL SECURITY,,,,,,,,,,,
18-11  地域別福祉事務所数及び民生委員数 （平成21～25年） 18-11  WELFARE OFFICES AND LOCAL WELFARE COMMISSIONERS (VOLUNTEERS) BY DISTRICT ( 2009-2013 ),,,,,,,,,,,
各年4月1日現在,,,,,,,,,,,
Figures are as of  Apr.1 of the year noted.,,,,,,,,,,,
資料：都福祉保健局総務部総務課 Source: Bureau of Social Welfare and Public Health， TMG,,,,,,,,,,,
地域階層（0:東京都　1:区部・市部・郡部・島部　2:区市),,,,,,,,,,,
