年度,Fiscal year,地域階層,地域コード,地域,District,身体障害者手帳交付台帳 Physical impairment certificate ledger data／年度末現在 As of the end of the fiscal year,身体障害者手帳交付台帳 Physical impairment certificate ledger data／新規交付 New issues,身体障害者手帳交付台帳 Physical impairment certificate ledger data／返還 Returned,身体障害者手帳交付台帳 Physical impairment certificate ledger data／他県より転入 In-migrants from other prefectures,身体障害者手帳交付台帳 Physical impairment certificate ledger data／他県へ転出 Out-migrants to other prefectures,身体障害者手帳交付台帳 Physical impairment certificate ledger data／都内より転入 In-migrants within Tokyo,身体障害者手帳交付台帳 Physical impairment certificate ledger data／都内へ転出 Out-migrants within Tokyo,「愛の手帳」交付数 Intellectual impairment certificates issued 1)
平成20,2008,0,13000,東京都,Tokyo-to,439500,26868,17951,2082,1134,8885,8885,64700
平成21,2009,0,13000,東京都,Tokyo-to,452109,27366,13977,804,1584,11725,11725,67292
平成22,2010,0,13000,東京都,Tokyo-to,459200,27777,19870,570,1386,12333,12333,69807
平成23,2011,0,13000,東京都,Tokyo-to,465928,26731,20523,2421,1901,11932,11932,72261
平成24,2012,0,13000,東京都,Tokyo-to,471833,27299,22335,2728,1787,13683,13683,74971
平成24,2012,1,13100,区部,All ku,324963,18827,15691,1908,1422,8673,8899,47590
平成24,2012,2,13101,千代田区,Chiyoda-ku,2222,110,113,4,7,48,49,187
平成24,2012,2,13102,中央区,Chuo-ku,2965,220,150,42,30,142,139,402
平成24,2012,2,13103,港区,Minato-ku,7086,437,275,51,24,244,241,787
平成24,2012,2,13104,新宿区,Shinjuku-ku,13139,721,652,88,51,405,433,1413
平成24,2012,2,13105,文京区,Bunkyo-ku,6163,367,294,57,30,152,166,848
平成24,2012,2,13106,台東区,Taito-ku,9841,485,305,67,50,262,247,893
平成24,2012,2,13107,墨田区,Sumida-ku,9124,573,479,60,34,316,320,1470
平成24,2012,2,13108,江東区,Koto-ku,18217,1082,858,106,78,411,417,2696
平成24,2012,2,13109,品川区,Shinagawa-ku,14034,800,556,74,62,319,357,1758
平成24,2012,2,13110,目黒区,Meguro-ku,7574,435,365,44,32,195,232,1119
平成24,2012,2,13111,大田区,Ota-ku,26980,1548,1346,147,100,617,627,3789
平成24,2012,2,13112,世田谷区,Setagaya-ku,24036,1558,1259,148,85,643,658,3842
平成24,2012,2,13113,渋谷区,Shibuya-ku,6478,433,323,30,27,227,248,771
平成24,2012,2,13114,中野区,Nakano-ku,9867,693,483,67,48,296,321,1340
平成24,2012,2,13115,杉並区,Suginami-ku,16062,1057,816,84,56,360,392,2282
平成24,2012,2,13116,豊島区,Toshima-ku,9845,576,430,57,48,250,270,1136
平成24,2012,2,13117,北区,Kita-ku,17178,840,1046,79,79,429,426,2134
平成24,2012,2,13118,荒川区,Arakawa-ku,9595,514,423,36,30,232,235,1139
平成24,2012,2,13119,板橋区,Itabashi-ku,21018,1109,773,135,107,560,538,3328
平成24,2012,2,13120,練馬区,Nerima-ku,22963,1328,1056,154,131,561,595,4199
平成24,2012,2,13121,足立区,Adachi-ku,29282,1645,1525,130,153,813,796,4831
平成24,2012,2,13122,葛飾区,Katsushika-ku,17368,1022,1119,116,71,462,461,2927
平成24,2012,2,13123,江戸川区,Edogawa-ku,23926,1274,1045,132,89,729,731,4299
平成24,2012,1,13200,市部,All shi,142356,8240,6405,803,357,4866,4695,26661
平成24,2012,2,13201,八王子市,Hachioji-shi,18120,1133,970,121,40,438,414,3745
平成24,2012,2,13202,立川市,Tachikawa-shi,7069,398,315,25,11,214,223,1287
平成24,2012,2,13203,武蔵野市,Musashino-shi,4195,251,242,25,11,121,105,1007
平成24,2012,2,13204,三鷹市,Mitaka-shi,5485,330,231,39,18,152,157,1013
平成24,2012,2,13205,青梅市,Ome-shi,5816,294,220,38,17,217,134,921
平成24,2012,2,13206,府中市,Fuchu-shi,8434,503,357,53,28,244,256,1604
平成24,2012,2,13207,昭島市,Akishima-shi,3920,251,259,21,11,108,112,792
平成24,2012,2,13208,調布市,Chofu-shi,7838,433,227,40,14,167,182,1276
平成24,2012,2,13209,町田市,Machida-shi,15132,812,646,118,21,1225,1198,3064
平成24,2012,2,13210,小金井市,Koganei-shi,3146,221,179,23,10,70,97,607
平成24,2012,2,13211,小平市,Kodaira-shi,6277,361,207,34,21,373,395,1231
平成24,2012,2,13212,日野市,Hino-shi,5717,367,372,27,13,136,117,1082
平成24,2012,2,13213,東村山市,Higashimurayama-shi,6992,305,226,30,20,201,178,1104
平成24,2012,2,13214,国分寺市,Kokubunji-shi,3519,214,97,22,12,100,89,661
平成24,2012,2,13215,国立市,Kunitachi-shi,2495,157,120,6,6,69,71,473
平成24,2012,2,13218,福生市,Fussa-shi,2090,113,259,12,4,72,65,334
平成24,2012,2,13219,狛江市,Komae-shi,2644,139,134,18,5,49,63,420
平成24,2012,2,13220,東大和市,Higashiyamato-shi,3132,182,108,11,12,100,87,558
平成24,2012,2,13221,清瀬市,Kiyose-shi,4324,174,123,13,13,80,69,548
平成24,2012,2,13222,東久留米市,Higashikurume-shi,4342,255,123,20,15,88,86,858
平成24,2012,2,13223,武蔵村山市,Musashimurayama-shi,3122,196,145,8,6,156,155,581
平成24,2012,2,13224,多摩市,Tama-shi,4812,317,233,29,15,128,127,913
平成24,2012,2,13225,稲城市,Inagi-shi,2576,157,104,19,7,55,47,414
平成24,2012,2,13227,羽村市,Hamura-shi,1769,131,78,6,7,47,48,384
平成24,2012,2,13228,あきる野市,Akiruno-shi,2694,160,134,14,2,76,59,611
平成24,2012,2,13229,西東京市,Nishitokyo-shi,6696,386,296,31,18,180,161,1173
平成24,2012,1,13300,郡部,All gun,2756,132,189,10,5,119,62,497
平成24,2012,1,13350,島部,All islands,1758,100,50,7,3,25,27,209
,,,,,,,,,,,,,
東京都統計年鑑（平成25年）TOKYO STATISTICAL YEARBOOK ( 2013 )　18  社会保障 18  SOCIAL SECURITY,,,,,,,,,,,,,
18-3  身体障害者手帳交付台帳登載状況及び「愛の手帳」交付状況（平成20～24年度末） 18-3  DATA FROM THE PHYSICAL IMPAIRMENT CERTIFICATE ISSUE LEDGER AND ISSUE OF THE INTELLECTUAL IMPAIRMENT CERTIFICATE ( Fiscal Years 2008-2012 ),,,,,,,,,,,,,
注 1) 「愛の手帳」交付数の総数は，都外施設に入所している場合等で管轄区市町村が未定の者を含むため，内訳と一致しない。,,,,,,,,,,,,,
Note: 1) The total number of intellectual impairment certificates issued does not match the breakdown because it includes persons who were not under the jurisdiction of a municipality for reasons such as living in facilities outside Tokyo. ,,,,,,,,,,,,,
資料：都福祉保健局総務部総務課 「福祉・衛生統計年報」 Source: Bureau of Social Welfare and Public Health， TMG    ,,,,,,,,,,,,,
地域階層（0:東京都　1:区部・市部・郡部・島部　2:区市),,,,,,,,,,,,,
