年度平均,Fiscal year average,地域階層,地域コード,地域,District,被保護世帯数 Households assisted,生活扶助 Livelihood assistance,住宅扶助 Housing assistance,教育扶助 Education assistance,介護扶助 LTC assistance,医療扶助 Medical assistance,出産扶助 Maternity assistance,生業扶助 Occupational assistance,葬祭扶助 Funeral assistance,被保護人員数 Persons assisted(人 persons)
平成20,2008,0,13000,東京都,Tokyo-to,158077,136577,133688,9378,23180,136651,4,3511,437,207720
平成21,2009,0,13000,東京都,Tokyo-to,175836,153768,150379,10158,24930,150409,7,4438,455,230662
平成22,2010,0,13000,東京都,Tokyo-to,195110,172500,169481,11206,27361,166493,7,5216,526,256841
平成23,2011,0,13000,東京都,Tokyo-to,209264,185475,183527,11686,29965,177090,7,5823,556,275528
平成24,2012,0,13000,東京都,Tokyo-to,219415,194473,193503,11832,32882,184304,6,5974,595,287566
平成24,2012,1,13100,区部,All ku,166151,147696,146929,8116,24895,139106,5,4139,482,213437
平成24,2012,2,13101,千代田区,Chiyoda-ku,607,440,420,21,83,521,-,6,1,686
平成24,2012,2,13102,中央区,Chuo-ku,854,678,627,22,135,718,-,8,3,988
平成24,2012,2,13103,港区,Minato-ku,1916,1645,1578,75,323,1459,0,46,4,2318
平成24,2012,2,13104,新宿区,Shinjuku-ku,8841,7713,7468,202,1093,7104,1,120,25,10198
平成24,2012,2,13105,文京区,Bunkyo-ku,2147,1851,1851,49,330,1738,-,30,6,2486
平成24,2012,2,13106,台東区,Taito-ku,7950,6750,6372,91,790,6447,0,58,30,8656
平成24,2012,2,13107,墨田区,Sumida-ku,6460,6011,5841,298,1127,5983,-,160,22,8159
平成24,2012,2,13108,江東区,Koto-ku,7298,6660,6421,370,1195,6092,-,205,28,9705
平成24,2012,2,13109,品川区,Shinagawa-ku,4619,3986,4018,132,778,3959,0,83,15,5527
平成24,2012,2,13110,目黒区,Meguro-ku,2388,2061,2023,71,407,2063,-,42,5,2857
平成24,2012,2,13111,大田区,Ota-ku,12933,11319,11647,620,2092,11622,0,275,36,16408
平成24,2012,2,13112,世田谷区,Setagaya-ku,7983,7051,7011,284,1224,6050,0,203,23,9821
平成24,2012,2,13113,渋谷区,Shibuya-ku,2688,2332,2247,48,449,1843,0,37,5,3050
平成24,2012,2,13114,中野区,Nakano-ku,6175,5605,5621,159,892,5734,0,103,11,7179
平成24,2012,2,13115,杉並区,Suginami-ku,6394,5749,5737,156,934,5988,0,105,6,7551
平成24,2012,2,13116,豊島区,Toshima-ku,6191,5430,5252,119,770,5090,-,17,10,7078
平成24,2012,2,13117,北区,Kita-ku,7798,6904,6989,271,1293,6798,0,140,28,9679
