年末,End of year,月末,End of month,製造工業 Manufacturing,製造工業 Manufacturing／鉄鋼業 Iron and steel,製造工業 Manufacturing／非鉄金属工業 Non-ferrous metals,製造工業 Manufacturing／金属製品工業 Fabricated metals,製造工業 Manufacturing／はん用・生産用・業務用機械工業 General-purpose， production and business use machinery,製造工業 Manufacturing／はん用・生産用・業務用機械工業 General-purpose， production and business use machinery／はん用機械工業 General-purpose machinery,製造工業 Manufacturing／はん用・生産用・業務用機械工業 General-purpose， production and business use machinery／生産用機械工業 Production machinery,製造工業 Manufacturing／はん用・生産用・業務用機械工業 General-purpose， production and business use machinery／業務用機械工業 Business use machinery,製造工業 Manufacturing／電子部品・デバイス工業 Electronic parts and devices,製造工業 Manufacturing／電気機械工業 Electrical machinery,製造工業 Manufacturing／情報通信機械工業 Information and communications equipment,製造工業 Manufacturing／輸送機械工業 Transport equipment,製造工業 Manufacturing／窯業・土石製品工業 Ceramics， stone and clay products,製造工業 Manufacturing／化学工業 Chemicals,製造工業 Manufacturing／プラスチック製品工業 Plastic products,製造工業 Manufacturing／紙・紙加工品工業 Paper and paper products,製造工業 Manufacturing／繊維工業 Textiles,製造工業 Manufacturing／食料品工業 Foods,製造工業 Manufacturing／その他工業 Other manufacturing,製造工業 Manufacturing／その他工業 Other manufacturing／ゴム製品工業 Rubber products,製造工業 Manufacturing／その他工業 Other manufacturing／皮革製品工業 Leather products,製造工業 Manufacturing／その他工業 Other manufacturing／家具工業 Furniture,製造工業 Manufacturing／その他工業 Other manufacturing／木材・木製品工業 Wood and wood products,製造工業 Manufacturing／その他工業 Other manufacturing／その他製品工業 Other products
平成25,2013,4,Apr.,128.9,83.5,131.1,49.8,127.8,82.7,151.2,129.5,156.5,113.5,180.3,202.6,84,110.1,79.2,96.5,222.4,85.3,82.8,32.1,68.3,117.7,71.2,131.3
平成25,2013,5,May,130.6,81.8,128,49.4,126.2,86.2,162.6,113.9,145.4,108.2,201.7,204.6,82.3,109.9,77.3,92.5,220.2,99.3,76.7,24.1,69.4,114.9,76.5,129.2
平成25,2013,6,June,127.9,82.9,130.4,49.1,136.7,88.2,190.8,111.6,132.6,103.7,181.9,188.3,77.9,107.7,75.4,100,219.3,90.4,73.4,25.2,69.8,113.1,74.1,123.2
平成25,2013,7,July,132,82.8,126.7,49.2,127,85.4,164.8,109.7,120.7,103.5,207.5,219.9,79.3,108.2,82.2,99.7,202.5,97.2,72,24.9,68.1,118.1,79.5,120.6
平成25,2013,8,Aug.,129.6,83,124.4,49.4,123.7,89.8,152.7,111.3,86.1,101.9,222.4,218.9,81.2,108.8,78.5,92.5,201.9,98.8,71.1,24.5,69.3,113.8,82.5,117.2
平成25,2013,9,Sept.,131,86.4,132.7,48.4,121,90.7,151.5,105.1,93.6,100.7,220.7,223.9,81,112.4,78.8,98.5,193.7,87.6,69.6,23,69.9,109.9,82.2,116.6
平成25,2013,10,Oct.,131.4,88.4,136.3,48.1,103.6,92.8,85.3,110.1,87.3,100.2,234.6,236.6,84.5,109,83.2,97.7,192,115.8,72.1,22.4,68.5,103.5,89.5,119.1
平成25,2013,11,Nov.,130.8,89.5,139.4,49.3,93.1,87.7,58.1,110.7,91.9,100,269.3,221.7,85.1,109.6,79.6,91.1,183.6,93.6,72.4,16.8,68.8,91.6,97.9,120.3
平成25,2013,12,Dec.,127.1,83.3,132,47,115,88.6,129,116.9,91.5,96.9,212.8,220.1,84.9,111.8,74.7,91.2,174.3,84.8,75,27.1,68,89.9,93.3,118.5
,,,,,,,,,,,,,,,,,,,,,,,,,,,
東京都統計年鑑（平成25年）TOKYO STATISTICAL YEARBOOK ( 2013 ) 11   工業 11  MANUFACTURING INDUSTRY,,,,,,,,,,,,,,,,,,,,,,,,,,,
11-2　工業指数 (２)　生産者製品在庫指数  (平成21～25年) 11-２  INDUSTRIAL INDICES (2)  INDICES OF PRODUCER'S INVENTORY OF FINISHED GOODS  ( 2009-2013 ),,,,,,,,,,,,,,,,,,,,,,,,,,,
(1)  ウェイト………平成 22年の在庫額,,,,,,,,,,,,,,,,,,,,,,,,,,,
(2)  算   式………固定ウェイトによる加重算術平均式,,,,,,,,,,,,,,,,,,,,,,,,,,,
(1)　Weight  ……… Inventory value in 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,
(2)　Formula……… Weighted arithmetic mean by fixed weight,,,,,,,,,,,,,,,,,,,,,,,,,,,
注 1) 月別の値は，季節調整済みである。,,,,,,,,,,,,,,,,,,,,,,,,,,,
2) 暦年の値は月別原指数の当該年末値であり，月別の値は当該月末値である。,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note: 1) Monthly figures are seasonally adjusted.,,,,,,,,,,,,,,,,,,,,,,,,,,,
2) Yearly figures are the year-end figures of original monthly indices， and monthly figures are as of the end of the month. ,,,,,,,,,,,,,,,,,,,,,,,,,,,
資料：都総務局統計部産業統計課 「東京都工業指数年報」 Source: Bureau of General Affairs， TMG,,,,,,,,,,,,,,,,,,,,,,,,,,,
(平成 22年平均＝100.0) (2010  Average＝100.0),,,,,,,,,,,,,,,,,,,,,,,,,,,
