大項目,Major item,項番 Item number,項目,Item,平成13年度 FY 2001,平成14年度 FY 2002,平成15年度 FY 2003,平成16年度 FY 2004,平成17年度 FY 2005,平成18年度 FY 2006,平成19年度 FY 2007,平成20年度 FY 2008,平成21年度 FY 2009,平成22年度 FY 2010,平成23年度 FY 2011,平成24年度 FY 2012
名目,At current prices,1,都内総生産 (生産側及び支出側)（実数）,Gross prefectural domestic product (production and expenditure approach)(A real number),95251.5,94354.8,95275.2,98083.6,99379.7,99870.9,99931.5,97253.8,91673.8,91374.8,92857.3,91908.9
名目,At current prices,2,都内総生産 (生産側及び支出側) (増加率),Gross prefectural domestic product (production and expenditure approach) (Percent changes from previous fiscal year),-,-0.9,1,2.9,1.3,0.5,0.1,-2.7,-5.7,-0.3,1.6,-1
名目,At current prices,3,国内総生産 (生産側及び支出側)（実数）,Gross domestic product (production and expenditure approach)(A real number),501710.6,498008.8,501889.1,502760.8,505349.4,509106.3,513023.3,489520.1,473933.9,480232.5,473669.1,472596.5
名目,At current prices,4,国内総生産 (生産側及び支出側) (増加率),Gross domestic product (production and expenditure approach) (Percent changes from previous fiscal year),-,-0.7,0.8,0.2,0.5,0.7,0.8,-4.6,-3.2,1.3,-1.4,-0.2
名目,At current prices,5,国に対する都の構成比,Tokyo's percentage,19,18.9,19,19.5,19.7,19.6,19.5,19.9,19.3,19,19.6,19.4
実質 (連鎖方式),Real (Chain-linked),6,都内総生産 (生産側)（実数）,Gross prefectural domestic product (production approach)(A real number),93067.4,92900.5,94412.3,97635.1,99343.1,100356,100655.8,98427.8,94022.5,95015.3,97097.7,97036.1
実質 (連鎖方式),Real (Chain-linked),7,都内総生産 (生産側) (増加率),Gross prefectural domestic product (production approach) (Percent changes from previous fiscal year),-,-0.2,1.6,3.4,1.7,1,0.3,-2.2,-4.5,1.1,2.2,-0.1
実質 (連鎖方式),Real (Chain-linked),8,国内総生産 (支出側)（実数）,Gross domestic product (expenditure approach) (A real number),474685.4,479870.8,490755.9,497912.6,507158,516038.2,525469.9,505794.7,495497.8,512523.5,514022.1,517499.2
実質 (連鎖方式),Real (Chain-linked),9,国内総生産 (支出側) (増加率),Gross domestic product (expenditure approach) (Percent changes from previous fiscal year),-,1.1,2.3,1.5,1.9,1.8,1.8,-3.7,-2,3.4,0.3,0.7
実質 (連鎖方式),Real (Chain-linked),10,国に対する都の構成比,Tokyo's percentage,19.6,19.4,19.2,19.6,19.6,19.4,19.2,19.5,19,18.5,18.9,18.8
実質（固定基準年方式）,Real (Fixed-based),11,都内総生産 (支出側)（実数）,Gross prefectural domestic product (Expenditure approach)(A real number) ,91488.7,91511.9,92368.4,96966.8,99445,100765.6,102005.9,100339.2,95817.8,98801.6,100868.2,100537.7
実質（固定基準年方式）,Real (Fixed-based),12,都内総生産 (支出側) (増加率),Gross prefectural domestic product (Expenditure approach) (Rate of year-to-year increase) ,-,0,0.9,5,2.6,1.3,1.2,-1.6,-4.5,3.1,2.1,-0.3
実質（固定基準年方式）,Real (Fixed-based),13,国内総生産 (支出側)（実数）,Gross domestic product (Expenditure approach) (A real number) ,478473.2,482031.7,491445.5,497508.5,507230.9,516069,526352.9,507025.2,500340.9,527447.8,530479.8,527611.5
実質（固定基準年方式）,Real (Fixed-based),14,国内総生産 (支出側) (増加率),Gross domestic product (Expenditure approach)  (Rate of year-to-year increase) ,-,0.7,2,1.2,2,1.7,2,-3.7,-1.3,5.4,0.6,-0.5
実質（固定基準年方式）,Real (Fixed-based),15,国に対する都の構成比,Tokyo's percentage,19.1,19,18.8,19.5,19.6,19.5,19.4,19.8,19.2,18.7,19,19.1
名目,At current prices,16,都民総所得 （実数）,Gross income in Tokyo-to (A real number) ,80961.5,79958.6,81568,82875.5,85873,87847.5,88214.3,83680.7,77952.8,77838.6,79080.2,78793.4
名目,At current prices,17,都民総所得 (増加率),Gross prefectural income (Percent changes from previous fiscal year),-,-1.2,2,1.6,3.6,2.3,0.4,-5.1,-6.8,-0.1,1.6,-0.4
名目,At current prices,18,国民総所得（実数）,Gross national income(A real number),510319.8,505816,510419.9,512591.8,518485.3,524200.6,530752.9,504792.3,487003.8,493491.3,488425.3,487979.8
名目,At current prices,19,国民総所得 (増加率),Gross national income (Percent changes from previous fiscal year),-,-0.9,0.9,0.4,1.1,1.1,1.2,-4.9,-3.5,1.3,-1,-0.1
名目,At current prices,20,国に対する都の構成比,Tokyo's percentage,15.9,15.8,16,16.2,16.6,16.8,16.6,16.6,16,15.8,16.2,16.1
実質（固定基準年方式）,Real (Fixed-based),21,都民総所得 （実数）,Gross income in Tokyo-to (A real number) ,77763.3,77549.5,79079.4,81931.9,85929.4,88634.5,90045.4,86335.4,81476.6,84165.2,85902.5,86190.9
実質（固定基準年方式）,Real (Fixed-based),22,都民総所得 (増加率),Gross income in Tokyo-to(Rate of year-to-year increase) ,-,-0.3,2,3.6,4.9,3.1,1.6,-4.1,-5.6,3.3,2.1,0.3
実質（固定基準年方式）,Real (Fixed-based),23,国民総所得（実数）,Gross national income (A real number) ,495017.2,497505.8,506859.3,511538.5,518482.1,525467,533219,508705.6,507662.8,530507.9,528860.2,526542.1
実質（固定基準年方式）,Real (Fixed-based),24,国民総所得 (増加率),Gross national income (Rate of year-to-year increase) ,-,0.5,1.9,0.9,1.4,1.3,1.5,-4.6,-0.2,4.5,-0.3,-0.4
実質（固定基準年方式）,Real (Fixed-based),25,国に対する都の構成比,Tokyo's percentage,15.7,15.6,15.6,16,16.6,16.9,16.9,17,16,15.9,16.2,16.4
名目,At current prices,26,都民所得 （実数）,Prefectural income(A real number),60610.7,60111.3,61888.7,62505.1,65087.7,66595.6,66471,62091.3,57389.5,57672.4,58604.1,58515.6
名目,At current prices,27,都民所得 (増加率),Prefectural income (Percent changes from previous fiscal year),-,-0.8,3,1,4.1,2.3,-0.2,-6.6,-7.6,0.5,1.6,-0.2
名目,At current prices,28,国民所得（実数）,National income(A real number),366783.8,363890.1,368100.9,370116.6,374125.1,378190.3,381239.2,355038,344384.8,352702.8,349056.3,351113.9
名目,At current prices,29,国民所得 (増加率),National income (Percent changes from previous fiscal year),-,-0.8,1.2,0.5,1.1,1.1,0.8,-6.9,-3,2.4,-1,0.6
名目,At current prices,30,国に対する都の構成比,Tokyo's percentage,16.5,16.5,16.8,16.9,17.4,17.6,17.4,17.5,16.7,16.4,16.8,16.7
,,,,,,,,,,,,,,,,
東京都統計年鑑（平成25年）TOKYO STATISTICAL YEARBOOK ( 2013 )　16  都民経済計算 16  TOKYO METROPOLITAN ACCOUNTS ,,,,,,,,,,,,,,,,
16-4 都内総生産と国内総生産等の時系列比較 (平成13～24年度） 16-4 TIME-SERIES COMPARISON OF GROSS PREFECTURAL DOMESTIC PRODUCT，GROSS DOMESTIC PRODUCT， ETC.( Fiscal Years 2001-2012 ),,,,,,,,,,,,,,,,
資料：都総務局統計部調整課 「都民経済計算年報」 Source: Bureau of General Affairs， TMG,,,,,,,,,,,,,,,,
（単位  金額 10 億円，%）(Value in billions of yen， %),,,,,,,,,,,,,,,,
