年次,Year,原因,Cause,区分,Classification,発生件数 Accidents／総数 Total,発生件数 Accidents／死亡事故 Killed,発生件数 Accidents／重傷事故 Serious injury,発生件数 Accidents／軽傷事故 Minor injury,死傷者数 Killed or injured／総数 Total,死傷者数 Killed or injured／死者 Killed,死傷者数 Killed or injured／重傷者 Serious injury,死傷者数 Killed or injured／軽傷者 Minor injury
平成21,2009,総数,Total,,,202,23,22,157,226,23,24,179
平成22,2010,総数,Total,,,204,31,21,152,224,31,22,171
平成23,2011,総数,Total,,,166,28,24,114,176,28,25,123
平成24,2012,総数,Total,,,227,29,29,169,236,29,31,176
平成25,2013,総数,Total,,,216,23,22,171,243,23,23,197
平成25,2013,信号無視,Ignoring traffic light signals,,,80,10,12,58,92,10,13,69
平成25,2013,通行区分,Lane violation,左側通行,Walking on the left side of the road,0,0,0,0,0,0,0,0
平成25,2013,通行区分,Lane violation,車道通行,Walking on roadways,2,0,0,2,3,0,0,3
平成25,2013,通行区分,Lane violation,その他,Others,0,0,0,0,0,0,0,0
平成25,2013,横断,Crossing,横断歩道外横断,Crossing outside pedestrian crossings,16,1,1,14,17,1,1,15
平成25,2013,横断,Crossing,斜め横断,Diagonal crossing,3,0,1,2,5,0,1,4
平成25,2013,横断,Crossing,駐停車車両の直前直後,Crossing immediately in front of or behind a parked vehicle,8,0,0,8,8,0,0,8
平成25,2013,横断,Crossing,走行車両の直前直後,Crossing immediately in front of or behind a vehicle in motion,2,0,0,2,2,0,0,2
平成25,2013,横断,Crossing,横断禁止場所横断,Crossing at prohibited places,44,5,8,31,53,5,8,40
平成25,2013,幼児のひとり歩き,Toddlers walking alone,,,0,0,0,0,0,0,0,0
平成25,2013,踏切不注意,Lack of caution at railroad crossings,,,7,7,0,0,7,7,0,0
平成25,2013,道路における禁止行為,Prohibited acts on roads,めいていはいかい，ねそべり等,Drunk， wandering， lying on the road， etc.,1,0,0,1,1,0,0,1
平成25,2013,道路における禁止行為,Prohibited acts on roads,路上遊戯,Playing on road,2,0,0,2,2,0,0,2
平成25,2013,無許可道路使用,Use of roads without permission,路上作業,Working on roads,1,0,0,1,1,0,0,1
平成25,2013,飛び出し,Rushing out into the street　,,,38,0,0,38,39,0,0,39
平成25,2013,その他の違反,Others,,,10,0,0,10,11,0,0,11
平成25,2013,調査不能,Cause undetermined,,,2,0,0,2,2,0,0,2
,,,,,,,,,,,,,
東京都統計年鑑（平成25年）TOKYO STATISTICAL YEARBOOK ( 2013 ) 20  司法・警察・消防 20  JUSTICE， POLICE， AND FIRE FIGHTING SERVICES,,,,,,,,,,,,,
20-14  歩行者がわの事故原因による人身事故発生件数及び死傷者数 （平成21～25年） 20-14 TRAFFIC ACCIDENTS CAUSED BY PEDESTRIANS RESULTING IN INJURY OR DEATH AND PERSONS KILLED OR INJURED IN THE ACCIDENTS ( 2009-2013 ),,,,,,,,,,,,,
資料：警視庁総務部文書課 「警視庁の統計」 Source: Metropolitan Police Department， TMG,,,,,,,,,,,,,
