年度末,End of fiscal year,地域階層,地区コード,地域,District,終末処理場数 Sewerage treatment plants,ポンプ所数 Pumping stations,事務所数 Sewerage offices,下水道暗きょ Sewer pipes／総数 Total (m),下水道暗きょ Sewer pipes／幹線 Trunk sewers (m),下水道暗きょ Sewer pipes／枝線 Branch sewers (m),マンホール数 (個) Manholes,汚水枡数 (個) Sewage basins
平成23,2011,0,13000,総数,Tokyo-to,20,86,8,16129274,1314822,14814452,482328,1894493
平成24,2012,0,13000,総数,Tokyo-to,20,87,8,16168803,1320029,14848774,483147,1903105
平成25,2013,0,13000,総数,Tokyo-to,20,87,8,16207668,1325593,14882075,484078,1911914
平成25,2013,1,13100,区部,All ku,13,85,7,15975478,1093403,14882075,482848,1911914
平成25,2013,2,13101,千代田区,Chiyoda-ku,-,2,1,286878,36646,250232,6619,26288
平成25,2013,2,13102,中央区,Chuo-ku,-,8,-,318020,26539,291481,6962,27909
平成25,2013,2,13103,港　区,Minato-ku,1,4,-,464513,55947,408566,11435,41009
平成25,2013,2,13104,新宿区,Shinjuku-ku,1,-,-,484517,33145,451372,14226,61960
平成25,2013,2,13105,文京区,Bunkyo-ku,-,2,-,319826,47950,271876,8811,38067
平成25,2013,2,13106,台東区,Taito-ku,-,2,1,372275,44895,327381,8707,43993
平成25,2013,2,13107,墨田区,Sumida-ku,-,5,-,368531,26915,341617,10314,49684
平成25,2013,2,13108,江東区,Koto-ku,2,20,1,731292,41741,689550,16894,53867
平成25,2013,2,13109,品川区,Shinagawa-ku,-,7,-,445101,34773,410328,13191,68194
平成25,2013,2,13110,目黒区,Meguro-ku,-,-,-,352271,22763,329508,11972,59549
平成25,2013,2,13111,大田区,Ota-ku,1,10,1,1203623,83002,1120621,35746,156975
平成25,2013,2,13112,世田谷区,Setagaya-ku,-,-,-,1581831,105462,1476370,51866,196389
平成25,2013,2,13113,渋谷区,Shibuya-ku,-,-,-,311353,15749,295604,10348,52237
平成25,2013,2,13114,中野区,Nakano-ku,1,-,1,438103,30115,407988,14098,74809
平成25,2013,2,13115,杉並区,Suginami-ku,-,-,-,813895,41911,771984,24374,114718
平成25,2013,2,13116,豊島区,Toshima-ku,-,-,-,396044,27997,368046,13955,68578
平成25,2013,2,13117,北　区,Kita-ku,1,2,1,466317,26616,439701,13881,67319
平成25,2013,2,13118,荒川区,Arakawa-ku,1,3,-,312642,34599,278043,8389,44860
平成25,2013,2,13119,板橋区,Itabashi-ku,1,1,-,798298,63789,734510,26124,106442
平成25,2013,2,13120,練馬区,Nerima-ku,-,-,-,1273352,64182,1209170,42696,157050
平成25,2013,2,13121,足立区,Adachi-ku,2,6,-,2098175,109245,1988930,64185,153061
平成25,2013,2,13122,葛飾区,Katsushika-ku,1,7,1,1018466,53348,965118,33547,115508
平成25,2013,2,13123,江戸川区,Edogawa-ku,1,6,-,1120155,66074,1054081,34508,133448
平成25,2013,1,,流域下水道,Drainage basin sewer system,7,2,1,232190,232190,-,1230,-
,,,,,,,,,,,,,
6-9  地域別下水道施設及び付属設備 （平成23～25年度末） ,,,,,,,,,,,,,
6-9  SEWERAGE FACILITIES AND EQUIPMENT BY DISTRICT ,,,,,,,,,,,,,
( End of Fiscal Years 2011～2013 ) ,,,,,,,,,,,,,
この表は都下水道局の事業実績である。              　　Data here are business figures of the Bureau of Sewerage，TMG.,,,,,,,,,,,,,
資料：都下水道局総務部広報サービス課      Source: Bureau of Sewerage， TMG,,,,,,,,,,,,,
地域階層（0:総数　1:区部・流域下水道　2:区市町村）,,,,,,,,,,,,,
