地域階層,地域コード,項番 Item number,地域,District,総数 Total 1) ,結核 Tuberculosis,生活習慣病 Lifestyle-related diseases／悪性新生物 Malignant neoplasm,生活習慣病 Lifestyle-related diseases／(再掲)(Relisted)肝臓がん Liver cancer,生活習慣病 Lifestyle-related diseases／(再掲)(Relisted) 前立腺がん Prostate cancer,生活習慣病 Lifestyle-related diseases／循環器疾患 Cardiovascular disease,生活習慣病 Lifestyle-related diseases／その他 Others,生活習慣病 Lifestyle-related diseases／その他 Others／(再掲)(Relisted) 骨粗しょう症 Osteoporosis,その他 Others
0,13000,0,総数,Tokyo-to,1274849,1021602,124133,-,58283,34620,90975,13428,3519
1,13100,1,区部,All Ku,810352,694695,74373,-,40245,19842,17967,9801,3475
1,13200,2,市部,All shi,459331,324438,49221,-,17707,13462,72166,2887,44
1,13300,3,郡部,All gun,1888,1061,367,-,321,-,460,358,-
1,13350,4,島部,All islands,3278,1408,172,-,10,1316,382,382,-
,,,,,,,,,,,,,
東京都統計年鑑（平成25年）TOKYO STATISTICAL YEARBOOK ( 2013 )　19  医療・衛生・環境 19  MEDICAL CARE， SANITATION， AND ENVIRONMENT,,,,,,,,,,,,,
19-5  地域保健活動 (1) 健康診断 (平成24年度) 19-5  LOCAL PUBLIC HEALTH CARE ACTIVITIES (1) HEALTH EXAMINATIONS ( Fiscal Year 2012 )　,,,,,,,,,,,,,
注 1) 健康増進法第19条の2に基づく健康診査は除く。,,,,,,,,,,,,,
Note: 1) Exclude article 12 of  Old Age Health Care Law,,,,,,,,,,,,,
資料：都福祉保健局総務部総務課 「福祉・衛生統計年報」 Source: Bureau of Social Welfare and Public Health， TMG,,,,,,,,,,,,,
地域階層（0:東京都総数　1:区部・市部・郡部・島部）,,,,,,,,,,,,,
