年度,Fiscal year,会計階層,会計,Account,当初予算額 Original budget,最終予算額 Final budget 1) ,決算額 Settlement
平成21,2009,0,総数,Total,12833848,12907268,12273312
平成22,2010,0,総数,Total,12422290,12516872,11871986
平成23,2011,0,総数,Total,11764184,11947440,11246029
平成24,2012,0,総数,Total,11774245,12004140,11176819
平成25,2013,0,総数,Total,12083829,12422398,11763967
平成25,2013,1,一般会計,General account,6264000,6404744,6049866
平成25,2013,1,特別会計,Special accounts,4026541,4104325,4008499
平成25,2013,2,特別区財政調整,Financial adjustments for ku,911376,936101,936101
平成25,2013,2,地方消費税清算,Local consumption tax adjustment,959638,1000673,977645
平成25,2013,2,小笠原諸島生活再建資金,Ogasawara Islands livelihood rehabilitation funds,445,445,-
平成25,2013,2,母子福祉貸付資金,Funds for families without father,4940,4940,3814
平成25,2013,2,心身障害者扶養年金,Annuity for the mentally or physically impaired,6363,6363,6068
平成25,2013,2,中小企業設備導入等資金,Small to medium-sized enterprises capital investment， etc.， funds,2504,2504,1059
平成25,2013,2,林業・木材産業改善資金助成,Forestry and lumber industry improvement subsidies,52,52,14
平成25,2013,2,沿岸漁業改善資金助成,Coastal fishery improvement subsidies,48,48,20
平成25,2013,2,と場,Slaughter house,6032,6032,5581
平成25,2013,2,都営住宅等事業,Metropolitan public housing， etc.,167873,178230,154400
平成25,2013,2,都営住宅等保証金,Metropolitan public housing， etc.， security deposits,1981,1981,1972
平成25,2013,2,都市開発資金,Urban development funds,2121,2121,352
平成25,2013,2,用地,Land acquisition,44769,44840,32228
平成25,2013,2,公債費,Debt services,1905390,1905390,1882480
平成25,2013,2,臨海都市基盤整備事業,Waterfront urban infrastructure development,13009,14605,6766
平成25,2013,1,公営企業会計,Public enterprise accounts,1793288,1913329,1705602
平成25,2013,2,病院,Hospital,179677,179692,167464
平成25,2013,2,中央卸売市場,Central Wholesale Market,53799,109638,68909
平成25,2013,2,都市再開発事業,Urban redevelopment,66261,67353,32510
平成25,2013,2,臨海地域開発事業,Waterfront area development ,47678,50005,40895
平成25,2013,2,港湾事業,Port and harbor,6409,6501,4725
平成25,2013,2,交通事業,Transportation,62238,63537,56082
平成25,2013,2,高速電車事業,Railway,218689,224875,207341
平成25,2013,2,電気事業,Electric power,1277,1487,1130
平成25,2013,2,水道事業,Waterworks,441912,457812,419184
平成25,2013,2,工業用水道事業,Industrial waterworks,1966,1966,1495
平成25,2013,2,下水道事業,Sewerage,713382,750463,705866
,,,,,,,
東京都統計年鑑（平成25年）TOKYO STATISTICAL YEARBOOK ( 2013 )　21  財政 21  PUBLIC FINANCE,,,,,,,
21-1 会計別予算，決算額 (平成21～25年度) (歳出) 21-1  BUDGET AND SETTLEMENT BY ACCOUNT ( Fiscal Years 2009-2013 ) ( EXPENDITURE ),,,,,,,
注1) 最終予算額は，前年度からの繰越額を含む。 ,,,,,,,
2) 公営企業会計は，収益的支出額及び資本的支出額の合算額である。 ,,,,,,,
Note:1) The final budget includes the balance brought forward from the previous fiscal year.,,,,,,,
2) The Public enterprise accounts are the sum of revenue expenditure and capital expenditure.,,,,,,,
資料：都財務局主計部財政課 Source: Bureau of Finance， TMG,,,,,,,
会計階層（0:総数　1:一般会計・特別会計・公営企業会計　2:会計）,,,,,,,
（単位　百万円）(In millions of yen),,,,,,,
