地域階層,地域コード,地域,District,総数 Total,一般行政職 General administrative services,税務職 Tax services,医師・歯科医師職 Physicians and dentists,薬剤師医療技術職(栄養士含む） Pharmacists and medical technicians (includes nutritionists),看護保健職 Nursing and public health services,福祉職 Social welfare services,技能労務職 Vocational labor,教育職 Educational services,その他教育職 Other Educational services,臨時職員 Temporary employees
0,13100,総数,All ku,61100,32738,1954,96,730,1656,14423,8400,1044,49,10
1,13101,千代田区,Chiyoda-ku,1030,664,32,2,12,21,111,102,86,-,-
1,13102,中央区,Chuo-ku,1441,738,50,4,31,34,275,226,82,1,-
1,13103,港区,Minato-ku,2061,1225,66,4,16,46,367,259,78,-,-
1,13104,新宿区,Shinjuku-ku,2705,1414,92,7,18,84,652,370,64,4,-
1,13105,文京区,Bunkyo-ku,1790,913,59,2,38,46,431,233,68,-,-
1,13106,台東区,Taito-ku,1675,1183,42,4,13,48,196,125,64,-,-
1,13107,墨田区,Sumida-ku,1942,1175,75,3,19,48,405,192,24,1,-
1,13108,江東区,Koto-ku,2759,1313,95,7,22,73,733,407,107,2,-
1,13109,品川区,Shinagawa-ku,2572,1302,82,4,30,70,695,329,54,6,-
1,13110,目黒区,Meguro-ku,2081,1054,74,3,47,54,581,245,22,1,-
1,13111,大田区,Ota-ku,4340,2208,136,4,59,107,1152,667,5,2,-
1,13112,世田谷区,Setagaya-ku,5056,2797,153,5,52,124,1117,754,51,3,-
1,13113,渋谷区,Shibuya-ku,1861,955,57,3,15,47,363,395,20,6,-
1,13114,中野区,Nakano-ku,2057,1060,76,3,30,54,534,287,12,1,-
1,13115,杉並区,Suginami-ku,3558,1688,107,7,42,100,995,481,138,-,-
1,13116,豊島区,Toshima-ku,1979,1113,80,3,18,64,485,203,12,1,-
1,13117,北区,Kita-ku,2444,1299,86,4,15,82,687,246,25,-,-
1,13118,荒川区,Arakawa-ku,1556,955,52,3,22,54,284,148,37,1,-
1,13119,板橋区,Itabashi-ku,3552,1946,127,6,37,114,868,443,11,-,-
1,13120,練馬区,Nerima-ku,4513,2054,112,5,65,127,1299,815,35,-,1
1,13121,足立区,Adachi-ku,3489,2237,110,5,39,108,747,218,14,11,-
1,13122,葛飾区,Katsushika-ku,2940,1393,69,4,16,78,804,553,14,9,-
1,13123,江戸川区,Edogawa-ku,3699,2052,122,4,74,73,642,702,21,-,9
,,,,,,,,,,,,,,
東京都統計年鑑（平成25年）TOKYO STATISTICAL YEARBOOK ( 2013 )　22  選挙・職員 22  ELECTION AND GOVERNMENT EMPLOYEES,,,,,,,,,,,,,,
22-5  職員数 (2) 区 (平成25年4月1日)  22-5  GOVERNMENT EMPLOYEES (2) KU ( Apr. 1， 2013 ),,,,,,,,,,,,,,
注) 教育職には，教育長，小・中学校教員は含まない。 ,,,,,,,,,,,,,,
Note: Educational services figures do not include the Director General (Office of Education) or teachers of elementary and junior high schools.,,,,,,,,,,,,,,
資料：都総務局行政部振興企画課 「東京都区市町村年報」 Source: Bureau of General Affairs， TMG,,,,,,,,,,,,,,
地域階層（0:総数　1:区市町村）,,,,,,,,,,,,,,
