年度平均,Average of fiscal year,水質状況 ,Water quality,江戸川 Edogawa river／篠崎水門 Shinozaki flood gate,江戸川 Edogawa river／浦安橋 Urayasu bridge,中川 Nakagawa river／潮止橋 Shiodome bridge,中川 Nakagawa river／飯塚橋 Iizuka bridge,中川 Nakagawa river／葛西小橋 Kasai kobashi bridge,綾瀬川 Ayase river／内匠橋 Takumi bridge,綾瀬川 Ayase river／四ツ木小橋 Yotsugi kobashi bridge,荒川 Arakawa river／新荒川大橋 New Arakawaohashi bridge,荒川 Arakawa river／葛西橋 Kasai bridge,新河岸川 Shingashi river／徳丸橋 Tokumaru bridge,新河岸川 Shingashi river／志茂橋 Shimo bridge,隅田川 Sumida river／小台橋 Odai bridge,隅田川 Sumida river／両国橋 Ryogoku bridge,旧中川 Old Nakagawa river／中平井橋 Nakahirai bridge,石神井川 Shakujii river／豊石橋 Hohseki bridge,神田川 Kanda river／柳橋 Yanagi bridge,目黒川 Meguro river／太鼓橋 Taiko bridge,多摩川 Tama river／拝島橋 Haijima bridge,多摩川 Tama river／調布取水堰 Chofu intake weir,多摩川 Tama river／大師橋 Daishi bridge,秋川 Akikawa river／東秋川橋 Higashiakikawa bridge
平成21,2009,生物化学的酸素要求量,Biochemical oxygen demand， BOD,1.6,1.8,3.7,3.8,2.7,4.4,2.4,3.9,1.6,4.9,4.2,3,2,1.6,2.2,1.6,2.2,0.5,1.1,1.4,0.5
平成22,2010,生物化学的酸素要求量,Biochemical oxygen demand， BOD,1.4,1.9,3.3,3.3,2.5,2.8,2.2,…,1.7,4.9,4,2.9,2.5,1.5,1.9,2.4,3.4,0.8,1.1,1.8,<0.5
平成23,2011,生物化学的酸素要求量,Biochemical oxygen demand， BOD,1.5,2.1,4.9,5,2.5,3.7,2.5,…,1.7,5.9,4.8,3,2.3,1.5,2.3,1.9,3.8,0.8,1.3,2,0.6
平成24,2012,生物化学的酸素要求量,Biochemical oxygen demand， BOD,1.3,2.1,5.3,6.1,2.3,4.1,2.4,…,1.7,4.7,4,2.8,2.1,1.7,2.2,2.1,2.6,0.7,1.3,2.2,0.6
平成25,2013,生物化学的酸素要求量,Biochemical oxygen demand， BOD,1.6,1.3,3.6,4.2,1.5,3.4,2,…,1.8,4.3,3.6,2.5,1.6,1.3,1.8,1.9,2.5,0.6,1.4,1.7,0.5
平成21,2009,溶存酸素量,Dissolved oxygen， DO,9.7,8,7.2,7.6,5.9,5.5,5.6,7.3,6.5,7.5,6.8,5.5,4.7,5.3,6.7,5.2,6.5,10.4,9.2,7,10.4
平成22,2010,溶存酸素量,Dissolved oxygen， DO,10.3,9,7.8,7.8,6.6,6,6.3,…,7,7.4,7,5.9,5,5.7,7.3,5.7,7.3,10.2,9.7,7.7,11.1
平成23,2011,溶存酸素量,Dissolved oxygen， DO,10,8.4,7.3,7.2,6.1,4.7,5.7,…,6.6,7.1,6.2,5.2,4.5,5.8,6.6,4.9,6.1,10.1,9,7.5,11
平成24,2012,溶存酸素量,Dissolved oxygen， DO,9.7,8.6,7.2,7.1,6.6,4.7,6.3,…,6,7.5,6.8,5.9,5.2,6.3,6.6,4.6,5.3,10.3,9.1,7.8,10.6
平成25,2013,溶存酸素量,Dissolved oxygen， DO,9.7,8.7,6.8,7.1,6.7,5.2,6,…,6.9,7.4,6.7,5.8,5.5,6.6,7.1,5.9,6.1,10.1,9.7,7.7,10.6
平成21,2009,化学的酸素要求量,Chemical oxygen demand， COD,3.1,4.2,5.7,5.8,5.3,6.3,5.7,6.1,4.7,6.3,6.2,6.1,4.9,3.7,4,5.1,6.9,1.2,3.7,4.4,1.5
平成22,2010,化学的酸素要求量,Chemical oxygen demand， COD,3.5,4.3,7.1,6.3,5.3,6.8,5.5,…,5.1,5.8,5.7,5.8,5,4,3.6,5.4,9,1.2,3.5,4.2,1.2
平成23,2011,化学的酸素要求量,Chemical oxygen demand， COD,4.5,4.5,5.9,6.3,5.3,6.6,5.8,…,5.8,6.3,6.4,6.2,5.6,4,3.8,5.7,9.9,1.1,3.4,4.5,1.1
平成24,2012,化学的酸素要求量,Chemical oxygen demand， COD,3.4,4,6,7.1,5,7.7,5.5,…,6.2,6.2,6,5.9,5.2,3.5,4,5.7,7.4,1.3,3.9,5.8,0.9
平成25,2013,化学的酸素要求量,Chemical oxygen demand， COD,3,3.9,5.8,6,4.8,6.1,5.6,…,6.1,5.8,5.8,5.7,4.9,4,3.8,5.3,6.3,1.1,3.4,4.1,0.8
平成21,2009,浮遊物質,Suspended solids， SS,9,13,14,15,20,22,17,15,12,11,10,18,9,2,8,6,5,2,3,6,2
平成22,2010,浮遊物質,Suspended solids， SS,14,18,13,15,19,14,12,…,13,7,9,16,10,3,6,5,12,2,4,6,2
平成23,2011,浮遊物質,Suspended solids， SS,16,22,16,15,23,16,24,…,33,11,15,21,23,3,5,11,14,4,7,11,1
平成24,2012,浮遊物質,Suspended solids， SS,8,15,16,22,23,27,16,…,42,10,13,18,13,2,6,7,6,2,4,6,1
平成25,2013,浮遊物質,Suspended solids， SS,11,9,21,22,12,24,12,…,17,6,9,12,8,4,5,5,5,3,4,7,1
平成21,2009,水素イオン濃度,Hydrogen-ion concentration， pH ,7.6,7.5,7.3,7.4,7.5,7.3,7.4,7.4,7.6,7.2,7.2,7.2,7.4,7.5,7.4,7.3,7.2,8,7.8,7.7,7.8
平成22,2010,水素イオン濃度,Hydrogen-ion concentration， pH ,7.7,7.6,7.5,7.5,7.6,7.4,7.4,…,7.3,7.2,7.2,7.2,7.4,7.5,7.5,7.2,7.3,8.1,7.8,7.7,7.9
平成23,2011,水素イオン濃度,Hydrogen-ion concentration， pH ,7.8,7.5,7.5,7.5,7.5,7.4,7.3,…,7.5,7.3,7.3,7.3,7.3,7.6,7.4,7.2,7.4,8,7.8,7.7,7.7
平成24,2012,水素イオン濃度,Hydrogen-ion concentration， pH ,7.9,7.6,7.5,7.6,7.6,7.5,7.4,…,7.5,7.2,7.2,7.2,7.4,7.6,7.4,7.2,7.2,8.1,7.7,7.7,7.8
平成25,2013,水素イオン濃度,Hydrogen-ion concentration， pH ,7.8,7.6,7.5,7.5,7.6,7.4,7.4,…,7.5,7.2,7.2,7.2,7.5,7.6,7.4,7.3,7.2,7.9,8,7.7,7.8
平成21,2009,陰イオン界面活性剤,Methylene blue active substances， MBAS ,0.03,<0.02,0.07,0.03,<0.02,0.05,…,0.03,0.04,…,0.03,0.02,<0.02,<0.02,<0.02,<0.02,<0.02,…,…,…,<0.02
平成22,2010,陰イオン界面活性剤,Methylene blue active substances， MBAS ,<0.02,<0.02,0.06,0.03,<0.02,0.07,…,…,0.02,…,0.02,<0.02,<0.02,<0.02,<0.02,<0.02,0.02,…,…,…,<0.02
平成23,2011,陰イオン界面活性剤,Methylene blue active substances， MBAS ,<0.02,<0.02,0.05,0.05,<0.02,0.07,…,…,0.02,…,<0.02,<0.02,<0.02,<0.02,<0.02,0.02,0.03,…,…,…,<0.02
平成24,2012,陰イオン界面活性剤,Methylene blue active substances， MBAS ,<0.02,<0.02,0.03,0.02,<0.02,0.04,…,…,0.02,…,<0.02,<0.02,<0.02,<0.02,<0.02,<0.02,0.02,…,…,…,<0.02
平成25,2013,陰イオン界面活性剤,Methylene blue active substances， MBAS ,<0.02,0.02,<0.02,0.02,0.02,0.02,…,…,<0.02,…,0.04,0.04,0.03,0.02,0.03,0.03,0.03,…,…,…,<0.02
,,,,,,,,,,,,,,,,,,,,,,,,
東京都統計年鑑（平成25年）TOKYO STATISTICAL YEARBOOK ( 2013 )　19  医療・衛生・環境 19  MEDICAL CARE， SANITATION， AND ENVIRONMENT,,,,,,,,,,,,,,,,,,,,,,,,
19-15  主要河川の水質状況 (平成21～25年度) 19-15  WATER QUALITY OF MAJOR  RIVERS  ( Fiscal Years  2009-2013 ）,,,,,,,,,,,,,,,,,,,,,,,,
注 1) 水素イオン濃度はpH (0～14)で表される。,,,,,,,,,,,,,,,,,,,,,,,,
2) ＜0.5は， 0.5未満の数，＜1は， 1未満の数値であり， ＜0.02は， 0.02未満の数値である。,,,,,,,,,,,,,,,,,,,,,,,,
3) 陰イオン界面活性剤は測定方法により表示法が異なるため， 江戸川の篠崎水門，中川の潮止橋，飯塚橋，綾瀬川の内匠橋，荒川の新荒川大橋，葛西橋の地点については，数値に0.83をかけて比較する。,,,,,,,,,,,,,,,,,,,,,,,,
Note: 1) Hydrogen ion density is indicated in pH (0-14).,,,,,,,,,,,,,,,,,,,,,,,,
2) <0.5…Figures less than 0.5，<１…Figures less than 1， <0.02…Figures less than 0.02,,,,,,,,,,,,,,,,,,,,,,,,
