年度末,End of fiscal year,地域階層,地域コード,地域,District,合計 Total／計 Total,合計 Total／計 Total／全部支給 Full payment,合計 Total／計 Total／一部支給 Partial payment,合計 Total／停止 Discontinued,都道府県知事支給対象者 Covered by Prefecture／計 Total,都道府県知事支給対象者 Covered by Prefecture／計 Total／全部支給 Full payment,都道府県知事支給対象者 Covered by Prefecture／計 Total／一部支給 Partial payment,都道府県知事支給対象者 Covered by Prefecture／停止 Discontinued,国支給対象者 Covered by the State／計 Total,国支給対象者 Covered by the State／計 Total／全部支給 Full payment,国支給対象者 Covered by the State／計 Total／一部支給 Partial payment,国支給対象者 Covered by the State／停止 Discontinued
平成21,2009,0,13000,東京都,Tokyo-to,77428,42920,34508,14345,77411,42910,34501,14344,17,10,7,1
平成22,2010,0,13000,東京都,Tokyo-to,82894,46435,36459,14438,82882,46427,36455,14436,12,8,4,2
平成23,2011,0,13000,東京都,Tokyo-to,83793,47667,36126,14679,83783,47661,36122,14678,10,6,4,1
平成24,2012,0,13000,東京都,Tokyo-to,84238,48303,35935,14587,84233,48301,35932,14586,5,2,3,1
平成25,2013,0,13000,東京都,Tokyo-to,83615,47200,36415,14914,83613,47200,36413,14913,2,-,2,1
平成25,2013,1,13100,区部,All ku,54885,31083,23802,9988,54883,31083,23800,9987,2,-,2,1
平成25,2013,2,13101,千代田区,Chiyoda-ku,244,136,108,86,244,136,108,85,-,-,-,1
平成25,2013,2,13102,中央区,Chuo-ku,605,323,282,154,605,323,282,154,-,-,-,-
平成25,2013,2,13103,港区,Minato-ku,1133,680,453,304,1133,680,453,304,-,-,-,-
平成25,2013,2,13104,新宿区,Shinjuku-ku,1666,1017,649,291,1666,1017,649,291,-,-,-,-
平成25,2013,2,13105,文京区,Bunkyo-ku,746,394,352,260,746,394,352,260,-,-,-,-
平成25,2013,2,13106,台東区,Taito-ku,1100,628,472,178,1100,628,472,178,-,-,-,-
平成25,2013,2,13107,墨田区,Sumida-ku,1855,1051,804,322,1855,1051,804,322,-,-,-,-
平成25,2013,2,13108,江東区,Koto-ku,3252,1861,1391,571,3252,1861,1391,571,-,-,-,-
平成25,2013,2,13109,品川区,Shinagawa-ku,1839,890,949,501,1839,890,949,501,-,-,-,-
平成25,2013,2,13110,目黒区,Meguro-ku,967,542,425,274,967,542,425,274,-,-,-,-
平成25,2013,2,13111,大田区,Ota-ku,4024,2136,1888,826,4023,2136,1887,826,1,-,1,-
平成25,2013,2,13112,世田谷区,Setagaya-ku,3581,1876,1705,951,3581,1876,1705,951,-,-,-,-
平成25,2013,2,13113,渋谷区,Shibuya-ku,805,445,360,187,805,445,360,187,-,-,-,-
平成25,2013,2,13114,中野区,Nakano-ku,1364,710,654,289,1364,710,654,289,-,-,-,-
平成25,2013,2,13115,杉並区,Suginami-ku,1900,980,920,534,1900,980,920,534,-,-,-,-
平成25,2013,2,13116,豊島区,Toshima-ku,1294,712,582,228,1294,712,582,228,-,-,-,-
平成25,2013,2,13117,北区,Kita-ku,2097,1160,937,298,2097,1160,937,298,-,-,-,-
平成25,2013,2,13118,荒川区,Arakawa-ku,1482,820,662,243,1482,820,662,243,-,-,-,-
平成25,2013,2,13119,板橋区,Itabashi-ku,4057,2425,1632,578,4057,2425,1632,578,-,-,-,-
平成25,2013,2,13120,練馬区,Nerima-ku,4525,2596,1929,838,4525,2596,1929,838,-,-,-,-
平成25,2013,2,13121,足立区,Adachi-ku,6667,4070,2597,773,6666,4070,2596,773,1,-,1,-
平成25,2013,2,13122,葛飾区,Katsushika-ku,3666,2117,1549,515,3666,2117,1549,515,-,-,-,-
平成25,2013,2,13123,江戸川区,Edogawa-ku,6016,3514,2502,787,6016,3514,2502,787,-,-,-,-
平成25,2013,1,13200,市部,All shi,27949,15696,12253,4782,27949,15696,12253,4782,-,-,-,-
平成25,2013,2,13201,八王子市,Hachioji-shi,4351,2507,1844,736,4351,2507,1844,736,-,-,-,-
平成25,2013,2,13202,立川市,Tachikawa-shi,1431,820,611,215,1431,820,611,215,-,-,-,-
平成25,2013,2,13203,武蔵野市,Musashino-shi,496,237,259,116,496,237,259,116,-,-,-,-
平成25,2013,2,13204,三鷹市,Mitaka-shi,885,496,389,138,885,496,389,138,-,-,-,-
平成25,2013,2,13205,青梅市,Ome-shi,1226,694,532,239,1226,694,532,239,-,-,-,-
平成25,2013,2,13206,府中市,Fuchu-shi,1646,950,696,315,1646,950,696,315,-,-,-,-
平成25,2013,2,13207,昭島市,Akishima-shi,1002,547,455,114,1002,547,455,114,-,-,-,-
平成25,2013,2,13208,調布市,Chofu-shi,1249,631,618,228,1249,631,618,228,-,-,-,-
平成25,2013,2,13209,町田市,Machida-shi,3053,1831,1222,529,3053,1831,1222,529,-,-,-,-
平成25,2013,2,13210,小金井市,Koganei-shi,410,198,212,75,410,198,212,75,-,-,-,-
平成25,2013,2,13211,小平市,Kodaira-shi,1135,652,483,180,1135,652,483,180,-,-,-,-
平成25,2013,2,13212,日野市,Hino-shi,1065,573,492,182,1065,573,492,182,-,-,-,-
平成25,2013,2,13213,東村山市,Higashimurayama-shi,1200,710,490,178,1200,710,490,178,-,-,-,-
平成25,2013,2,13214,国分寺市,Kokubunji-shi,432,234,198,92,432,234,198,92,-,-,-,-
平成25,2013,2,13215,国立市,Kunitachi-shi,464,244,220,84,464,244,220,84,-,-,-,-
平成25,2013,2,13218,福生市,Fussa-shi,609,348,261,84,609,348,261,84,-,-,-,-
平成25,2013,2,13219,狛江市,Komae-shi,333,165,168,87,333,165,168,87,-,-,-,-
平成25,2013,2,13220,東大和市,Higashiyamato-shi,701,402,299,93,701,402,299,93,-,-,-,-
平成25,2013,2,13221,清瀬市,Kiyose-shi,666,374,292,101,666,374,292,101,-,-,-,-
平成25,2013,2,13222,東久留米市,Higashikurume-shi,916,520,396,167,916,520,396,167,-,-,-,-
平成25,2013,2,13223,武蔵村山市,Musashimurayama-shi,835,503,332,89,835,503,332,89,-,-,-,-
平成25,2013,2,13224,多摩市,Tama-shi,1055,584,471,231,1055,584,471,231,-,-,-,-
平成25,2013,2,13225,稲城市,Inagi-shi,470,242,228,111,470,242,228,111,-,-,-,-
平成25,2013,2,13227,羽村市,Hamura-shi,511,248,263,108,511,248,263,108,-,-,-,-
平成25,2013,2,13228,あきる野市,Akiruno-shi,674,347,327,94,674,347,327,94,-,-,-,-
平成25,2013,2,13229,西東京市,Nishitokyo-shi,1134,639,495,196,1134,639,495,196,-,-,-,-
平成25,2013,1,13300,郡部,All gun,567,323,244,96,567,323,244,96,-,-,-,-
平成25,2013,1,13350,島部,All islands,214,98,116,48,214,98,116,48,-,-,-,-
,,,,,,,,,,,,,,,,,
東京都統計年鑑（平成25年）TOKYO STATISTICAL YEARBOOK ( 2013 )　18  社会保障 18  SOCIAL SECURITY,,,,,,,,,,,,,,,,,
18-5  児童扶養手当受給状況（平成21～25年度末） 18-5  RECIPIENTS OF CHILD CARE ALLOWANCES ( End of Fiscal Years 2009-2013 ),,,,,,,,,,,,,,,,,
資料：都福祉保健局総務部総務課 「福祉・衛生統計年報」 Source: Bureau of Social Welfare and Public Health， TMG    ,,,,,,,,,,,,,,,,,
地域階層（0:東京都　1:区部・市部・郡部・島部　2:区市),,,,,,,,,,,,,,,,,
