区分階層,項番 Item number,裁判所,Court,略号,Abbreviation,新受 Newly received (A)／総数 Total,新受 Newly received (A)／検察官の起訴 Prosecuted by public prosecutors,新受 Newly received (A)／その他 Others,既済 Disposed／総数 (B) Total,既済 Disposed／有罪 (C) Guilty,既済 Disposed／有罪 (C) Guilty／執行猶予を付したもの With suspension of sentence,既済 Disposed／有罪 (C) Guilty／執行猶予を付したもの With suspension of sentence／執行猶予のうちの保護観察 Under probation,既済 Disposed／無罪 (D) Not guilty,既済 Disposed／その他 (E) Others,既済 Disposed／同一被告人に関する事件の併合 Joinder of actions against the same defendant,未済 (F) Pending
0,,総数,Total,通,R,"9,238", … , … ,9286,6933,3732,249,20,122,2211,2660
0,,総数,Total,略,S,"22,984", … , … ,22994,22992, -, -, -,2, -,463
1,,地方裁判所,District Court,通,R,"7,947", … , … ,7945,5816,3184,213,13,69,2047,2486
2,1,東京,Tokyo,通,R,"6,324", … , … ,6320,4612,2520,170,11,52,1645,2078
2,2,立川支部,Tachikawa Branch,通,R,"1,623", … , … ,1625,1204,664,43,2,17,402,408
1,,簡易裁判所,Summary Court,通,R,"1,291", … , … ,1341,1117,548,36,7,53,164,174
1,,簡易裁判所,Summary Court,略,S,"22,984", … , … ,22994,22992, -, -, -,2, -,463
2,1,東京,Tokyo,通,R,"1,132", … , … ,1185,1001,486,30,6,43,135,142
2,1,東京,Tokyo,略,S,"16,127", … , … ,16137,16135, -, -, -,2, -,463
2,2,八丈島,Hachijojima ,通,R, -, … , … , -, -, -, -, -, -, -, -
2,2,八丈島,Hachijojima ,略,S,2, … , … ,2,2, -, -, -, -, -, -
2,3,伊豆大島,Izu-oshima,通,R, -, … , … , -, -, -, -, -, -, -, -
2,3,伊豆大島,Izu-oshima,略,S,1, … , … ,1,1, -, -, -, -, -, -
2,4,新島,Niijima,通,R, -, … , … , -, -, -, -, -, -, -, -
2,4,新島,Niijima,略,S,2, … , … ,2,2, -, -, -, -, -, -
2,5,八王子,Hachioji,通,R,48, … , … ,41,32,19,3, -, -,9,13
2,5,八王子,Hachioji,略,S,508, … , … ,508,508, -, -, -, -, -, -
2,6,立川 ,Tachikawa,通,R,9, … , … ,8,4, -, -,1,3, -,3
2,6,立川 ,Tachikawa,略,S,"4,968", … , … ,4968,4968, -, -, -, -, -, -
2,7,武蔵野 ,Musashino ,通,R,74, … , … ,77,54,31,2, -,7,16,12
2,7,武蔵野 ,Musashino ,略,S,637, … , … ,637,637, -, -, -, -, -, -
2,8,青梅,Ome,通,R,1, … , … ,1,1, -, -, -, -, -, -
2,8,青梅,Ome,略,S,229, … , … ,229,229, -, -, -, -, -, -
2,9,町田,Machida ,通,R,27, … , … ,29,25,12,1, -, -,4,4
2,9,町田,Machida ,略,S,510, … , … ,510,510, -, -, -, -, -, -
,,,,,,,,,,,,,,,,
東京都統計年鑑（平成25年）TOKYO STATISTICAL YEARBOOK ( 2013 ) 20  司法・警察・消防 20  JUSTICE， POLICE， AND FIRE FIGHTING SERVICES,,,,,,,,,,,,,,,,
20-8  刑事事件の種類，手続，裁判所別人員 （平成25年） 20-8  DEFENDANTS BY TYPE OF CRIMINAL CASE， COURT PROCEEDING， AND COURT ( 2013 ),,,,,,,,,,,,,,,,
この表の数字は再審事件を含む。,,,,,,,,,,,,,,,,
Figures in this table include retrial cases.,,,,,,,,,,,,,,,,
注 )  表側の略号のうち 「通」 は通常第一審事件， 「略」 は略式事件をいう。,,,,,,,,,,,,,,,,
"Note:) Abbreviations ""R"" and ""S"" indicate ordinary cases of the court of first instance and summary proceeding cases， respectively.",,,,,,,,,,,,,,,,
資料：東京地方裁判所事務局総務課 Source: Tokyo District Court,,,,,,,,,,,,,,,,
区分階層(0:総数　1:区分　2:区分内訳),,,,,,,,,,,,,,,,
