年度,Fiscal year,地域階層,地域コード,地域,District,第1号被保険者数 (1月末) Primary insured persons (as of the end of January),要介護(要支援)認定者数 (1月末) Persons certified for LTC／support (as of the end of January)／第1号 Primary,要介護(要支援)認定者数 (1月末) Persons certified for LTC／support (as of the end of January)／第2号 Secondary,居宅介護(支援)サービス受給者数 (1月末) Recipients of in-home LTC services (as of the end of January)／第1号 Primary,居宅介護(支援)サービス受給者数 (1月末) Recipients of in-home LTC services (as of the end of January)／第2号 Secondary,地域密着型サービス受給者数 (1月末) Recipient of community-based LTC services (as of the end of January)／第1号 Primary,地域密着型サービス受給者数 (1月末) Recipient of community-based LTC services (as of the end of January)／第2号 Secondary,施設介護サービス受給者数 (1月末) Recipients of LTC services in facilities (as of the end of January)／第1号 Primary,施設介護サービス受給者数 (1月末) Recipients of LTC services in facilities (as of the end of January)／第2号 Secondary
平成23,2011,0,13000,東京都,Tokyo-to,2663049,449968,13602,289060,8921,19823,364,63469,1052
平成24,2012,0,13000,東京都,Tokyo-to,2766811,480108,13529,309072,8798,21680,365,65258,1040
平成25,2013,0,13000,東京都,Tokyo-to,2860243,506041,13232,328562,8708,22954,358,67534,987
平成25,2013,1,13100,区部,Al ku,1913731,346653,8778,230799,5860,16317,251,42617,592
平成25,2013,2,13101,千代田区,Chiyoda-ku,10320,2102,50,1380,33,171,1,238,2
平成25,2013,2,13102,中央区,Chuo-ku,21882,4159,127,2639,78,232,4,530,3
平成25,2013,2,13103,港区,Minato-ku,40991,8040,189,5238,122,211,1,1109,7
平成25,2013,2,13104,新宿区,Shinjuku-ku,65179,12126,214,8398,163,706,10,1552,12
平成25,2013,2,13105,文京区,Bunkyo-ku,40972,7407,152,5070,108,365,9,905,8
平成25,2013,2,13106,台東区,Taito-ku,44702,8461,203,5514,131,306,6,1086,15
平成25,2013,2,13107,墨田区,Sumida-ku,57524,10143,287,7020,200,462,9,1402,15
平成25,2013,2,13108,江東区,Koto-ku,101090,15757,487,10104,304,716,7,2290,49
平成25,2013,2,13109,品川区,Shinagawa-ku,77065,12839,388,8570,224,650,10,1827,29
平成25,2013,2,13110,目黒区,Meguro-ku,53211,10276,212,6880,147,347,7,1343,10
平成25,2013,2,13111,大田区,Ota-ku,154696,27989,773,19284,525,1318,23,3027,51
平成25,2013,2,13112,世田谷区,Setagaya-ku,171086,34772,767,23484,504,1575,25,3420,37
平成25,2013,2,13113,渋谷区,Shibuya-ku,41214,8147,190,5142,104,271,3,1033,13
平成25,2013,2,13114,中野区,Nakano-ku,65438,12592,235,8627,169,710,6,1430,12
平成25,2013,2,13115,杉並区,Suginami-ku,112989,22473,447,14979,303,996,19,2481,24
平成25,2013,2,13116,豊島区,Toshima-ku,55444,10662,219,7406,165,463,6,1282,11
平成25,2013,2,13117,北区,Kita-ku,84714,15568,398,10184,268,780,7,2031,25
平成25,2013,2,13118,荒川区,Arakawa-ku,47453,8056,223,5321,154,431,8,1201,19
平成25,2013,2,13119,板橋区,Itabashi-ku,119556,21297,569,13641,392,957,17,2595,34
平成25,2013,2,13120,練馬区,Nerima-ku,149309,28081,659,18915,434,1318,23,3435,63
平成25,2013,2,13121,足立区,Adachi-ku,158751,28169,813,18028,513,1511,17,3354,68
平成25,2013,2,13122,葛飾区,Katsushika-ku,105564,17784,477,11843,332,830,11,2513,35
平成25,2013,2,13123,江戸川区,Edogawa-ku,134581,19753,699,13132,487,991,22,2533,50
平成25,2013,1,13200,市部,All shi,922170,155359,4329,95600,2775,6523,105,23863,375
平成25,2013,2,13201,八王子市,Hachioji-shi,130186,22462,611,13456,384,848,16,3177,51
平成25,2013,2,13202,立川市,Tachikawa-shi,39764,6830,187,4384,131,396,2,973,13
平成25,2013,2,13203,武蔵野市,Musashino-shi,30160,5899,138,3738,102,238,7,911,27
平成25,2013,2,13204,三鷹市,Mitaka-shi,37253,6776,157,4430,99,374,1,874,13
平成25,2013,2,13205,青梅市,Ome-shi,32526,4536,185,2290,102,180,2,1010,17
平成25,2013,2,13206,府中市,Fuchu-shi,50752,8884,272,5154,169,346,8,1215,11
平成25,2013,2,13207,昭島市,Akishima-shi,25752,4278,140,2586,80,182,4,804,15
平成25,2013,2,13208,調布市,Chofu-shi,46013,8599,184,5350,121,325,1,1141,17
平成25,2013,2,13209,町田市,Machida-shi,101726,16689,470,10220,310,926,12,2716,47
