項目,Item,平成23年度 Fiscal year 2011／実数 Value,平成23年度 Fiscal year 2011／構成比 Percentage Distribution (%),平成23年度 Fiscal year 2011／対前年度増加率 Percent changes from previous fiscal year (%),平成24年度 Fiscal year 2012／実数 Value,平成24年度 Fiscal year 2012／構成比 Percentage Distribution (%),平成24年度 Fiscal year 2012／対前年度増加率 Percent changes from previous fiscal year (%)
雇用者報酬（都内活動による）,Compensation of employees (from activities in Tokyo),50907.5,54.8,0.6,50654.4,55.1,-0.5
営業余剰・混合所得,Operating surplus and mixed income,21473.7,23.1,4.2,20976.6,22.8,-2.3
固定資本減耗,Consumption of fixed capital,15855.2,17.1,1.6,15640.1,17,-1.4
生産・輸入品に課される税,Taxes on production and imports,4998.2,5.4,1.7,4948.7,5.4,-1
（控除）補助金,(less) Subsidies,377.3,0.4,5.7,311,0.3,-17.6
都内総生産 (市場価格),Gross prefectural domestic product (at market prices),92857.3,100,1.6,91908.9,100,-1
民間最終消費支出,Private final consumption expenditure,37639.3,40.5,-0.2,38185.4,41.5,1.5
政府最終消費支出,Government final consumption expenditure,14156,15.2,-0.5,14390.8,15.7,1.7
都内総固定資本形成,Gross prefectural domestic fixed capital formation,12983.3,14,2,13277.4,14.4,2.3
在庫品増加,Changes in inventories,-383.7,-0.4,-,-227.5,-0.2,-
財貨・サービスの移出入(純）,Outflows of goods and services， net,29181.7,31.4,-2,28609.3,31.1,-2
統計上の不突合,Statistical discrepancy,-719.2,-0.8,-,-2326.5,-2.5,-
都内総生産 (支出側)（市場価格）,Gross prefectural domestic product (expenditure approach) (at market prices),92857.3,100,1.6,91908.9,100,-1
,,,,,,,
東京都統計年鑑（平成25年）TOKYO STATISTICAL YEARBOOK ( 2013 )　16  都民経済計算 16  TOKYO METROPOLITAN ACCOUNTS ,,,,,,,
16-1  都内総生産勘定 (生産側及び支出側) (平成23，24年度) 16-1  GROSS PREFECTURAL DOMESTIC PRODUCT ACCOUNT (PRODUCTION AND EXPENDITURE APPROACH) ( Fiscal Years 2011and 2012),,,,,,,
資料：都総務局統計部調整課「都民経済計算年報」 Source: Bureau of General Affairs， TMG,,,,,,,
（単位  金額 10 億円） (Value in billions of yen),,,,,,,
