年齢 (歳),Age groups (years old),男Male／計Total 2),男Male／未婚Never married,男Male／有配偶Married,男Male／死別Widowed,男Male／離別Divorced,女Female／計Total 2),女Female／未婚Never married,女Female／有配偶Married,女Female／死別Widowed,女Female／離別Divorced
総数,Total,5652734,2062120,2935207,126514,180960,5839722,1708874,2924041,601714,299352
15～19,15-19,277669,272286,762,21,36,268904,263254,1178,28,71
20～24,20-24,402472,357638,12028,100,448,383439,336227,21325,184,1135
25～29,25-29,487772,344320,87499,118,2176,461582,295809,124818,209,4662
30～34,30-34,532686,263915,215218,201,6254,506082,202932,260487,476,11489
35～39,35-39,594971,229337,308959,528,12962,569086,163560,351550,1307,23457
40～44,40-44,541168,169855,319486,919,17364,512064,117887,336172,2696,30637
45～49,45-49,467659,122292,297226,1650,19951,437902,82638,295863,4929,33316
50～54,50-54,379997,82162,256653,2565,19372,360094,51533,254407,8572,31194
55～59,55-59,387172,75297,264546,4975,22325,373592,42919,264924,16901,34311
60～64,60-64,449665,70967,318557,10230,28945,456249,45123,314800,37116,42238
65～69,65-69,364786,38956,272954,14957,22390,406610,33132,263807,60625,32401
70～74,70-74,298675,20087,231225,19615,15470,356256,25127,205335,87038,22379
75～79,75-79,236497,9749,184673,24048,8703,308057,21810,139716,114022,15358
80～84,80-84,143057,3936,107994,22340,3367,223315,16311,66474,115315,9642
85歳以上,85 and over,88488,1323,57427,24247,1197,216490,10612,23185,152296,7062
,,,,,,,,,,,
東京都統計年鑑（平成25年）TOKYO STATISTICAL YEARBOOK ( 2013 )　2  人口・世帯 2  POPULATION AND HOUSEHOLDS,,,,,,,,,,,
2-9 配偶関係（4区分），年齢（5歳階級），男女別15歳以上人口（平成22年10月1日）2-9 POPULATION 15 YEARS OF AGE AND OVER BY MARITAL STATUS， 5-YEAR AGE GROUP，AND GENDER ( Oct. 1， 2010 ) ,,,,,,,,,,,
注 1) 「国勢調査」による。,,,,,,,,,,,
2) 配偶関係 「不詳」 を含む。,,,,,,,,,,,
Note: 1) Data are based on the Population Census.,,,,,,,,,,,
2) Includes “marital status not reported”.,,,,,,,,,,,
資料：総務省統計局 「国勢調査報告」Source: Ministry of Internal Affairs and Communications,,,,,,,,,,,
