年度,Fiscal year,会社名,Company name,系統,Line,駅,Station,マーク Mark,乗車人員 Boarding passengers／総数 Total,乗車人員 Boarding passengers／定期 Commuter Pass,乗車人員 Boarding passengers／普通 Tickets,降車人員 Deboarding passengers／総数 Total,降車人員 Deboarding passengers／定期 Commuter Pass,降車人員 Deboarding passengers／普通 Tickets
平成21,2009,総数,Total,,,,,,2955069,1727166,1227901,2937939,1717537,1220401
平成22,2010,総数,Total,,,,,,2940343,1732195,1208150,2923230,1722581,1200648
平成23,2011,総数,Total,,,,,,2917202,1715214,1201989.991,2899143.811,1705797.82,1193343.991
平成24,2012,総数,Total,,,,,,2986160,1744492,1241669,2967071,1734864,1232206
平成25,2013,総数,Total,,,,,,3044746,1795702,1249045,3025328,1785647,1239679
平成25,2013,区部,Ku area only,,,,,,2439443,1436006,1003437,2420664,1425951,994714
平成25,2013,小田急電鉄,Odakyu Electric Railway,,,,,,334028,203347,130681,334886,203347,131539
平成25,2013,小田急電鉄,Odakyu Electric Railway,小田原線,Odawara Line,,,,315504,191328,124176,316716,191328,125388
平成25,2013,小田急電鉄,Odakyu Electric Railway,小田原線,Odawara Line,新宿,Shinjuku,※,91512,54723,36789,88865,54723,34142
平成25,2013,小田急電鉄,Odakyu Electric Railway,小田原線,Odawara Line,南新宿,Minami-Shinjuku,※,592,169,423,813,169,644
平成25,2013,小田急電鉄,Odakyu Electric Railway,小田原線,Odawara Line,参宮橋,Sangubashi,※,2721,987,1734,3009,987,2022
平成25,2013,小田急電鉄,Odakyu Electric Railway,小田原線,Odawara Line,代々木八幡,Yoyogi-Hachiman,※,3430,1796,1634,3994,1796,2198
平成25,2013,小田急電鉄,Odakyu Electric Railway,小田原線,Odawara Line,代々木上原,Yoyogi-Uehara,※,42300,28722,13578,45534,28722,16812
平成25,2013,小田急電鉄,Odakyu Electric Railway,小田原線,Odawara Line,東北沢,Higashi-Kitazawa,※,1187,497,690,1218,497,721
平成25,2013,小田急電鉄,Odakyu Electric Railway,小田原線,Odawara Line,下北沢,Shimo-Kitazawa,※,21869,12121,9748,22299,12121,10178
平成25,2013,小田急電鉄,Odakyu Electric Railway,小田原線,Odawara Line,世田谷代田,Setagaya-Daita,※,1421,723,698,1532,723,809
平成25,2013,小田急電鉄,Odakyu Electric Railway,小田原線,Odawara Line,梅ヶ丘,Umegaoka,※,5887,3731,2156,5773,3731,2042
平成25,2013,小田急電鉄,Odakyu Electric Railway,小田原線,Odawara Line,豪徳寺,Gotokuji,※,4769,2631,2138,4642,2631,2011
平成25,2013,小田急電鉄,Odakyu Electric Railway,小田原線,Odawara Line,経堂,Kyodo,※,13336,8262,5074,13221,8262,4959
平成25,2013,小田急電鉄,Odakyu Electric Railway,小田原線,Odawara Line,千歳船橋,Chitose-Funabashi,※,10196,6345,3851,9917,6345,3572
平成25,2013,小田急電鉄,Odakyu Electric Railway,小田原線,Odawara Line,祖師ヶ谷大蔵,Soshigaya-Okura,※,8407,5118,3289,8376,5118,3258
平成25,2013,小田急電鉄,Odakyu Electric Railway,小田原線,Odawara Line,成城学園前,Seijogakuen-Mae,※,16006,9830,6176,15653,9830,5823
平成25,2013,小田急電鉄,Odakyu Electric Railway,小田原線,Odawara Line,喜多見,Kitami,※,5863,3658,2205,5929,3658,2271
平成25,2013,小田急電鉄,Odakyu Electric Railway,小田原線,Odawara Line,狛江,Komae,,8048,5066,2982,8071,5066,3005
平成25,2013,小田急電鉄,Odakyu Electric Railway,小田原線,Odawara Line,和泉多摩川,Izumi-Tamagawa,,2822,1843,979,2748,1843,905
平成25,2013,小田急電鉄,Odakyu Electric Railway,小田原線,Odawara Line,鶴川,Tsurukawa,,12757,8295,4462,12614,8295,4319
平成25,2013,小田急電鉄,Odakyu Electric Railway,小田原線,Odawara Line,玉川学園前,Tamagawagakuen-Mae,,8962,5942,3020,9063,5942,3121
