年度,Fiscal year,地域階層,地域コード,地域,District,病院病床  Beds／総数 Total,病院病床  Beds／精神病床 Psychiatric ,病院病床  Beds／結核病床 Tuberculosis,病院病床  Beds／感染症病床 Infectious diseases beds,病院病床  Beds ／療養病床 Long-term care,病院病床  Beds／一般病床 General,患者延数 Total number of patients／在院患者 Inpatients,患者延数 Total number of patients／新入院患者数 New inpatients,患者延数 Total number of patients／外来患者数 Outpatients
平成20,2008,0,13000,東京都,Tokyo-to,128243,24585,741,153,20368,82396,37292785,1435597,53749852
平成21,2009,0,13000,東京都,Tokyo-to,128211,24434,712,125,20559,82381,37011126,1451233,53428736
平成22,2010,0,13000,東京都,Tokyo-to,127803,24265,644,145,20444,82305,37321644,1495978,53488025
平成23,2011,0,13000,東京都,Tokyo-to,127380,23679,638,145,20947,81971,37225751,1509674,53190197
平成24,2012,0,13000,東京都,Tokyo-to,127483,23409,638,145,21815,81476,37355034,1553292,53444546
平成24,2012,1,13100,区部,All ku,79246,7686,301,99,11660,59500,22530431,1162624,40780698
平成24,2012,2,13101,千代田区,Chiyoda-ku,2369,54,-,-,50,2265,575566,51909,2024401
平成24,2012,2,13102,中央区,Chuo-ku,1219,-,-,-,52,1167,368711,31026,979669
平成24,2012,2,13103,港区,Minato-ku,3980,49,8,-,68,3855,1083272,85126,3333106
平成24,2012,2,13104,新宿区,Shinjuku-ku,6331,339,40,4,45,5903,1755567,127593,4267678
平成24,2012,2,13105,文京区,Bunkyo-ku,5388,148,47,30,118,5045,1575669,107334,4076623
平成24,2012,2,13106,台東区,Taito-ku,1079,86,-,-,303,690,321305,11479,529158
平成24,2012,2,13107,墨田区,Sumida-ku,2548,36,-,10,173,2329,643766,43074,1226028
平成24,2012,2,13108,江東区,Koto-ku,2731,129,-,-,238,2364,784869,43533,1495706
平成24,2012,2,13109,品川区,Shinagawa-ku,2868,50,-,-,492,2326,775453,50159,1604121
平成24,2012,2,13110,目黒区,Meguro-ku,2475,50,-,-,175,2250,723330,47037,1334500
平成24,2012,2,13111,大田区,Ota-ku,4988,128,46,20,885,3909,1483555,74235,2899287
平成24,2012,2,13112,世田谷区,Setagaya-ku,5945,1495,60,10,850,3530,1510102,58752,1984418
平成24,2012,2,13113,渋谷区,Shibuya-ku,2890,53,2,-,713,2122,846760,48535,1734309
平成24,2012,2,13114,中野区,Nakano-ku,1956,-,-,-,505,1451,570370,25539,936773
平成24,2012,2,13115,杉並区,Suginami-ku,2309,-,-,-,971,1338,712475,27779,785414
平成24,2012,2,13116,豊島区,Toshima-ku,1714,-,-,-,287,1427,505722,22231,679569
平成24,2012,2,13117,北区,Kita-ku,2246,203,-,-,359,1684,660709,26531,1155030
平成24,2012,2,13118,荒川区,Arakawa-ku,1543,-,-,-,434,1109,470763,19878,706975
平成24,2012,2,13119,板橋区,Itabashi-ku,9907,2028,12,20,2254,5593,2903718,97550,3298153
平成24,2012,2,13120,練馬区,Nerima-ku,3252,1343,-,-,547,1362,932983,31268,1088336
平成24,2012,2,13121,足立区,Adachi-ku,6392,1236,-,-,1194,3962,1851640,51118,2012961
平成24,2012,2,13122,葛飾区,Katsushika-ku,2470,217,36,5,373,1839,724831,38042,1295183
平成24,2012,2,13123,江戸川区,Edogawa-ku,2646,42,50,-,574,1980,749295,42896,1333300
平成24,2012,1,13200,市部,All shi,47599,15663,337,44,9730,21825,14622940,388645,12576226
平成24,2012,2,13201,八王子市,Hachioji-shi,9160,4206,34,8,2087,2825,2872727,55210,1740283
平成24,2012,2,13202,立川市,Tachikawa-shi,1645,63,-,6,186,1390,503307,29695,702799
平成24,2012,2,13203,武蔵野市,Musashino-shi,1259,-,-,20,148,1091,404995,24078,681693
平成24,2012,2,13204,三鷹市,Mitaka-shi,2815,1152,-,-,219,1444,865374,29316,1010269
平成24,2012,2,13205,青梅市,Ome-shi,4609,2463,-,4,1430,712,1511701,17797,607826
平成24,2012,2,13206,府中市,Fuchu-shi,3631,945,60,-,225,2401,1055875,48437,1012061
平成24,2012,2,13207,昭島市,Akishima-shi,1022,-,-,-,297,725,270498,9636,468973
平成24,2012,2,13208,調布市,Chofu-shi,1622,842,-,-,279,501,460996,6727,380623
平成24,2012,2,13209,町田市,Machida-shi,3981,1592,-,-,874,1515,1279618,23653,899807
平成24,2012,2,13210,小金井市,Koganei-shi,1142,510,-,-,384,248,344110,4301,179651
平成24,2012,2,13211,小平市,Kodaira-shi,2331,750,-,6,573,1002,746803,19079,606768
平成24,2012,2,13212,日野市,Hino-shi,1028,238,-,-,342,448,329360,8112,310464
平成24,2012,2,13213,東村山市,Higashimurayama-shi,2685,696,8,-,418,1563,722192,13228,503620
平成24,2012,2,13214,国分寺市,Kokubunji-shi,251,-,-,-,251,-,86349,942,24113
平成24,2012,2,13215,国立市,Kunitachi-shi,64,-,-,-,8,56,18638,1691,94692
平成24,2012,2,13218,福生市,Fussa-shi,672,-,-,-,96,576,191018,9220,292918
平成24,2012,2,13219,狛江市,Komae-shi,717,20,27,-,136,534,211357,11440,411210
平成24,2012,2,13220,東大和市,Higashiyamato-shi,412,-,-,-,-,412,133146,8300,164632
平成24,2012,2,13221,清瀬市,Kiyose-shi,2204,255,208,-,643,1098,664332,18512,566787
平成24,2012,2,13222,東久留米市,Higashikurume-shi,274,183,-,-,-,91,93120,2076,136606
平成24,2012,2,13223,武蔵村山市,Musashimurayama-shi,886,-,-,-,216,670,260951,8269,317290
平成24,2012,2,13224,多摩市,Tama-shi,2299,903,-,-,250,1146,707274,16939,528572
平成24,2012,2,13225,稲城市,Inagi-shi,948,399,-,-,259,290,297709,6587,166630
平成24,2012,2,13227,羽村市,Hamura-shi,246,-,-,-,246,-,81232,497,22637
平成24,2012,2,13228,あきる野市,Akiruno-shi,590,120,-,-,100,370,168695,4857,217558
平成24,2012,2,13229,西東京市,Nishitokyo-shi,1106,326,-,-,63,717,341563,10046,527744
平成24,2012,1,13300,郡部,All gun,584,60,-,-,425,99,192325,1362,35720
平成24,2012,2,13303,瑞穂町,Mizuho-machi,120,-,-,-,120,-,42644,218,8597
平成24,2012,2,13305,日の出町,Hinode-machi,421,60,-,-,305,56,142352,803,12210
平成24,2012,2,13307,檜原村,Hinohara-mura,-,-,-,-,-,-,-,-,-
平成24,2012,2,13308,奥多摩町,Okutama-machi,43,-,-,-,-,43,7329,341,14913
平成24,2012,1,13350,島部,All islands,54,-,-,2,-,52,9338,661,51902
,,,,,,,,,,,,,,
東京都統計年鑑（平成25年）TOKYO STATISTICAL YEARBOOK ( 2013 )　19  医療・衛生・環境 19  MEDICAL CARE， SANITATION， AND ENVIRONMENT,,,,,,,,,,,,,,
19-3  種類別病床数及び患者延数 (平成20～平成24年度) 19-3  NUMBER OF BEDS AND PATIENTS BY TYPE OF CARE ( Fiscal Years 2008-2012 ),,,,,,,,,,,,,,
資料：都福祉保健局総務部総務課「東京都の医療施設」 Source: Bureau of Social Welfare and Public Health， TMG,,,,,,,,,,,,,,
地域階層（0:東京都　1:区部・市部・郡部・島部　2:区市町村),,,,,,,,,,,,,,
