年度末,End of fiscal year,地域階層,地域コード,項番 Item number,地域,District,マーク Mark,人口 (A) Population,総数 Total／施設数 Facilities,総数 Total／計画給水人口 Population planned to be served 3),総数 Total／現在給水人口 (B) Population currently served,総数 Total／給水量（専用水道を除く）Water supplied  (Excluding private waterworks) (1，000m3),上水道 Waterworks／施設数 Facilities,上水道 Waterworks／計画給水人口 Population planned to be served,上水道 Waterworks／現在給水人口 Population currently served,上水道 Waterworks／給水量 Water supplied 4) (1，000m3),簡易水道 Small-scale waterworks／施設数 Facilities,簡易水道 Small-scale waterworks／計画給水人口 Population planned to be served,簡易水道 Small-scale waterworks／現在給水人口 Population currently served,簡易水道 Small-scale waterworks／給水量 Water supplied 4) (1，000m3),専用水道 Private waterworks 2)／施設数 Facilities,専用水道 Private waterworks 2)／確認時給水人口 Population noted in the application,専用水道 Private waterworks 2)／現在給水人口 Population currently served,普及率 (B／A) Coverage rate (%) 
平成21,2009,0,13000,,東京都,Tokyo-to,,13011344,150,13045914,13011475,1608921,7,12932830,12965376,1606045,13,23550,18102,2876,130,89534,27997,100
平成22,2010,0,13000,,東京都,Tokyo-to,,13175533,136,13030152,13175456,1609097,6,12923750,13133325,1606296,13,23550,17821,2801,117,82852,24310,100
平成23,2011,0,13000,,東京都,Tokyo-to,,13197992,137,13166874,13197807,1576663,6,12991750,13152982,1573809,13,23650,17725,2854,118,151474,27100,100
平成24,2012,0,13000,,東京都,Tokyo-to,,13236860,136,13166704,13236214,1561303,6,12991750,13192051,1558725,11,23650,17334,2578,119,151304,26829,100
平成25,2013,0,13000,,東京都,Tokyo-to,,13323735,139,13541730,13323644,1561863,6,13342750,13271120,1559142,11,23380,17153,2721,122,175600,35371,100
平成25,2013,1,13100,,区部,All ku,,9095384,16,13034391,9095384,1519863,1,13013000,9086210,1519863,-,-,-,-,15,21391,9174,100
平成25,2013,1,13200,,市部,All shi,,4143561,106,468209,4143757,37060,3,314000,4117560,37060,-,-,-,-,103,154209,26197,100
平成25,2013,2,13201,1,八王子市,Hachioji-shi,※,578785,14,5798,578714,-,-,-,573058,-,-,-,-,-,14,5798,5656,99.99
平成25,2013,2,13202,2,立川市,Tachikawa-shi,※,179316,4,1180,179316,-,-,-,178436,-,-,-,-,-,4,1180,880,100
平成25,2013,2,13203,3,武蔵野市,Musashino-shi,,141584,7,159863,141764,17528,1,139000,141584,17528,-,-,-,-,6,20863,180,100
平成25,2013,2,13204,4,三鷹市,Mitaka-shi,※,186842,4,6005,186842,-,-,-,182950,-,-,-,-,-,4,6005,3892,100
平成25,2013,2,13205,5,青梅市,Ome-shi,※,137015,5,1170,136978,-,-,-,136124,-,-,-,-,-,5,1170,854,99.97
平成25,2013,2,13206,6,府中市,Fuchu-shi,※,257534,8,44155,257534,-,-,-,257007,-,-,-,-,-,8,44155,527,100
平成25,2013,2,13207,7,昭島市,Akishima-shi,,112793,5,117990,113063,12711,1,115000,112791,12711,-,-,-,-,4,2990,272,100
平成25,2013,2,13208,8,調布市,Chofu-shi,※,226099,5,13444,226099,-,-,-,225972,-,-,-,-,-,5,13444,127,100
平成25,2013,2,13209,9,町田市,Machida-shi,※,428527,3,-,428491,-,-,-,428491,-,-,-,-,-,3,-,-,99.99
平成25,2013,2,13210,10,小金井市,Koganei-shi,※,120580,3,13016,120580,-,-,-,111599,-,-,-,-,-,3,13016,8981,100
平成25,2013,2,13211,11,小平市,Kodaira-shi,※,188665,8,8690,188665,-,-,-,186732,-,-,-,-,-,8,8690,1933,100
平成25,2013,2,13212,12,日野市,Hino-shi,※,182123,9,599,182123,-,-,-,181755,-,-,-,-,-,9,599,368,100
平成25,2013,2,13213,13,東村山市,Higashimurayama-shi,※,151934,5,1948,151934,-,-,-,151354,-,-,-,-,-,5,1948,580,100
平成25,2013,2,13214,14,国分寺市,Kokubunji-shi,※,121872,3,10050,121872,-,-,-,121872,-,-,-,-,-,3,10050,-,100
平成25,2013,2,13215,15,国立市,Kunitachi-shi,※,75190,4,8937,75190,-,-,-,75190,-,-,-,-,-,4,8937,-,100
平成25,2013,2,13218,16,福生市,Fussa-shi,※,58323,2,-,58323,-,-,-,58323,-,-,-,-,-,2,-,-,100
平成25,2013,2,13219,17,狛江市,Komae-shi,※,80083,-,-,80083,-,-,-,80083,-,-,-,-,-,-,-,-,100
平成25,2013,2,13220,18,東大和市,Higashiyamato-shi,※,84522,-,-,84522,-,-,-,84522,-,-,-,-,-,-,-,-,100
平成25,2013,2,13221,19,清瀬市,Kiyose-shi,※,74296,5,3705,74296,-,-,-,74296,-,-,-,-,-,5,3705,-,100
