年度,Fiscal year,月次,Month,受給者実人員 Beneficiaries／総数 Total,受給者実人員 Beneficiaries／男 Male,受給者実人員 Beneficiaries／女 Female,雇用保険支給金額 Benefits paid／総数Total,雇用保険支給金額 Benefits paid／男Male,雇用保険支給金額 Benefits paid／総数Total,1人1か月当たり平均支給金額 (円) Average monthly benefits per person (yen)
平成21,2009,,,76405,38199,38206,128116678,70046162,11975646,139734
平成22,2010,,,65911,31742,34168,107249804,56463614,5677424,135599
平成23,2011,,,58937,27442,31495,94926502,48434175,1941848,134218
平成24,2012,,,53328,24484,28843,85692443,43339843,987243,133907
平成25,2013,,,48312,21775,26537,78145371,39013395,-118581,134793
平成25,2013,4,Apr.,47056,22195,24861,6356408,3300248,244088,135082
平成25,2013,5,May,53053,24378,28675,7430070,3827010,223950,140050
平成25,2013,6,June,48657,22055,26602,6230755,3145080,59405,128055
平成25,2013,7,July,54238,24386,29852,7698201,3842364,-13473,141934
平成25,2013,8,Aug.,54033,24031,30002,7175828,3574443,-26942,132805
平成25,2013,9,Sept.,51244,22778,28466,6843962,3376684,-90594,133556
平成25,2013,10,Oct.,51483,22758,28725,7239689,3505368,-228953,140623
平成25,2013,11,Nov.,48128,21365,26763,6174649,3012799,-149051,128296
平成25,2013,12,Dec.,44866,20148,24718,5431513,2684752,-62009,121061
平成26,2014,1,Jan.,45063,20230,24833,7007362,3488479,-30404,155501
平成26,2014,2,Feb.,41415,18721,22694,5126208,2562123,-1962,123777
平成26,2014,3,Mar.,40506,18257,22249,5430725,2694044,-42637,134072
7-4  雇用保険 （一般） 支給状況 （平成21～25年度）,,,,,,,,,,
PAYMENT OF （ GENERAL ） EMPLOYMENT INSURANCE BENEFITS ( Fiscal Years 2009-2013 ) ,,,,,,,,,,
（単位　金額　千円）   (In thousands of yen),,,,,,,,,,
,,,,,,,,,,
  注) 年度別「受給者実人員」 は月平均である。,,,,,,,,,,
Ｎote: Fiscal year “Beneficiaries” are monthly averages. ,,,,,,,,,,
資料：東京労働局          Source: Tokyo Labor Bureau ,,,,,,,,,,
