年次,Year,地域階層,地域コード,地域,District,病院 Hospital／総数 Total,病院 Hospital／精神科病院 Psychiatric hospital,病院 Hospital／結核療養所 Tuberculosis sanatorium,病院 Hospital／一般病院 General hospital,病院 Hospital／(再掲 Relisted)／救急告示病院 Designated emergency hospital,病院 Hospital／(再掲 Relisted)／療養病床を有するもの Hospital with long-term care beds,一般診療所 General  clinic,歯科診療所 Dental clinic
平成20,2008,0,13000,東京都,Tokyo-to,648,54,-,594,314,235,12572,10529
平成21,2009,0,13000,東京都,Tokyo-to,649,55,-,594,311,237,12629,10540
平成22,2010,0,13000,東京都,Tokyo-to,647,54,-,593,307,235,12684,10603
平成23,2011,0,13000,東京都,Tokyo-to,643,51,-,592,306,238,12612,10570
平成24,2012,0,13000,東京都,Tokyo-to,641,51,-,590,300,243,12711,10620
平成24,2012,1,13100,区部,All ku,420,13,-,407,219,152,9691,8315
平成24,2012,2,13101,千代田区,Chiyoda-ku,15,-,-,15,4,1,452,354
平成24,2012,2,13102,中央区,Chuo-ku,4,-,-,4,1,1,465,438
平成24,2012,2,13103,港区,Minato-ku,15,-,-,15,8,1,678,591
平成24,2012,2,13104,新宿区,Shinjuku-ku,16,1,-,15,12,2,582,430
平成24,2012,2,13105,文京区,Bunkyo-ku,11,-,-,11,8,2,255,241
平成24,2012,2,13106,台東区,Taito-ku,8,1,-,7,4,6,230,236
平成24,2012,2,13107,墨田区,Sumida-ku,14,-,-,14,8,5,216,190
平成24,2012,2,13108,江東区,Koto-ku,17,-,-,17,11,4,378,295
平成24,2012,2,13109,品川区,Shinagawa-ku,13,-,-,13,5,5,426,339
平成24,2012,2,13110,目黒区,Meguro-ku,9,-,-,9,9,5,310,282
平成24,2012,2,13111,大田区,Ota-ku,28,1,-,27,17,12,576,555
平成24,2012,2,13112,世田谷区,Setagaya-ku,25,-,-,25,13,7,840,754
平成24,2012,2,13113,渋谷区,Shibuya-ku,16,-,-,16,7,6,510,417
平成24,2012,2,13114,中野区,Nakano-ku,10,-,-,10,7,7,330,251
平成24,2012,2,13115,杉並区,Suginami-ku,17,-,-,17,8,8,499,427
平成24,2012,2,13116,豊島区,Toshima-ku,15,-,-,15,13,3,415,311
平成24,2012,2,13117,北区,Kita-ku,20,2,-,18,10,7,271,252
平成24,2012,2,13118,荒川区,Arakawa-ku,14,-,-,14,6,8,168,143
平成24,2012,2,13119,板橋区,Itabashi-ku,41,-,-,41,20,22,384,341
平成24,2012,2,13120,練馬区,Nerima-ku,19,2,-,17,7,8,542,461
平成24,2012,2,13121,足立区,Adachi-ku,51,4,-,47,23,16,408,382
平成24,2012,2,13122,葛飾区,Katsushika-ku,20,1,-,19,9,8,348,267
平成24,2012,2,13123,江戸川区,Edogawa-ku,22,1,-,21,9,8,408,358
平成24,2012,1,13200,市部,All shi,216,38,-,178,79,88,2962,2270
平成24,2012,2,13201,八王子市,Hachioji-shi,40,7,-,33,12,17,374,286
平成24,2012,2,13202,立川市,Tachikawa-shi,7,-,-,7,5,3,157,115
平成24,2012,2,13203,武蔵野市,Musashino-shi,10,-,-,10,6,4,202,149
平成24,2012,2,13204,三鷹市,Mitaka-shi,8,1,-,7,2,3,130,98
平成24,2012,2,13205,青梅市,Ome-shi,16,8,-,8,2,6,94,63
平成24,2012,2,13206,府中市,Fuchu-shi,15,2,-,13,6,4,179,139
平成24,2012,2,13207,昭島市,Akishima-shi,7,-,-,7,5,4,63,61
平成24,2012,2,13208,調布市,Chofu-shi,8,2,-,6,2,3,192,154
平成24,2012,2,13209,町田市,Machida-shi,20,6,-,14,7,7,311,220
平成24,2012,2,13210,小金井市,Koganei-shi,5,1,-,4,1,4,77,64
