年度,Fiscal year,種類 ,Kind,発生量 Generated,有償物量 Valuables recovered,排出量 Discharged,直接再生利用量 Direct recycle use 1,直接最終処分量 Direct final disposal 2,中間処理 Intermediate processing ／処理量 Processed 3,中間処理 Intermediate processing／処理残さ量 Residues 4,中間処理 Intermediate processing／処理後再生利用量 Recycled after processing 5,中間処理 Intermediate processing／最終処分量 Final disposal 6,再生利用量 Recycled 1＋5,減量化量 Reduced disposal 3-4,最終処分量 Final disposal 2＋6
平成20,2008,総数 ,Total,22073,161,21912,86,140,21749,6674,5721,890,5807,15075,1030
平成21,2009,総数 ,Total,23405,216,23189,39,123,23271,7195,6235,716,6274,16076,839
平成22,2010,総数 ,Total,22755,190,22565,92,120,22499,7273,6461,666,6553,15226,786
平成23,2011,総数 ,Total,23887,133,23754,44,412,23298,7203,6584,619,6628,16095,1031
平成24,2012,総数 ,Total,23644,78,23566,48,203,23315,7820,7146,674,7194,15495,877
平成24,2012,燃えがら ,Cinder,4,0,4,0,0,4,4,0,4,0,0,4
平成24,2012,汚でい ,Sludge,16694,0,16694,0,39,16655,1543,1382,161,1382,15112,200
平成24,2012,廃油 ,Waste oil,32,0,32,0,0,32,15,15,0,15,17,0
平成24,2012,廃酸 ,Waste acid,5,0,5,0,0,5,1,1,0,1,4,0
平成24,2012,廃アルカリ ,Waste alkaline,8,0,8,0,0,8,3,3,0,3,5,0
平成24,2012,廃プラスチック類 ,Waste plastics,303,4,299,0,4,295,219,183,36,183,76,40
平成24,2012,紙くず ,Paper scrap,49,9,40,1,0,39,34,34,0,35,5,0
平成24,2012,木くず ,Wood scrap,275,0,275,1,0,274,259,248,11,249,15,11
平成24,2012,繊維くず ,Textile scrap,6,1,5,0,0,5,3,3,0,3,2,0
平成24,2012,動植物性残さ ,Plant and animal scraps,31,9,22,0,0,22,13,13,0,13,9,0
平成24,2012,ゴムくず ,Rubber scrap,0,0,0,0,0,0,0,0,0,0,0,0
平成24,2012,金属くず ,Metal scrap,202,42,160,1,0,159,158,157,1,158,1,1
平成24,2012,ガラス・コンクリート・陶磁器くず ,Glass， concrete， and porcelain scrap,669,13,656,3,76,577,531,290,241,293,46,317
平成24,2012,鉱さい ,Slag,15,0,15,0,0,15,14,14,0,14,1,0
平成24,2012,がれき類 ,Rubble,4799,0,4799,11,43,4745,4655,4593,62,4604,90,105
平成24,2012,ばいじん ,Dust,12,0,12,0,0,12,12,0,12,0,0,12
平成24,2012,動物の糞尿 ,Animal excretions,56,0,56,31,0,25,5,4,1,35,20,1
平成24,2012,動物の死体 ,Animal carcasses,0,0,0,0,0,0,0,0,0,0,0,0
平成24,2012,混合廃棄物 ,Mixed waste,332,0,332,0,8,324,311,175,136,175,13,144
平成24,2012,その他の廃棄物 ,Other waste,46,0,46,0,22,24,20,18,2,18,4,24
平成24,2012,政令13号物 ,Wastes described in Art. 2-13， Cabinet Order on Waste Management & Public Cleansing Act ,0,0,0,0,0,0,0,0,0,0,0,0
平成24,2012,特別管理産業廃棄物 ,Specially controlled industrial waste,106,0,106,0,11,95,20,13,7,13,75,18
,,,,,,,,,,,,,,,
東京都統計年鑑（平成25年）TOKYO STATISTICAL YEARBOOK ( 2013 )　19  医療・衛生・環境 19  MEDICAL CARE， SANITATION， AND ENVIRONMENT,,,,,,,,,,,,,,,
19-10  産業廃棄物処理・処分状況 (平成20～平成24年度) 19-10  PROCESSING AND DISPOSAL OF INDUSTRIAL WASTES ( Fiscal Years 2008-2012 ),,,,,,,,,,,,,,,
この表は， 推計である。　,,,,,,,,,,,,,,,
Figures are estimates.,,,,,,,,,,,,,,,
資料：都環境局資源循環推進部 Source: Bureau of Environment， TMG,,,,,,,,,,,,,,,
（単位 千トン）(In thousands of tons),,,,,,,,,,,,,,,
