No,観測地点 1),Location of observatory 1),水準基標番号 Bench mark number,測量開始年,Year of start of measurement,平成11年 1999,平成12年 2000,平成13年 2001,平成14年 2002,平成15年 2003,平成16年 2004,平成17年 2005,平成18年 2006,平成19年 2007,平成20年 2008,平成21年 2009,平成22年 2010,平成23年 2011,平成24年 2012,平成25年 2013,(参考) 測量開始年からの変動量累計 (単位 ｍ) (Reference) Accumulated total since the beginning of observation (in meters) 5) 
1,港区 芝,Shiba， Minato-ku,芝(6),昭和5,1930,0.04,0.31,-0.15,-0.09,0.21,-0.15,-0.19,0.39,-0.44,0.09,0.1,-0.35,2),0.19,-0.03,-0.0627
2,新宿区 新宿,Shishinjuku， Shinjuku-ku,交(16),昭和5,1930,0.14,0.12,0.16,-0.87,0.07,-0.32,-0.31,0.13,-0.13,0.09,0.79,-0.94,2),0.27,-0.3,-0.0855
3,文京区 本郷,Hongo， Bunkyo-ku,郷(2),昭和5,1930,-0.38,0.2,0.16,-0.21,0.41,-0.4,0.3,0.47,-0.8,0.25,0.3,-0.82,2),-0.25,-0.17,-0.227
4,墨田区 八広,Yahiro， Sumida-ku,向(3),昭和8,1933,-0.36,-0.49,0.49,0.61,0.42,0.2,0.38,0.69,-0.4,0.23,0.24,-0.22,2),0.27,0,-0.1576
5,江東区 南砂,Minamisuna， Koto-ku,9832,大正7,1918,-0.11,-0.18,0.57,-0.28,1.02,0.02,0.34,0.92,-0.27,0.28,0.32,-0.16,2),0.2,0.03,-4.5129
6,大田区 羽田,Haneda， Ota-ku,蒲(12),昭和19,1944,-0.44,0.76,-0.66,-0.26,0.03,-0.55,0.47,-0.11,-0.48,0.3,0.03,0.58,2),0.28,-0.09,-0.038
7,世田谷区 千歳台,Chitosedai， Setagaya-ku,世(8),昭和47,1972,-0.59,0.2,-0.07,0.03,-0.25,0.36,-0.45,0,-0.45,0.22,0.26,-0.52,2),0.48,-0.28,-0.0462
8,板橋区 新河岸,Shingashi， Itabashi-ku,板(7),昭和33,1958,-0.35,0.36,-0.66,-0.02,0.55,-0.28,-0.29,0.43,-0.55,0.46,0.12,-0.72,2),-0.02,0.06,-1.2386
9,練馬区 高松,Takamatsu， Nerima-ku,練(15),昭和44,1969,-0.53,0.06,-0.13,-0.32,0.48,-0.07,-0.2,0.15,-0.4,0.56,-0.02,-0.81,2),0.28,0.23,-0.3377
10,足立区 千住大川町,Senjuokawa-cho， Adachi-ku,足(18),昭和37,1962,0.14,0.01,0.17,0.12,0.76,-0.31,0.46,0.52,-0.36,0.38,-0.45,0,2),-0.08,0.4,-0.737
11,足立区 谷在家,Yazaike， Adachi-ku,足(7),昭和8,1933,0.4,0.01,-0.08,-0.19,0.46,-0.42,0.4,0.05,-0.53,0.44,-0.06,-0.67,2),-0.15,0.21,-0.9117
12,葛飾区 高砂,Takasago， Katsushika-ku,葛(4),昭和8,1933,0.17,-0.01,0.33,-0.02,0.44,-0.09,0.28,0.51,-0.62,0.43,-0.33,-0.38,2),-0.09,0.1,-0.6652
13,江戸川区 中葛西,Nakakasai， Edogawa-ku,9836,大正7,1918,0.23,0.33,0.2,-0.2,0.47,0.03,0.32,0.71,-0.41,0.47,0.07,-0.07,2),0.5,0.46,-2.3707
14,江戸川区 船堀,Funabori， Edogawa-ku,9835,大正7,1918,0.07,0.16,0.82,-0.5,0.41,-0.07,0.56,0.71,-0.22,0.4,0.28,-0.17,2),0.43,0.36,-2.969
15,八王子市 小宮町,Komiya-machi， Hachioji-shi,八王(1),昭和50,1975,-0.2,0.72,0.12,-0.89,-0.31,0.08,0.1,-0.02,0.07,0.24,0.22,-0.36,2),0.58,-0.24,0.0148
16,三鷹市 深大寺,Jindaiji， Mitaka-shi,三鷹(3),昭和47,1972,-0.57,0.25,0.14,-0.32,0.01,-0.2,0.56,-0.41,-0.18,0.45,-0.29,-0.33,2),0.17,0.16,-0.0711
17,清瀬市 旭が丘,Asahigaoka， Kiyose-shi,清瀬(1),昭和48,1973,-1,0.12,-0.57,-0.54,-0.34,-0.44,-0.99,0.37,0.06,0.34,-0.56,-0.75,2),-0.11,-0.13,-0.7178
18,清瀬市 中里,Nakazato， Kiyose-shi,清瀬(3),昭和48,1973,-0.72,0.05,-0.1,-0.18,-0.52,-0.17,-0.18,-0.23,-0.22,0.49,-0.28,-0.91,2),0.41,-0.25,-0.6195
19,武蔵村山市 本町,Honmachi， Musashimurayama-shi,武村(2),昭和50,1975,-0.22,0.57,-0.6,-0.05,-0.25,0.15,-0.59,-0.04,-0.17,0.75,0.1,-0.86,2),-0.13,0.32,-0.0483
,,,,,,,,,,,,,,,,,,,,,
東京都統計年鑑（平成25年）TOKYO STATISTICAL YEARBOOK ( 2013 )　19  医療・衛生・環境 19  MEDICAL CARE， SANITATION， AND ENVIRONMENT,,,,,,,,,,,,,,,,,,,,,
19-12 地盤沈下量 (平成11～平成25年) 19-12  ANNUAL GROUND SUBSIDENCE ( 1999-2013 ),,,,,,,,,,,,,,,,,,,,,
負の値（－）は沈下，正の値は隆起を表わす。,,,,,,,,,,,,,,,,,,,,,
Negative numbers (-) indicate subsidence， positive numbers indicate uplift.,,,,,,,,,,,,,,,,,,,,,
注 1) 観測地点については，毎年観測が可能な地点を選択した。,,,,,,,,,,,,,,,,,,,,,
2) 平成23年は，東北地方太平洋沖地震の影響で地殻変動と地盤沈下の区別ができないため，地盤沈下量の算出ができない。  ,,,,,,,,,,,,,,,,,,,,,
3) (参考）測量開始からの変動量累計には，平成23年東北地方太平洋沖地震による変動を含む。,,,,,,,,,,,,,,,,,,,,,
Note: 1) The observation points selected are those where observations can be conducted every year.  ,,,,,,,,,,,,,,,,,,,,,
2) An annual ground subsidence for 2011 is not shown because land subsidence cannot be differentiated from crustal movements caused by the 2011 Tohoku earthquake. ,,,,,,,,,,,,,,,,,,,,,
3) (Reference) Total change since measurement of data began include crustal movements caused by Tohoku Earthquake in 2011.,,,,,,,,,,,,,,,,,,,,,
資料: 都土木技術支援・人材育成センター Source: Civil Engineering Support and Training Center， TMG,,,,,,,,,,,,,,,,,,,,,
（単位　cm／年）(In centimeters／year),,,,,,,,,,,,,,,,,,,,,
