事業階層,事業,Program,施設総数 Total facilities,公営 Public management／施設数 Facilities,公営 Public management／定員 Capacity,公営 Public management／在所者数 Service users,私営 Private management／施設数 Facilities,私営 Private management／定員 Capacity,私営 Private management／在所者数 Service users
0,平成24年,2012,4158,1629,87031,83204,2529,166667,146090
1,保護施設,Public assistance facilities,38,1,50,80,37,2182,2170
2,救護施設,Relief facilities,10,-,-,-,10,911,961
2,更生施設,Rehabilitation facilities,11,1,50,80,10,811,945
2,医療保護施設,Medical facilities for persons requiring public assistance,11,-,…,…,11,…,…
2,授産施設（生活保護法）,Vocational facilities (Public Assistance Act),-,-,-,-,-,-,-
2,宿所提供施設（生活保護法）,Facilities providing accommodation (Public Assistance Act),6,-,-,-,6,460,264
1,老人福祉施設,Welfare facilities for the elderly,294,125,381,124,169,6286,5627
2,養護老人ホーム(一般）,Nursing homes (general),33,1,381,124,32,3381,3283
2,養護老人ホーム(盲),Nursing homes (visually impaired),1,-,-,-,1,100,99
2,軽費老人ホーム（A型),Low-cost homes (type A),9,-,-,-,9,660,655
2,軽費老人ホーム（B型),Low-cost homes (type B),4,-,-,-,4,220,110
2,軽費老人ホーム （ケアハウス）,Low-cost homes (care house),39,-,-,-,39,1925,1480
2,老人福祉センター（特A型）,Welfare centers (special type A),-,-,…,…,-,…,…
2,老人福祉センター（A型),Welfare centers (type A),79,32,…,…,47,…,…
2,老人福祉センター（B型),Welfare centers (type B),129,92,…,…,37,…,…
1,障害者支援施設等,Support facilities for persons with impairments， etc.,257,11,196,…,246,8031,5100
2,障害者支援施設,Support facilities,90,-,-,-,90,4921,4961
2,地域活動支援センター,Local activity support centers,153,11,196,…,142,2951,…
2,福祉ホーム,Group homes ,14,-,-,-,14,159,139
1,身体障害者社会参加支援施設,Support facilities for social participation of persons with physical impairments,21,4,…,…,17,…,…
2,身体障害者福祉センター（Ａ型）,Welfare centers (type A),2,-,…,…,2,…,…
2,身体障害者福祉センター（Ｂ型）,Welfare centers (type B),4,2,…,…,2,…,…
2,障害者更生センター,Recreation and rehabilitation centers ,-,-,-,-,-,-,-
2,補装具製作施設,Prosthetic device making facilities,2,-,…,…,2,…,…
2,盲導犬訓練施設,Training facilities for guide dogs,1,-,…,…,1,…,…
2,点字図書館,Braille libraries,6,2,…,…,4,…,…
2,点字出版施設,Braille publishing facilities,5,-,…,…,5,…,…
2,聴覚障害者情報提供施設,Resource centers for persons with hearing impairments,1,-,…,…,1,…,…
1,婦人保護施設,Women's shelters,5,-,-,-,5,230,126
1,児童福祉施設,Child welfare facilities,2738,1482,86226,82933,1256,108768,103225
2,助産施設,Midwifery homes,41,11,193,…,30,474,…
2,乳児院,Infant homes,10,-,-,-,10,505,406
2,母子生活支援施設,Living support facilities for single-mother families,37,-,-,-,37,744,1327
2,保育所,Day care centers,1864,837,85075,82182,1027,102611,98524
2,児童養護施設,Foster homes,54,-,-,-,54,2964,2709
2,障害児入所施設（福祉型）,Facilities for children with impairments (welfare type),9,-,-,-,9,626,468
2,障害児入所施設（医療型）,Facilities for children with impairments (medical care type),13,4,400,60,9,1172,727
2,児童発達支援センター（福祉型）,Child development support centers (welfare type),14,5,186,403,9,376,346
2,児童発達支援センター（医療型）,Child development support centers (medical care type),4,3,120,146,1,40,45
2,情緒障害児短期治療施設,Short-term rehabilitation homes for children with emotional disorders,-,-,-,-,-,-,-
2,児童自立支援施設,Children's self-reliance support facilities,2,2,252,142,-,-,-
2,児童家庭支援センター,Child and family support centers,-,-,…,…,-,…,…
2,小型児童館,Child centers (small size),374,345,…,…,29,…,…
2,児童センター,Child centers,233,193,…,…,40,…,…
2,大型児童館A型,Large child centers type A,2,2,…,…,-,…,…
2,大型児童館B型,Large child centers type B,-,-,…,…,-,…,…
2,大型児童館C型,Large child centers type C,-,-,…,…,-,…,…
2,その他の児童館,Other child centers,1,-,…,…,1,…,…
2,児童遊園,Child play space,80,80,…,…,-,…,…
1,母子福祉施設,Welfare facilities for fatherless families,-,-,…,…,-,…,…
2,母子福祉センター,Guidance centers for fatherless families,-,-,…,…,-,…,…
2,母子休養ホーム,Recreational and accommodation facilities for fatherless families,-,-,…,…,-,…,…
1,その他の社会福祉施設,Other social welfare facilities,805,6,178,67,799,41170,29842
2,授産施設（社会福祉法）,Vocational facilities (Social Welfare Act),11,2,74,36,9,272,244
2,宿所提供施設（社会福祉法）,Facilities providing accommodation (Social Welfare Act),177,-,-,-,177,5484,4214
2,盲人ホーム,Vocational centers for the visually impaired,4,-,-,…,4,80,…
2,無料低額診療施設,Free or low cost medical facilities,47,-,…,…,47,…,…
2,隣保館,Social service facilities,-,-,…,…,-,…,…
2,へき地保健福祉館,Public health and welfare centers in remote areas,-,-,…,…,-,…,…
2,へき地保育所,Day care centers in remote areas,3,3,90,22,-,-,-
