年次,Year,月次 ,Month,調査産業計 Industries covered,鉱業，採石業，砂利採取業 Mining and quarruing of stone and gravel,建設業 Construction,製造業 Manufacturing,電気・ガス・熱供給・水道業 Electricity， gas， heat supply and water,情報通信業 Information and communications,運輸業，郵便業 Transport and postal activities,卸売業，小売業 Wholesale and retail trade,金融業，保険業 Finance and insurance,不動産業，物品賃貸業 Real estate and goods rental and leasing,学術研究，専門・技術サービス業 Scientific research， professional and technical services,宿泊業，飲食サービス業 Accommodations， eating and drinking services,生活関連サービス業，娯楽業 Living-related and personal services and amusement services,教育，学習支援業 Education， learning support,医療，福祉 Medical， health care and welfare,複合サービス事業 Compound services,サービス業 (他に分類されないもの) Services， n.e.c.
平成21,2009,平均,Average,99.2,97.4,101.7,95.5,104.7,96.1,99.8,99.7,99.1,-,-,-,-,98.8,97.4,107.6,-
平成22,2010,平均,Average,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
平成23,2011,平均,Average,99.8,101.1,103.8,103.5,94.1,104.3,97.4,97.3,96.8,96.7,99.1,101.1,104.1,97.6,102.6,85.6,95.7
平成24,2012,平均,Average,99.8,99.3,102,101.2,95.6,105.3,100.7,99.2,97.1,94.1,101.5,104.7,113.6,93.8,100.8,81.3,96.2
平成25,2013,平均,Average,100.8,94.7,104.7,100.9,96.9,107.8,103.1,100.2,99.8,97.2,93.9,105.4,118.5,98.8,101.2,88,96.7
平成25,2013,1,Jan.,81.4,68.5,84.6,78.1,77.6,82.5,91,80.6,77.7,78,79.3,93.6,107.2,74.4,84.1,70.4,82.9
平成25,2013,2,Feb.,81.3,69.6,87.9,78,78.4,85.1,83.8,81.1,79.4,77.1,79.2,93.3,97.9,72.1,84.4,67.1,83
平成25,2013,3,Mar.,87.1,70.4,91.1,81.3,79.4,91.5,88.6,95.3,80.9,82.2,78.6,95.4,101.8,80.9,85.6,99.9,88.1
平成25,2013,4,Apr.,84.5,67.1,87.8,82.4,66.1,88.1,88.2,83.5,75.8,79.7,79.4,94.9,100.4,85.9,90,74,88
平成25,2013,5,May,84.2,65.5,85.8,81.3,81.8,87.9,90.1,80.8,91.9,77.9,78,96.2,99.4,77.2,83.7,67.6,85.9
平成25,2013,6,June,162.2,206.8,166.2,153.6,185.2,186.2,141.7,157.4,197.5,167,153,123.1,190.8,180,147.4,143.3,133.9
平成25,2013,7,July,107.5,91.4,108.9,122,80.7,107.3,122.3,120.1,89.2,100.9,88.6,121.4,125,85.9,103.4,93.3,106.1
平成25,2013,8,Aug.,81.5,67.4,86.1,82.3,79.9,84.1,85.8,83.3,74.5,75.3,73.1,95.6,97.3,75,84.2,65.3,83.8
平成25,2013,9,Sept.,83.9,68.7,86.8,78.9,80.7,89.6,84.7,81.5,75.2,78.8,103.2,95.2,99.3,76.4,84.9,64.3,85.6
平成25,2013,10,Oct.,82,62.2,100.7,82.5,83.3,84.2,84.3,79.1,73.8,76.4,73.2,94.6,96.1,81.5,87.3,71,84.4
平成25,2013,11,Nov.,83.5,75.2,90.4,83.2,81.9,85,92.6,80.1,74.7,77.1,81.8,97.4,119.9,75.6,93.3,66.1,85.5
平成25,2013,12,Dec.,189.9,221.6,180.1,206.2,186.3,219.9,183.7,178.7,205.9,195.1,157.6,164.1,186.6,218.9,184.8,173.1,151.6
,,,,,,,,,,,,,,,,,,,,
東京都統計年鑑（平成25年）TOKYO STATISTICAL YEARBOOK ( 2013 )　7  労働 7  LABOR,,,,,,,,,,,,,,,,,,,,
7-10  産業別常用労働者実質賃金指数 (現金給与総額)  (平成21～25年) 7-10  REAL WAGE INDICES OF REGULAR WORKERS BY INDUSTRY ( TOTAL CASH EARNINGS ) ( 2009-2013 ),,,,,,,,,,,,,,,,,,,,
「毎月勤労統計地方調査」 による。 本表は，常用労働者30人以上の事業所約1700カ所を対象とした第1種事業所調査の結果である。なお、平成22年1月分から平成19年11月改定の日本標準産業分類による表章に変更しているが、平成21年以前の指数(旧産業分類)と接続しない産業の指数、前年比等については算出できないため、「-」と表記している。,,,,,,,,,,,,,,,,,,,,
Data are based on the Monthly Labor Prefectural Survey . In this table，figures are as of 1700 establishments with 30 or more regular workers. ,,,,,,,,,,,,,,,,,,,,
資料：都総務局統計部人口統計課 「東京都の賃金、労働時間及び雇用の動き」 Source: Bureau of General Affairs， TMG,,,,,,,,,,,,,,,,,,,,
 （平成22年平均＝100）   (2010 average＝100)  ,,,,,,,,,,,,,,,,,,,,
