年度,Fiscal year,地域階層,地域コード,地域,District,総数 Total,大気汚染 Air pollution,水質汚濁 Water pollution,土壌汚染 Soil pollution,騒音 Noises,振動 Vibration,地盤沈下 Ground subsidence,悪臭 Offensive odors,典型7公害以外計 Other pollution
平成21,2009,0,13000,東京都 1),Tokyo-to,"7,165","1,445",95,17,"2,992",365,3,"1,019","1,229"
平成22,2010,0,13000,東京都 1),Tokyo-to,"7,243","1,474",91,9,"3,105",483,3,983,"1,095"
平成23,2011,0,13000,東京都,Tokyo-to,"7,131","1,458",59,16,"3,160",519,1,940,978
平成24,2012,0,13000,東京都,Tokyo-to,"7,388","1,447",75,15,"3,334",509,2,988,"1,018"
平成25,2013,0,13000,東京都,Tokyo-to,"7,043","1,342",70,9,"3,160",521,1,873,"1,067"
平成25,2013,1,13100,区部,All ku,"4,346",534,10,6,"2,377",457,1,540,421
平成25,2013,2,13101,千代田区,Chiyoda-ku,211,24, - , - ,94,13, - ,49,31
平成25,2013,2,13102,中央区,Chuo-ku,140,6, - , - ,98,7, - ,29, - 
平成25,2013,2,13103,港区,Minato-ku,235,15,3, - ,172,7, - ,27,11
平成25,2013,2,13104,新宿区,Shinjuku-ku,140,6, - , - ,111,14, - ,7,2
平成25,2013,2,13105,文京区,Bunkyo-ku,69,11, - , - ,31,17, - ,5,5
平成25,2013,2,13106,台東区,Taito-ku,206,20, - ,1,73,11, - ,13,88
平成25,2013,2,13107,墨田区,Sumida-ku,366,24,1,1,136,28, - ,46,130
平成25,2013,2,13108,江東区,Koto-ku,184,27,2, - ,94,15,1,43,2
平成25,2013,2,13109,品川区,Shinagawa-ku,210,15, - , - ,121,16, - ,27,31
平成25,2013,2,13110,目黒区,Meguro-ku,148,5, - , - ,86,17, - ,16,24
平成25,2013,2,13111,大田区,Ota-ku,203,23,1,1,92,30, - ,26,30
平成25,2013,2,13112,世田谷区,Setagaya-ku,211,37, - , - ,118,21, - ,23,12
平成25,2013,2,13113,渋谷区,Shibuya-ku,135,20, - , - ,82,23, - ,8,2
平成25,2013,2,13114,中野区,Nakano-ku,85,9, - , - ,54,20, - ,2, - 
平成25,2013,2,13115,杉並区,Suginami-ku,192,36, - , - ,96,36, - ,18,6
平成25,2013,2,13116,豊島区,Toshima-ku,131,12, - , - ,78,20, - ,18,3
平成25,2013,2,13117,北区,Kita-ku,158,17, - , - ,86,22, - ,29,4
平成25,2013,2,13118,荒川区,Arakawa-ku,65,8, - , - ,30,5, - ,7,15
平成25,2013,2,13119,板橋区,Itabashi-ku,219,35,1,2,113,31, - ,32,5
平成25,2013,2,13120,練馬区,Nerima-ku,192,49, - , - ,94,32, - ,17, - 
平成25,2013,2,13121,足立区,Adachi-ku,357,66,2,1,200,37, - ,47,4
平成25,2013,2,13122,葛飾区,Katsushika-ku,191,33, - , - ,105,16, - ,22,15
平成25,2013,2,13123,江戸川区,Edogawa-ku,298,36, - , - ,213,19, - ,29,1
平成25,2013,1,13200,市部,All shi,"2,532",790,60,3,777,64, - ,322,516
平成25,2013,2,13201,八王子市,Hachioji-shi,229,137,1,2,62,5, - ,20,2
平成25,2013,2,13202,立川市,Tachikawa-shi,140,42,2, - ,51,1, - ,17,27
平成25,2013,2,13203,武蔵野市,Musashino-shi,88,13, - , - ,49,8, - ,18, - 
平成25,2013,2,13204,三鷹市,Mitaka-shi,96,26, - , - ,39,9, - ,22, - 
平成25,2013,2,13205,青梅市,Ome-shi,162,97,7, - ,35,2, - ,16,5
平成25,2013,2,13206,府中市,Fuchu-shi,74,33, - , - ,27,2, - ,8,4
平成25,2013,2,13207,昭島市,Akishima-shi,69,8,1, - ,4, - , - ,8,48
平成25,2013,2,13208,調布市,Chofu-shi,70,6, - , - ,38,1, - ,13,12
平成25,2013,2,13209,町田市,Machida-shi,228,128,4, - ,49,8, - ,31,8
平成25,2013,2,13210,小金井市,Koganei-shi,90,19,1, - ,34,3, - ,6,27
平成25,2013,2,13211,小平市,Kodaira-shi,81,21, - , - ,42,4, - ,9,5
平成25,2013,2,13212,日野市,Hino-shi,97,12,4, - ,28,1, - ,52, - 
平成25,2013,2,13213,東村山市,Higashimurayama-shi,37,19, - , - ,16,1, - ,1, - 
平成25,2013,2,13214,国分寺市,Kokubunji-shi,14,12, - , - ,2, - , - , - , - 
平成25,2013,2,13215,国立市,Kunitachi-shi,40,2, - , - ,18, - , - ,20, - 
平成25,2013,2,13218,福生市,Fussa-shi,74,4, - , - ,8,1, - ,4,57
平成25,2013,2,13219,狛江市,Komae-shi,92,16,1,1,19,2, - ,7,46
平成25,2013,2,13220,東大和市,Higashiyamato-shi,30,13,5, - ,8, - , - ,3,1
平成25,2013,2,13221,清瀬市,Kiyose-shi,78,30, - , - ,7,5, - ,2,34
平成25,2013,2,13222,東久留米市,Higashikurume-shi,80,32,11, - ,27,3, - ,7, - 
平成25,2013,2,13223,武蔵村山市,Musashimurayama-shi,118,31,4, - ,25, - , - ,16,42
平成25,2013,2,13224,多摩市,Tama-shi,165,29,14, - ,111,6, - ,5, - 
平成25,2013,2,13225,稲城市,Inagi-shi,60,2,4, - ,13, - , - ,15,26
平成25,2013,2,13227,羽村市,Hamura-shi,94, - , - , - ,13,1, - ,7,73
平成25,2013,2,13228,あきる野市,Akiruno-shi,157,33,1, - ,20, - , - ,10,93
平成25,2013,2,13229,西東京市,Nishitokyo-shi,69,25, - , - ,32,1, - ,5,6
平成25,2013,1,13300,郡部,All gun,165,18, - , - ,6, - , - ,11,130
平成25,2013,2,13303,瑞穂町,Mizuho-machi,54,15, - , - ,5, - , - ,9,25
平成25,2013,2,13305,日の出町,Hinode-machi,43,3, - , - ,1, - , - ,2,37
平成25,2013,2,13307,檜原村,Hinohara-mura, - , - , - , - , - , - , - , - , - 
平成25,2013,2,13308,奥多摩町,Okutama-machi,68, - , - , - , - , - , - , - ,68
平成25,2013,1,13350,島部,All islands, - , - , - , - , - , - , - , - , - 
,,,,,,,,,,,,,,
東京都統計年鑑（平成25年）TOKYO STATISTICAL YEARBOOK ( 2013 )　19  医療・衛生・環境 19  MEDICAL CARE， SANITATION， AND ENVIRONMENT,,,,,,,,,,,,,,
19-11 公害の種類別苦情件数（平成21～平成25年度） 19-11 COMPLAINTS ABOUT POLLUTIONS BY KIND  ( Fiscal Years 2009-2013 ),,,,,,,,,,,,,,
注.1) 東京都の窓口への苦情件数分を含む。                     Note.1)  Includes received cases of complaints at Metropolitan office windows,,,,,,,,,,,,,,
資料：都環境局総務部総務課 Source: Bureau of Environment， TMG,,,,,,,,,,,,,,
地域階層（0:東京都　1:区部・市部・郡部・島部　2:区市町村),,,,,,,,,,,,,,
