年次,Year,区分階層,検察庁,Public Prosecutor's Office,受理 Received／総数 Total,受理 Received／旧受 Previously received,受理 Received／新受 Newly received,処理 Handled／総数 Total,処理 Handled／起訴 Prosecuted,処理 Handled／不起訴 Dismissed,処理 Handled／中止 Suspended,処理 Handled／移送 Transferred,処理 Handled／家裁に送致 Referred to Family Court,未済 Pending
平成21,2009,0,総数,Total,206659,4550,202109,202768,51416,111333,313,28071,11635,3891
平成22,2010,0,総数,Total,189470,3891,185579,186448,44762,104149,349,25923,11265,3022
平成23,2011,0,総数,Total,174253,3022,171231,170969,39616,96757,275,24072,10249,3284
平成24,2012,0,総数,Total,172756,3284,169472,167628,37324,95501,322,25979,8502,5128
平成25,2013,0,総数,Total,158576,5127,153449,154577,33529,91272,340,21545,7891,3999
平成25,2013,1,東京地方検察庁,Tokyo District Public Prosecutor's Office,84816,3357,81459,81992,9042,55776,315,8968,7891,2824
平成25,2013,2,本庁,Main Office,60214,2540,57674,58195,7275,39416,256,6331,4917,2019
平成25,2013,2,立川支部,Tachikawa Branch ,24602,817,23785,23797,1767,16360,59,2637,2974,805
平成25,2013,1,区検察庁,Local Public Prosecutor's Office,73760,1770,71990,72585,24487,35496,25,12577,-,1175
平成25,2013,2,東京,Tokyo,58069,1609,56460,56991,17416,29127,21,10427,-,1078
平成25,2013,2,八丈島,Hachijojima ,33,1,32,33,2,1,-,30,-,-
平成25,2013,2,伊豆大島,Izu-oshima ,12,-,12,12,1,-,-,11,-,-
平成25,2013,2,新島,Niijima,7,-,7,7,2,-,-,5,-,-
平成25,2013,2,八王子,Hachioji ,1240,24,1216,1218,564,598,-,56,-,22
平成25,2013,2,立川,Tachikawa,10953,89,10864,10918,5004,3959,4,1951,-,35
平成25,2013,2,武蔵野,Musashino,1957,11,1946,1938,723,1164,-,51,-,19
平成25,2013,2,青梅,Ome ,498,26,472,490,230,246,-,14,-,8
平成25,2013,2,町田,Machida,991,10,981,978,545,401,-,32,-,13
,,,,,,,,,,,,,,
東京都統計年鑑（平成25年）TOKYO STATISTICAL YEARBOOK ( 2013 ) 20  司法・警察・消防 20  JUSTICE， POLICE， AND FIRE FIGHTING SERVICES,,,,,,,,,,,,,,
20-4  検察事件の検察庁別受理， 処理人員（平成21～25年） 20-4 CASES ( PERSONS ) RECEIVED／HANDLED BY THE PUBLIC PROSECUTOR'S OFFICE BY OFFICE ( 2009-2013 ),,,,,,,,,,,,,,
資料：法務省 「検察統計」 （ホームページ） Source: Ministry of Justice,,,,,,,,,,,,,,
区分階層(0:総数　1:区分　2:区分内訳),,,,,,,,,,,,,,
