年次,Year,月次,Month,月間有効求職者数 Monthly active applications (A)／総数Total,月間有効求職者数 Monthly active applications (A)／男 Male,月間有効求職者数 Monthly active applications (A)／女 Female,新規求職申込件数 New applications (B)／総数Total,新規求職申込件数 New applications (B)／男Male,新規求職申込件数 New applications (B)／女 Female,月間有効求人数 Monthly active job openings (C),新規求人数 New job openings (D),就職件数 Persons who found employment (E)／総数Total,就職件数 Persons who found employment (E)／男 Male,就職件数 Persons who found employment (E)／女Female,充足数 Sufficiency (F),充足数 Sufficiency (F)／うち他県から of which from other prefectures,有効求人倍率 Active job openings-to-applicants ratio (C／A),就職率 Ratio of persons who found employment  (E／B) (%),充足率 Sufficiency ratio (F／D) (%)
平成21,2009,,,2510892,1487433,1008439,581426,345210,231890,1366088,501652,83765,53881,29315,115732,43530,0.54,14.4,23.1
平成22,2010,,,2632290,1575730,1041198,577635,342495,230995,1427301,546445,85994,55613,29864,118835,45520,0.54,14.9,21.7
平成23,2011,,,2429950,1425638,992030,538457,312953,222484,1727748,644116,88132,56333,31346,121500,47602,0.71,16.4,18.9
平成24,2012,,,2176570,1270752,900165,472581,272902,198403,2012599,734927,89221,56145,32705,124572,51337,0.92,18.9,17
平成25,2013,,,2010075,1151248,855000,430618,242591,187136,2262221,811420,90576,56170,34296,123413,49008,1.13,21,15.2
平成25,2013,1,Jan.,160816,93824,66690,39440,22364,17006,179721,72540,6941,4391,2542,9151,3447,1.12,17.6,12.6
平成25,2013,2,Feb.,164182,95235,68649,36915,20687,16163,183936,65914,7568,4688,2871,10391,4143,1.12,20.5,15.8
平成25,2013,3,Mar.,172365,99492,72568,38958,21952,16934,184929,62798,8296,4982,3308,11522,4688,1.07,21.3,18.3
平成25,2013,4,Apr.,182271,103989,77940,47493,26088,21303,183285,69154,8118,4991,3116,11248,4707,1.01,17.1,16.3
平成25,2013,5,May,182481,103783,78367,38872,21788,17017,183525,66767,7638,4665,2963,10712,4432,1.01,19.6,16
平成25,2013,6,June,173459,99232,73910,32844,18736,14037,182333,61271,7490,4607,2874,10170,4065,1.05,22.8,16.6
平成25,2013,7,July,171457,98189,72938,37512,21316,16093,186159,71125,7602,4724,2861,10559,4276,1.09,20.3,14.8
平成25,2013,8,Aug.,166768,94997,71424,33175,18631,14457,188271,68325,7281,4557,2720,9746,3733,1.13,21.9,14.3
平成25,2013,9,Sept.,164600,93588,70678,33340,18816,14459,193582,67132,7510,4722,2778,10066,3879,1.18,22.5,15
平成25,2013,10,Oct.,165383,94067,70980,36665,20874,15703,203668,79500,7860,4910,2943,10695,4231,1.23,21.4,13.5
平成25,2013,11,Nov.,158557,90451,67798,30135,17114,12966,201524,67719,7402,4694,2699,9958,3853,1.27,24.6,14.7
平成25,2013,12,Dec.,147736,84401,63058,25269,14225,10998,191288,59175,6870,4239,2621,9195,3554,1.29,27.2,15.5
,,,,,,,,,,,,,,,,,,,
東京都統計年鑑（平成25年）TOKYO STATISTICAL YEARBOOK ( 2013 )　7  労働 7  LABOR,,,,,,,,,,,,,,,,,,,
7-1  一般職業紹介状況 (平成21～25年) 7-1  EMPLOYMENT REFERRALS FOR GENERAL WORKERS ( 2009-2013 ),,,,,,,,,,,,,,,,,,,
「一般」とは常用労働者，臨時労働者及び季節労働者の計をいう。 ただし 「新規学卒」と「パートタイム」は除く。,,,,,,,,,,,,,,,,,,,
“General workers”  refer to the regular， casual and seasonal workers， excluding new school graduates and part-timers.,,,,,,,,,,,,,,,,,,,
注) 求職申込書における「性別」欄の記載が任意になったことに伴い，男女別の合計は総数と必ずしも一致しない。,,,,,,,,,,,,,,,,,,,
Note: Total figures may not always equal the combined number of men and women because specification of gender on the application has become voluntary.,,,,,,,,,,,,,,,,,,,
資料：東京労働局 Source: Tokyo Labor Bureau,,,,,,,,,,,,,,,,,,,
