年度,Fiscal year,会社名,Company name,系統,Line,旅客営業キロ Passanger rail length(km),駅数 Stations,旅客延千人キロ Total passenger-kilometers in thousands／総数 Total,旅客延千人キロ Total passenger-kilometers in thousands／定期 Commuter Pass,旅客延千人キロ Total passenger-kilometers in thousands／普通 Tickets
平成21,2009,総数,Total,,,406.8,371,32020304,20044368,11975936
平成22,2010,総数,Total,,,406.8,373,31666982,19941610,11725371
平成23,2011,総数,Total,,,406.8,373,31384753,19741355,11643398
平成24,2012,総数,Total,,,406.8,373,32012234,19982170,12030063
平成25,2013,総数,Total,,,406.8,373,32744315,20572638,12171675
平成25,2013,小田急電鉄,Odakyu Electric Railway,,,26.5,23,4836912,3110698,1726214
平成25,2013,小田急電鉄,Odakyu Electric Railway,小田原線,Odawara Line,21.3,20,4717978,3027840,1690138
平成25,2013,小田急電鉄,Odakyu Electric Railway,多摩線,Tama Line,5.2,3,118934,82858,36076
平成25,2013,西武鉄道,Seibu Railway,,,93.4,71,6809171,4521749,2287422
平成25,2013,西武鉄道,Seibu Railway,池袋線,Ikebukuro Line,21.8,16,3212859,2115594,1097265
平成25,2013,西武鉄道,Seibu Railway,西武有楽町線,Seibu Yurakucho Line,2.6,3,110717,70917,39800
平成25,2013,西武鉄道,Seibu Railway,豊島線,Toshima Line,1,2,4958,2520,2438
平成25,2013,西武鉄道,Seibu Railway,山口線,Yamaguchi Line,0.3,1,242,57,185
平成25,2013,西武鉄道,Seibu Railway,新宿線,Shinjuku Line,26,21,2831266,1911054,920212
平成25,2013,西武鉄道,Seibu Railway,拝島線,Haijima Line,14.3,8,322450,209574,112876
平成25,2013,西武鉄道,Seibu Railway,西武園線,Seibuen Line,2.4,2,3361,1599,1762
平成25,2013,西武鉄道,Seibu Railway,国分寺線,Kokubunji Line,7.8,5,190860,131768,59092
平成25,2013,西武鉄道,Seibu Railway,多摩湖線,Tamako Line,9.2,7,74402,41583,32819
平成25,2013,西武鉄道,Seibu Railway,多摩川線,Tamagawa Line,8,6,58056,37083,20973
平成25,2013,東京急行電鉄,Tokyu Corporation,,,60,75,5663182,3621020,2042160
平成25,2013,東京急行電鉄,Tokyu Corporation,東横線,Toyoko Line,9,9,1735117,1042775,692342
平成25,2013,東京急行電鉄,Tokyu Corporation,目黒線,Meguro Line,7.3,9,493745,318158,175586
