年度末,End of fiscal year,地域階層,地域コード,項番 Item number,地域,District,理容所 Barber,美容所  Beauty salon,クリーニング所 Dry-cleaner,公衆浴場 Public baths／総数 Total,公衆浴場 Public baths／普通 General,公衆浴場 Public baths／その他 Others,温泉利用施設 Hot springs,旅館等  Hotels and inns／総数 Total,旅館等 Hotels and inns／ホテル hotels,旅館等 Hotels and inns／旅館 Japanese-style hotels & inns (ryokan),旅館等 Hotels and inns／簡易宿所 Budget hotel,旅館等  Hotels and inns／下宿 Boarding houses and lodgings,常設興行場 Entertainment places／総数 Total,常設興行場 Entertainment places／映画館 Cinemas,常設興行場 Entertainment places／スポーツ施設 Sports center,常設興行場 Entertainment places／その他 Others,プール Swimming pool
平成21,2009,0,13000,,東京都,Tokyo-to,9112,18212,11689,2441,838,1603,212,2949,694,1265,973,17,814,310,33,471,3076
平成22,2010,0,13000,,東京都,Tokyo-to,9019,18751,11481,2380,800,1580,219,2966,687,1285,977,17,820,306,33,481,2925
平成23,2011,0,13000,,東京都,Tokyo-to,8880,19311,11370,2308,761,1547,222,2925,683,1259,966,17,834,303,35,496,2861
平成24,2012,0,13000,,東京都,Tokyo-to,8763,19783,10960,2243,740,1503,257,2893,684,1230,962,17,841,296,37,508,2875
平成25,2013,0,13000,,東京都,Tokyo-to,8603,20396,10770,2179,707,1472,248,2851,680,1204,951,16,846,299,36,511,2866
平成25,2013,1,13100,,区部,All ku,6250,15596,8309,1778,646,1132,112,1834,543,916,359,16,666,218,24,424,1963
平成25,2013,2,13101,1,千代田区,Chiyoda-ku,160,166,174,35,5,30,0,78,46,23,9,0,59,18,1,40,34
平成25,2013,2,13102,2,中央区,Chuo-ku,158,543,226,49,10,39,1,95,62,29,4,0,39,15,0,24,34
平成25,2013,2,13103,3,港区,Minato-ku,183,945,386,134,6,128,4,126,68,49,9,0,73,30,1,42,85
平成25,2013,2,13104,4,新宿区,Shinjuku-ku,288,852,472,111,28,83,2,239,38,156,37,8,91,39,3,49,95
平成25,2013,2,13105,5,文京区,Bunkyo-ku,126,272,238,24,11,13,2,43,17,22,2,2,16,1,1,14,81
平成25,2013,2,13106,6,台東区,Taito-ku,196,330,247,233,31,202,3,418,71,180,165,2,26,5,0,21,40
平成25,2013,2,13107,7,墨田区,Sumida-ku,219,409,318,53,32,21,5,53,19,22,12,0,21,6,1,14,49
平成25,2013,2,13108,8,江東区,Koto-ku,260,460,394,70,28,42,5,53,21,23,9,0,51,22,3,26,109
平成25,2013,2,13109,9,品川区,Shinagawa-ku,219,531,377,66,30,36,8,74,47,21,6,0,16,4,1,11,70
平成25,2013,2,13110,10,目黒区,Meguro-ku,148,650,260,41,18,23,1,19,10,7,2,0,15,1,0,14,54
平成25,2013,2,13111,11,大田区,Ota-ku,428,802,521,105,49,56,24,83,6,63,14,0,18,9,2,7,120
平成25,2013,2,13112,12,世田谷区,Setagaya-ku,414,1378,643,93,34,59,6,18,2,13,1,2,29,4,6,19,158
平成25,2013,2,13113,13,渋谷区,Shibuya-ku,176,1857,264,112,14,98,1,113,58,48,6,1,77,25,3,49,60
平成25,2013,2,13114,14,中野区,Nakano-ku,214,474,318,42,24,18,4,8,3,3,2,0,12,1,0,11,55
平成25,2013,2,13115,15,杉並区,Suginami-ku,301,730,396,46,24,22,27,16,5,9,2,0,14,1,0,13,92
平成25,2013,2,13116,16,豊島区,Toshima-ku,234,709,278,92,30,62,1,180,22,138,20,0,42,19,0,23,56
平成25,2013,2,13117,17,北区,Kita-ku,258,441,287,62,34,28,0,28,12,9,7,0,13,0,1,12,80
平成25,2013,2,13118,18,荒川区,Arakawa-ku,157,275,174,40,31,9,2,59,8,11,40,0,7,0,0,7,45
平成25,2013,2,13119,19,板橋区,Itabashi-ku,355,629,428,77,40,37,4,18,1,13,3,1,6,2,0,4,114
平成25,2013,2,13120,20,練馬区,Nerima-ku,420,835,486,90,29,61,3,7,4,3,0,0,11,3,0,8,156
平成25,2013,2,13121,21,足立区,Adachi-ku,509,889,510,59,46,13,2,42,4,36,2,0,17,11,0,6,140
平成25,2013,2,13122,22,葛飾区,Katsushika-ku,360,621,416,71,44,27,1,23,15,4,4,0,3,1,0,2,95
平成25,2013,2,13123,23,江戸川区,Edogawa-ku,467,798,496,73,48,25,6,41,4,34,3,0,10,1,1,8,141
平成25,2013,1,13200,,市部,All shi,2271,4683,2418,353,61,292,55,324,125,152,47,0,168,72,12,84,842
平成25,2013,2,13201,1,八王子市,Hachioji-shi,321,664,332,37,3,34,10,65,25,34,6,0,24,13,3,8,24
平成25,2013,2,13202,2,立川市,Tachikawa-shi,110,284,122,18,4,14,0,39,15,22,2,0,16,11,1,4,64
平成25,2013,2,13203,3,武蔵野市,Musashino-shi,103,373,106,17,6,11,0,12,5,6,1,0,15,7,0,8,37
平成25,2013,2,13204,4,三鷹市,Mitaka-shi,90,156,97,19,5,14,1,1,1,0,0,0,3,0,0,3,37
平成25,2013,2,13205,5,青梅市,Ome-shi,106,151,76,20,0,20,7,47,2,24,21,0,1,0,0,1,43
平成25,2013,2,13206,6,府中市,Fuchu-shi,133,240,163,28,5,23,1,20,13,7,0,0,18,9,3,6,58
