"年度[西暦]","款","当初予算 金額[千円]","当初予算 構成比[%]","最終補正後 金額[千円]","最終補正後 構成比[%]"
"2018","後期高齢者医療保険料","3196246","59.5","3252272","60.8"
"2018","使用料及び手数料","1","0.0","1","0.0"
"2018","繰入金","2057878","38.3","1924288","35.9"
"2018","繰越金","1","0.0","59070","1.1"
"2018","諸収入","117539","2.2","117539","2.2"
"2018","歳入合計","5371665","100","5353170","100"
"2019","後期高齢者医療保険料","3296069","59.4",,
"2019","使用料及び手数料","1","0.0",,
"2019","繰入金","2128096","38.4",,
"2019","繰越金","1","0.0",,
"2019","諸収入","120372","2.2",,
"2019","歳入合計","5544539","100",,

"令和元年度港区行政資料集　後期高齢者医療会計歳入予算","Ver201903",,,,
