"年月[西暦]","調査項目","設問","項目","選択肢","件数[人]","(全体)[%]","(除不)[%]"
"202003","在宅医療について","Q43-2. 【問43－1で「１.～３.」のいずれかを回答された方のみ】どのような在宅医療をご存知ですか。それぞれについて、あてはまるものに○をつけてください。（項目ア～カについて「１」～「３」に○を１つずつ）","ア.医師の訪問（訪問診療・往診）","よく知っている","374","20.7","23.2"
"202003","在宅医療について","Q43-2. 【問43－1で「１.～３.」のいずれかを回答された方のみ】どのような在宅医療をご存知ですか。それぞれについて、あてはまるものに○をつけてください。（項目ア～カについて「１」～「３」に○を１つずつ）","ア.医師の訪問（訪問診療・往診）","ある程度知っている","587","32.5","36.5"
"202003","在宅医療について","Q43-2. 【問43－1で「１.～３.」のいずれかを回答された方のみ】どのような在宅医療をご存知ですか。それぞれについて、あてはまるものに○をつけてください。（項目ア～カについて「１」～「３」に○を１つずつ）","ア.医師の訪問（訪問診療・往診）","言葉だけは知っている","649","35.9","40.3"
"202003","在宅医療について","Q43-2. 【問43－1で「１.～３.」のいずれかを回答された方のみ】どのような在宅医療をご存知ですか。それぞれについて、あてはまるものに○をつけてください。（項目ア～カについて「１」～「３」に○を１つずつ）","ア.医師の訪問（訪問診療・往診）","無回答","197","10.9",
"202003","在宅医療について","Q43-2. 【問43－1で「１.～３.」のいずれかを回答された方のみ】どのような在宅医療をご存知ですか。それぞれについて、あてはまるものに○をつけてください。（項目ア～カについて「１」～「３」に○を１つずつ）","イ.歯科医師の訪問（訪問歯科診療）","よく知っている","202","11.2","14.4"
"202003","在宅医療について","Q43-2. 【問43－1で「１.～３.」のいずれかを回答された方のみ】どのような在宅医療をご存知ですか。それぞれについて、あてはまるものに○をつけてください。（項目ア～カについて「１」～「３」に○を１つずつ）","イ.歯科医師の訪問（訪問歯科診療）","ある程度知っている","371","20.5","26.4"
"202003","在宅医療について","Q43-2. 【問43－1で「１.～３.」のいずれかを回答された方のみ】どのような在宅医療をご存知ですか。それぞれについて、あてはまるものに○をつけてください。（項目ア～カについて「１」～「３」に○を１つずつ）","イ.歯科医師の訪問（訪問歯科診療）","言葉だけは知っている","832","46.0","59.2"
"202003","在宅医療について","Q43-2. 【問43－1で「１.～３.」のいずれかを回答された方のみ】どのような在宅医療をご存知ですか。それぞれについて、あてはまるものに○をつけてください。（項目ア～カについて「１」～「３」に○を１つずつ）","イ.歯科医師の訪問（訪問歯科診療）","無回答","402","22.2",
"202003","在宅医療について","Q43-2. 【問43－1で「１.～３.」のいずれかを回答された方のみ】どのような在宅医療をご存知ですか。それぞれについて、あてはまるものに○をつけてください。（項目ア～カについて「１」～「３」に○を１つずつ）","ウ.薬剤師の訪問（訪問薬剤管理指導）","よく知っている","131","7.2","10.0"
"202003","在宅医療について","Q43-2. 【問43－1で「１.～３.」のいずれかを回答された方のみ】どのような在宅医療をご存知ですか。それぞれについて、あてはまるものに○をつけてください。（項目ア～カについて「１」～「３」に○を１つずつ）","ウ.薬剤師の訪問（訪問薬剤管理指導）","ある程度知っている","265","14.7","20.2"
"202003","在宅医療について","Q43-2. 【問43－1で「１.～３.」のいずれかを回答された方のみ】どのような在宅医療をご存知ですか。それぞれについて、あてはまるものに○をつけてください。（項目ア～カについて「１」～「３」に○を１つずつ）","ウ.薬剤師の訪問（訪問薬剤管理指導）","言葉だけは知っている","913","50.5","69.7"
"202003","在宅医療について","Q43-2. 【問43－1で「１.～３.」のいずれかを回答された方のみ】どのような在宅医療をご存知ですか。それぞれについて、あてはまるものに○をつけてください。（項目ア～カについて「１」～「３」に○を１つずつ）","ウ.薬剤師の訪問（訪問薬剤管理指導）","無回答","498","27.6",
"202003","在宅医療について","Q43-2. 【問43－1で「１.～３.」のいずれかを回答された方のみ】どのような在宅医療をご存知ですか。それぞれについて、あてはまるものに○をつけてください。（項目ア～カについて「１」～「３」に○を１つずつ）","エ.看護師などの訪問（訪問看護）","よく知っている","338","18.7","22.9"
"202003","在宅医療について","Q43-2. 【問43－1で「１.～３.」のいずれかを回答された方のみ】どのような在宅医療をご存知ですか。それぞれについて、あてはまるものに○をつけてください。（項目ア～カについて「１」～「３」に○を１つずつ）","エ.看護師などの訪問（訪問看護）","ある程度知っている","477","26.4","32.3"
"202003","在宅医療について","Q43-2. 【問43－1で「１.～３.」のいずれかを回答された方のみ】どのような在宅医療をご存知ですか。それぞれについて、あてはまるものに○をつけてください。（項目ア～カについて「１」～「３」に○を１つずつ）","エ.看護師などの訪問（訪問看護）","言葉だけは知っている","662","36.6","44.8"
"202003","在宅医療について","Q43-2. 【問43－1で「１.～３.」のいずれかを回答された方のみ】どのような在宅医療をご存知ですか。それぞれについて、あてはまるものに○をつけてください。（項目ア～カについて「１」～「３」に○を１つずつ）","エ.看護師などの訪問（訪問看護）","無回答","330","18.3",
"202003","在宅医療について","Q43-2. 【問43－1で「１.～３.」のいずれかを回答された方のみ】どのような在宅医療をご存知ですか。それぞれについて、あてはまるものに○をつけてください。（項目ア～カについて「１」～「３」に○を１つずつ）","オ.リハビリ専門職の訪問（訪問リハビリテーション）","よく知っている","279","15.4","19.8"
"202003","在宅医療について","Q43-2. 【問43－1で「１.～３.」のいずれかを回答された方のみ】どのような在宅医療をご存知ですか。それぞれについて、あてはまるものに○をつけてください。（項目ア～カについて「１」～「３」に○を１つずつ）","オ.リハビリ専門職の訪問（訪問リハビリテーション）","ある程度知っている","386","21.4","27.3"
"202003","在宅医療について","Q43-2. 【問43－1で「１.～３.」のいずれかを回答された方のみ】どのような在宅医療をご存知ですか。それぞれについて、あてはまるものに○をつけてください。（項目ア～カについて「１」～「３」に○を１つずつ）","オ.リハビリ専門職の訪問（訪問リハビリテーション）","言葉だけは知っている","747","41.3","52.9"
"202003","在宅医療について","Q43-2. 【問43－1で「１.～３.」のいずれかを回答された方のみ】どのような在宅医療をご存知ですか。それぞれについて、あてはまるものに○をつけてください。（項目ア～カについて「１」～「３」に○を１つずつ）","オ.リハビリ専門職の訪問（訪問リハビリテーション）","無回答","395","21.9",
