"年月[西暦]","調査項目","設問","項目","調査回答者の属性種別","調査回答者の属性","調査数[人]","とても良くなった[人]","良くなった[人]","変わらない[人]","悪くなった[人]","とても悪くなった[人]","無回答[人]"
"202003","港区の職員に対する印象","Q30. 港区の職員に対する印象の変化について、近年、どのような変化を感じますか。以下の項目について、あなたのお考えに近いものをお答えください。（○はそれぞれ１つずつ）","項目(7)先を見通す仕事の仕方","全体",,"658","18","90","464","19","7","60"
"202003","港区の職員に対する印象","Q30. 港区の職員に対する印象の変化について、近年、どのような変化を感じますか。以下の項目について、あなたのお考えに近いものをお答えください。（○はそれぞれ１つずつ）","項目(7)先を見通す仕事の仕方","性・年代別","男性（計）","248","7","38","166","10","5","22"
"202003","港区の職員に対する印象","Q30. 港区の職員に対する印象の変化について、近年、どのような変化を感じますか。以下の項目について、あなたのお考えに近いものをお答えください。（○はそれぞれ１つずつ）","項目(7)先を見通す仕事の仕方","性・年代別","男性 18～29歳","23","0","5","18","0","0","0"
"202003","港区の職員に対する印象","Q30. 港区の職員に対する印象の変化について、近年、どのような変化を感じますか。以下の項目について、あなたのお考えに近いものをお答えください。（○はそれぞれ１つずつ）","項目(7)先を見通す仕事の仕方","性・年代別","男性 30～39歳","35","0","3","29","1","1","1"
"202003","港区の職員に対する印象","Q30. 港区の職員に対する印象の変化について、近年、どのような変化を感じますか。以下の項目について、あなたのお考えに近いものをお答えください。（○はそれぞれ１つずつ）","項目(7)先を見通す仕事の仕方","性・年代別","男性 40～49歳","41","3","3","33","2","0","0"
"202003","港区の職員に対する印象","Q30. 港区の職員に対する印象の変化について、近年、どのような変化を感じますか。以下の項目について、あなたのお考えに近いものをお答えください。（○はそれぞれ１つずつ）","項目(7)先を見通す仕事の仕方","性・年代別","男性 50～59歳","49","3","10","30","1","1","4"
"202003","港区の職員に対する印象","Q30. 港区の職員に対する印象の変化について、近年、どのような変化を感じますか。以下の項目について、あなたのお考えに近いものをお答えください。（○はそれぞれ１つずつ）","項目(7)先を見通す仕事の仕方","性・年代別","男性 60～69歳","39","0","6","26","4","2","1"
"202003","港区の職員に対する印象","Q30. 港区の職員に対する印象の変化について、近年、どのような変化を感じますか。以下の項目について、あなたのお考えに近いものをお答えください。（○はそれぞれ１つずつ）","項目(7)先を見通す仕事の仕方","性・年代別","男性 70歳以上","60","1","11","29","2","1","16"
"202003","港区の職員に対する印象","Q30. 港区の職員に対する印象の変化について、近年、どのような変化を感じますか。以下の項目について、あなたのお考えに近いものをお答えください。（○はそれぞれ１つずつ）","項目(7)先を見通す仕事の仕方","性・年代別","男性 無回答","1","0","0","1","0","0","0"
"202003","港区の職員に対する印象","Q30. 港区の職員に対する印象の変化について、近年、どのような変化を感じますか。以下の項目について、あなたのお考えに近いものをお答えください。（○はそれぞれ１つずつ）","項目(7)先を見通す仕事の仕方","性・年代別","女性（計）","400","10","50","293","9","2","36"
"202003","港区の職員に対する印象","Q30. 港区の職員に対する印象の変化について、近年、どのような変化を感じますか。以下の項目について、あなたのお考えに近いものをお答えください。（○はそれぞれ１つずつ）","項目(7)先を見通す仕事の仕方","性・年代別","女性 18～29歳","28","2","4","19","0","1","2"
"202003","港区の職員に対する印象","Q30. 港区の職員に対する印象の変化について、近年、どのような変化を感じますか。以下の項目について、あなたのお考えに近いものをお答えください。（○はそれぞれ１つずつ）","項目(7)先を見通す仕事の仕方","性・年代別","女性 30～39歳","65","1","5","55","3","0","1"
"202003","港区の職員に対する印象","Q30. 港区の職員に対する印象の変化について、近年、どのような変化を感じますか。以下の項目について、あなたのお考えに近いものをお答えください。（○はそれぞれ１つずつ）","項目(7)先を見通す仕事の仕方","性・年代別","女性 40～49歳","95","3","18","67","1","1","5"
"202003","港区の職員に対する印象","Q30. 港区の職員に対する印象の変化について、近年、どのような変化を感じますか。以下の項目について、あなたのお考えに近いものをお答えください。（○はそれぞれ１つずつ）","項目(7)先を見通す仕事の仕方","性・年代別","女性 50～59歳","82","1","8","65","2","0","6"
"202003","港区の職員に対する印象","Q30. 港区の職員に対する印象の変化について、近年、どのような変化を感じますか。以下の項目について、あなたのお考えに近いものをお答えください。（○はそれぞれ１つずつ）","項目(7)先を見通す仕事の仕方","性・年代別","女性 60～69歳","55","0","8","39","2","0","6"
"202003","港区の職員に対する印象","Q30. 港区の職員に対する印象の変化について、近年、どのような変化を感じますか。以下の項目について、あなたのお考えに近いものをお答えください。（○はそれぞれ１つずつ）","項目(7)先を見通す仕事の仕方","性・年代別","女性 70歳以上","75","3","7","48","1","0","16"
