年度(平成),Fiscal Year,区分,Classification,総数 Total／総数 Total,総数 Total／男 Male,総数 Total／女 Female,国立 National,公立 Public,私立 Private,(再掲)全日制課程 (Relisted) full-time,(再掲)定時制課程 (Relisted) part-time
28,2016,総数,Total,100422,48941,51481,1085,42567,56770,97067,3355
29,2017,総数,Total,102326,49993,52333,1085,43421,57820,99075,3251
30,2018,総数,Total,101782,49801,51981,1067,43025,57690,98524,3258
30,2018,進学者(A),Enrollment in higher education institutions(A),65863,29909,35954,673,21982,43208,65068,795
30,2018,進学者／大学,Enrollment in higher education institutions／Colleges and universities,63550,29711,33839,672,20738,42140,62820,730
30,2018,進学者／短期大学,Enrollment in higher education institutions／Junior colleges,2217,173,2044,-,1213,1004,2158,59
30,2018,進学者／大学・短期大学の通信教育部,Enrollment in higher education institutions／Correspondence courses of universities and junior colleges,49,22,27,-,28,21,43,6
30,2018,進学者／大学・短期大学の別科,Enrollment in higher education institutions／Universities and junior colleges， special course ,8,1,7,1,1,6,8,-
30,2018,進学者／高等学校の専攻科,Enrollment in higher education institutions／Senior high schools， advanced course,39,2,37,-,2,37,39,-
30,2018,進学者／特別支援学校高等部専攻科,Enrollment in higher education institutions／Special needs education schools， upper secondary course， advanced course,-,-,-,-,-,-,-,-
30,2018,専修学校（専門課程）進学者 (B),Enrollment in specialized training schools (specialized course) (B),10839,4372,6467,3,6982,3854,10216,623
30,2018,専修学校（一般課程）等入学者 (C),Enrollment in specialized training schools (general course) and others (C),7842,4882,2960,-,4050,3792,7759,83
30,2018,公共職業能力開発施設等入学者 (D),Enrollment in public vocational training facilities and others (D),312,240,72,5,275,32,186,126
30,2018,就職者,Employed,6567,3899,2668,1,5418,1148,5689,878
30,2018,就職者／正規の職員等,Employed／Regular employee and others,6541,3882,2659,1,5409,1131,5664,877
30,2018,就職者／正規の職員等でない者,Employed／Non-regular employee and others,26,17,9,-,9,17,25,1
30,2018,一時的な仕事に就いた者,Temporary employee,489,171,318,-,460,29,274,215
30,2018,上記以外の者,Persons other than the above,9860,6326,3534,385,3858,5617,9322,538
30,2018,不詳・死亡,Unknown or deceased,10,2,8,-,-,10,10,-
30,2018,（再掲）上記(ABCD)のうち就職している者,(Relisted)(A， B， C， D) above and employed,3,2,1,-,3,-,3,-
30,2018,（再掲）上記就職している者のうち正規の職員等,(Relisted)Of those employed above， regular employees and others,2,2,-,-,2,-,2,-
30,2018,（再掲）上記就職している者のうち正規の職員等でない者,(Relisted)Of those employed above， non-regular employees and others,1,-,1,-,1,-,1,-
,,,,,,,,,,,
東京都統計年鑑（平成30年）TOKYO STATISTICAL YEARBOOK ( 2018 )　17  教育・文化・スポーツ 17  EDUCATION， CULTURE， AND SPORTS ,,,,,,,,,,,
17-7  高等学校卒業後の状況 （平成28～30年度） 17-7  STATUS OF GRADUATES OF SENIOR HIGH SCHOOLS  ( Fiscal Years 2016～2018 ),,,,,,,,,,,
「学校基本調査」 (5月1日現在) による。 　,,,,,,,,,,,
Data are based on the School Basic Survey (as of May 1).,,,,,,,,,,,
資料：都総務局統計部人口統計課 「学校基本統計（学校基本調査報告書）」  Source: Bureau of General Affairs， TMG,,,,,,,,,,,
