一連番号,測定地点住所,緯度,経度,座標系,道路名,環境基準類型,測定開始年月日,測定終了年月日,道路種別,車線数,車道端からの距離,地上からの高さ,昼間等価騒音レベル(dB),夜間等価騒音レベル(dB)
1,千代田区神田神保町2-1,35.695614,139.757889,JGD2011,都道301号線(白山通り),c,2012-06-12,2012-06-14,4,5,5.2,1.2,71,69
2,千代田区麹町6-2,35.685215,139.733078,JGD2011,国道20号(新宿通り),c,2012-06-13,2012-06-15,3,6,6.9,1.2,67,65
3,千代田区九段南1-1,35.693378,139.754913,JGD2011,都道401号線(内堀通り),b,2012-06-12,2012-06-14,4,4,1.7,1.2,68,65
4,千代田区飯田橋4-5-14,35.700638,139.747498,JGD2011,都道8号線(目白通り),c,2012-06-12,2012-06-14,4,5,4.4,1.2,71,69
5,千代田区平河町2-5-1,35.680439,139.738847,JGD2011,区道220号線(プリンス通り),b,2012-06-12,2012-06-14,6,2,3.0,1.6,63,60
6,千代田区九段南3-8-14,35.692982,139.742935,JGD2011,都道302号線(靖国通り),c,2012-09-11,2012-09-13,4,5,4.5,1.2,68,64
7,千代田区神田須田町1-3,35.696018,139.769287,JGD2011,都道302号線(靖国通り),c,2012-09-11,2012-09-13,4,6,7.3,1.2,68,65
8,千代田区東神田2-10-18,35.695507,139.780655,JGD2011,都道302号線(靖国通り),c,2012-10-02,2012-10-04,4,7,6.3,1.2,72,70
9,千代田区神田神保町2-1,35.695614,139.757889,JGD2011,都道301号線(白山通り),c,2012-09-11,2012-09-13,4,5,5.2,1.2,70,68
10,千代田区霞ヶ関2-1,35.676193,139.751129,JGD2011,国道20号(内堀通り),c,2013-01-22,2013-01-24,3,8,4.9,1.2,73,73
11,千代田区外神田3-16-12,35.702534,139.771484,JGD2011,都道437号線(中央通り),c,2012-10-02,2012-10-04,4,7,6.3,1.2,66,64
12,千代田区丸の内1-1-4,35.683580,139.762433,JGD2011,国道1号(日比谷通り),b,2013-01-22,2013-01-24,3,8,7.8,1.5,67,64
13,千代田区日比谷公園,35.673889,139.756195,JGD2011,国道1号(晴海通り),b,2013-01-22,2013-01-24,3,10,3.3,1.2,69,69
14,千代田区岩本町2-8-10,35.692783,139.776947,JGD2011,区道792号(水天宮通り),c,2012-10-02,2012-10-04,5,5,3.5,1.2,67,65
15,千代田区神田岩本町15,35.696655,139.775024,JGD2011,国道4号(日光街道),c,2012-10-02,2012-10-04,3,7,6.8,1.2,69,69
16,千代田区神田岩本町15,35.696655,139.775024,JGD2011,首都高速1号上野線,c,2012-10-02,2012-10-04,2,4,11,13.6,71,69
17,千代田区富士見1-4-4,35.698372,139.746094,JGD2011,区道270号(早稲田通り),c,2012-09-11,2012-09-13,6,1,2.7,1.2,62,57
18,千代田区九段南1丁目3,35.694386,139.752792,JGD2011,首都高速5号池袋線,C,2012-11-27,2012-11-28,2,4,6,1.2,66,65
19,千代田区西神田2丁目7,35.699425,139.755341,JGD2011,都道301号白山祝田田町線,C,2012-11-27,2012-11-28,4,5,6.1,1.2,69,67
20,千代田区神田神保町3丁目3,35.695652,139.754379,JGD2011,都道302号新宿両国線,C,2012-11-27,2012-11-28,4,6,6.1,1.2,68,65
21,千代田区外神田2丁目2,35.699581,139.767685,JGD2011,都道405号外濠環状線,C,2012-11-27,2012-11-28,4,4,3.2,1.2,69,67
22,千代田区岩本町2丁目18,35.693436,139.778275,JGD2011,区道千第619号,C,2012-11-27,2012-11-28,5,5,4.2,1.2,66,65
