一連番号,測定地点住所,緯度,経度,座標系,道路名,環境基準類型,測定開始年月日,測定終了年月日,道路種別,車線数,車道端からの距離,地上からの高さ,昼間等価騒音レベル(dB),夜間等価騒音レベル(dB)
225,中野区大和町1-12,35.712528,139.653717,JGD2011,都道環状7号線(環七通り),c,2012-11-27,2012-11-30,4,6,4.5,1.2,78,77
226,中野区中野2-17,35.702869,139.669495,JGD2011,都道神楽坂高円寺線(大久保通り),c,2012-11-27,2012-11-30,4,2,1.9,1.2,68,65
227,中野区本町4-18,35.696976,139.672409,JGD2011,都道東京所沢線(青梅街道),c,2012-11-27,2012-11-30,4,5,4.2,1.2,69,68
228,中野区弥生町4-20,35.686672,139.671631,JGD2011,都道鮫洲大山線(方南通り),c,2012-11-27,2012-11-30,4,3,4.5,1.2,64,61
229,中野区江原町3-5,35.730846,139.675552,JGD2011,都道千代田練馬田無線(目白通り),c,2012-11-27,2012-11-30,4,4,4.1,1.2,70,69
230,中野区中央2-18,35.700245,139.682617,JGD2011,都道環状6号線(山手通り),c,2012-11-27,2012-11-30,4,6,9.4,1.2,67,63
231,中野区中央1丁目35,35.696728,139.685089,JGD2011,都道東京所沢線,C,2012-11-29,2012-11-30,4,4,4.0,1.2,69,68
232,中野区本町4丁目18,35.696976,139.672409,JGD2011,都道東京所沢線,C,2012-11-29,2012-11-30,4,4,4.2,1.2,69,68
233,中野区東中野1丁目2,35.701782,139.686325,JGD2011,都道神楽坂高円寺線,C,2012-11-28,2012-11-29,4,2,2.5,1.2,67,64
234,中野区中野2丁目17,35.702869,139.669495,JGD2011,都道神楽坂高円寺線,C,2012-11-28,2012-11-29,4,2,1.9,1.2,68,65
