一連番号,測定地点住所,緯度,経度,座標系,道路名,環境基準類型,測定開始年月日,測定終了年月日,道路種別,車線数,車道端からの距離,地上からの高さ,昼間等価騒音レベル(dB),夜間等価騒音レベル(dB)
497,調布市仙川町2-5,35.661297,139.580093,JGD2011,国道20号(甲州街道),c,2013-02-01,2013-02-07,3,5,4.1,1.2,72,70
498,調布市多摩川1-51,35.648731,139.532318,JGD2011,都道町田調布線(鶴川街道),c,2013-01-18,2013-01-24,4,4,4.6,1.2,69,65
499,調布市深大寺北町7-6-10,35.673523,139.544840,JGD2011,都道調布田無線(武蔵境通り),a,2013-01-29,2013-01-30,4,4,11.6,1.2,61,57
500,調布市富士見町2-16-33,35.659873,139.541131,JGD2011,都道調布田無線(武蔵境通り),a,2013-01-22,2013-01-23,4,2,4.6,1.2,67,65
501,調布市西つつじヶ丘3-19-1,35.657822,139.571388,JGD2011,国道20号(甲州街道),b,2013-02-05,2013-02-06,3,4,8.8,3.5,69,65
502,調布市飛田給3-40-30,35.655580,139.521777,JGD2011,中央自動車国道富士吉田線,A,2012-12-18,2012-12-19,1,4,10.3,1.2,63,57
503,調布市調布ヶ丘1-24,35.654896,139.546432,JGD2011,国道20号,C,2012-12-18,2012-12-19,3,4,3.1,1.2,69,67
504,調布市緑ヶ丘1-3-4,35.665494,139.581241,JGD2011,都道武蔵野狛江線,A,2012-12-18,2012-12-19,4,2,1.5,1.2,65,60
505,調布市仙川町1-22-9,35.659654,139.587505,JGD2011,都道調布経堂停車場線,C,2012-12-18,2012-12-19,4,2,1,1.2,66,64
506,調布市下石原1-46-1,35.655778,139.534716,JGD2011,都道北浦上石原線,C,2012-12-18,2012-12-19,4,2,1.8,1.2,66,61
