総平均・大類別/類別/品目数/ウエイト,西暦（年）,月,国内需要財,国内需要財/国内品,国内需要財/輸入品,素材原料(1),中間財(2),中間財(2)/製品原材料,中間財(2)/建設用材料(3),中間財(2)/燃料動力,中間財(2)/その他中間財,最終財,最終財/資本財(4),最終財/消費財,最終財/消費財/耐久消費財,最終財/消費財/非耐久消費財,(参考)生産財(1)+(2),(参考)投資財 注),,,,,,,,
品目数,,,1264,944,320,83,640,434,111,19,76,541,155,386,80,306,723,269,,,,,,,,
ウエイト,,,1000,813.03,186.97,78.589,517.13,337.673,61.336,61.694,56.427,404.281,131.235,273.046,82.8,190.246,595.719,193.643,,,,,,,,
平成17年平均,2005,,100.0 ,100.0 ,100.0 ,100.0 ,100.0 ,100.0 ,100.0 ,100.0 ,100.0 ,100.0 ,100.0 ,100.0 ,100.0 ,100.0 ,100.0 ,100.0 ,,,,,,,,
平成18年平均,2006,,104.4 ,102.2 ,113.9 ,121.3 ,105.5 ,105.7 ,103.0 ,110.8 ,101.3 ,99.7 ,99.4 ,99.8 ,97.1 ,101.0 ,107.5 ,100.6 ,,,,,,,,
平成19年平均,2007,,107.4 ,104.0 ,122.4 ,132.2 ,109.7 ,110.4 ,106.7 ,115.0 ,103.4 ,99.6 ,98.9 ,100.0 ,94.1 ,102.6 ,112.7 ,101.4 ,,,,,,,,
平成20年平均,2008,,113.4 ,108.8 ,133.2 ,165.4 ,115.9 ,114.5 ,113.4 ,133.0 ,108.1 ,100.0 ,98.1 ,100.9 ,91.2 ,105.2 ,122.4 ,103.0 ,,,,,,,,
平成16年度平均,2004,,97.4 ,98.8 ,90.3 ,84.1 ,97.2 ,97.3 ,97.8 ,93.2 ,99.4 ,100.4 ,101.2 ,99.9 ,101.8 ,99.1 ,95.4 ,100.0 ,,,,,,,,
平成17年度平均,2005,,101.3 ,100.5 ,104.5 ,107.3 ,101.3 ,101.2 ,100.6 ,103.8 ,100.4 ,100.0 ,99.8 ,100.2 ,99.4 ,100.5 ,102.1 ,100.0 ,,,,,,,,
平成18年度平均,2006,,104.9 ,102.5 ,115.5 ,122.2 ,106.5 ,107.0 ,104.2 ,110.6 ,101.6 ,99.5 ,99.4 ,99.6 ,96.2 ,101.1 ,108.6 ,100.9 ,,,,,,,,
平成19年度平均,2007,,108.6 ,104.9 ,124.9 ,139.4 ,110.9 ,111.1 ,107.2 ,119.3 ,104.3 ,99.8 ,98.6 ,100.3 ,93.3 ,103.3 ,114.6 ,101.4 ,,,,,,,,
平成20年５月,2008,5,114.6 ,108.9 ,139.2 ,177.3 ,116.3 ,115.1 ,113.5 ,133.5 ,107.1 ,100.3 ,97.9 ,101.4 ,91.5 ,105.7 ,124.3 ,102.9 ,,,,,,,,
平成20年６月,2008,6,117.3 ,109.9 ,149.3 ,195.8 ,118.1 ,116.6 ,114.8 ,139.7 ,107.5 ,100.9 ,98.0 ,102.4 ,91.4 ,107.1 ,128.4 ,103.4 ,,,,,,,,
平成20年７月,2008,7,120.0 ,112.4 ,153.3 ,203.4 ,121.8 ,119.3 ,116.5 ,152.3 ,108.9 ,101.6 ,98.5 ,103.1 ,91.1 ,108.2 ,132.6 ,104.2 ,,,,,,,,
平成20年８月,2008,8,120.8 ,112.5 ,156.8 ,209.0 ,122.2 ,119.6 ,117.6 ,153.1 ,109.3 ,101.7 ,98.6 ,103.2 ,91.2 ,108.4 ,133.7 ,104.6 ,,,,,,,,
平成20年９月,2008,9,118.3 ,111.8 ,146.4 ,189.4 ,120.7 ,118.3 ,117.4 ,147.9 ,109.5 ,101.3 ,98.5 ,102.6 ,90.9 ,107.7 ,129.8 ,104.5 ,,,,,,,,
平成20年10月,2008,10,113.4 ,109.5 ,130.0 ,161.9 ,116.5 ,114.7 ,116.4 ,131.7 ,110.4 ,99.9 ,98.1 ,100.8 ,90.2 ,105.4 ,122.5 ,104.0 ,,,,,,,,
平成20年11月,2008,11,108.7 ,107.5 ,113.9 ,134.3 ,112.8 ,111.5 ,115.0 ,120.0 ,110.5 ,98.5 ,97.7 ,98.9 ,90.1 ,102.7 ,115.7 ,103.3 ,,,,,,,,
平成20年12月,2008,12,105.1 ,106.3 ,100.0 ,112.5 ,110.1 ,109.3 ,113.3 ,111.2 ,109.8 ,97.3 ,97.2 ,97.4 ,89.7 ,100.8 ,110.4 ,102.4 ,,,,,,,,
平成21年１月,2009,1,103.0 ,104.7 ,95.4 ,104.6 ,107.7 ,106.4 ,111.6 ,110.5 ,108.3 ,96.7 ,96.8 ,96.6 ,89.4 ,99.8 ,107.3 ,101.6 ,,,,,,,,
平成21年２月,2009,2,103.0 ,104.3 ,97.5 ,107.6 ,107.2 ,106.0 ,110.4 ,109.6 ,108.0 ,96.8 ,96.6 ,96.8 ,89.4 ,100.0 ,107.2 ,101.1 ,,,,,,,,
平成21年３月,2009,3,103.4 ,104.0 ,100.9 ,110.4 ,107.4 ,106.4 ,110.1 ,109.6 ,107.9 ,97.0 ,96.8 ,97.1 ,89.4 ,100.4 ,107.8 ,101.1 ,,,,,,,,
平成21年４月,2009,4,103.1,103.4,101.7,112.3,106.5,105.9,109.1,106.9,106.9,97,96.8,97.2,88.9,100.8,107.2,100.8,,,,,,,,
平成21年５月,2009,5,102.4,103,99.5,109.5,105.5,105.3,108.6,102.5,106.8,96.9,96.5,97.1,88.7,100.8,106.1,100.4,,,,,,,,
対前月比(%),,,-0.7,-0.4,-2.2,-2.5,-0.9,-0.6,-0.5,-4.1,-0.1,-0.1,-0.3,-0.1,-0.2,0,-1,-0.4,,,,,,,,
対前年同月比(%),,,-10.6,-5.4,-28.5,-38.2,-9.3,-8.5,-4.3,-23.2,-0.3,-3.4,-1.4,-4.2,-3.1,-4.6,-14.6,-2.4,,,,,,,,
,,,,,,,,,,, ,,,,,,,,,,,,,,,
東京の物価／平成21年6月,,,,,,,,,,,,,,,,,,,,,,,,,,
付属資料３　需要段階別・用途別指数,,,,,,,,,,,,,,,,,,,,,,,,,,
２００５年＝１００／（平成１７年平均＝１００）,,,,,,,,,,,,,,,,,,,,,,,
注) 投資財：(3)＋(4)＋素原材料内建設用材料 ,,,,,,,,,,,,,,,,,,,,,,,,,,
資料　日本銀行調査統計局,,,,,,,,,,,,,,,,,,,,,,,,,,
