国(地域)/年月,西暦（年）,月,日本/国内企業物価指数,アメリカ合衆国/(季節調整済)/生産者物価指数/(完成財総合),カナダ/工業製品価格指数,韓国/生産者物価指数,オーストラリア/製造業製品価格指数,ユーロエリア/生産者物価指数,ユーロエリア/ドイツ/(季節調整済)/工業生産者物価指数,ユーロエリア/フランス/生産者価格指数/（中間財）,ユーロエリア/イタリア/(季節調整済)/工業品生産者価格指数,イギリス/生産者価格指数/(工業品),ロシア/生産者物価指数/(工業部門)
前年比(%)/2002年平均,2002,,-2,-1.3,0.1,-0.3,0.2,-0.1,-11.6,-,0.2,0,17.7
前年比(%)/2003年平均,2003,,-0.8,3.2,-1.4,2.2,0.5,1.4,1.7,-,1.6,1,12.5
前年比(%)/2004年平均,2004,,1.3,3.6,3.2,6,4,2.3,1.6,-,2.7,1.4,28.8
前年比(%)/2005年平均,2005,,1.7,4.9,1.5,2.2,6,4.1,4.4,2.5,4,1.8,13.4
前年比(%)/2006年平均,2006,,2.2,3,2.4,0.9,7.9,5.1,5.4,4.6,5.6,2.2,10.4
前年比(%)/2007年平均,2007,,1.8,3.9,1.6,1.4,2.3,2.7,1.3,4.8,3.4,2.5,12.2
前年比(%)/2008年平均,2008,,4.6,6.3,4.4,8.6,1.7,5.9,5.4,4.2,6,7.3,...
前年同月比(%)/2008年２月,2008,2,3.6,6.5,-0.4,5.1,-,5.3,3.2,4.1,5.9,5.7,0.7
前年同月比(%)/2008年３月,2008,3,3.9,6.7,0,6,6.9,5.6,3.9,4.2,6.4,6.2,0.7
前年同月比(%)/2008年４月,2008,4,4.1,6.4,1.4,7.6,-,6,4.7,3.9,6.3,7.4,4.5
前年同月比(%)/2008年５月,2008,5,4.9,7.3,1,9,-,6.8,5.3,4.1,7.5,9.1,3.5
前年同月比(%)/2008年６月,2008,6,5.8,9.1,6,10.5,8.7,7.7,6.2,4.6,8.2,9.8,4.9
前年同月比(%)/2008年７月,2008,7,7.5,9.9,7.6,12.5,-,8.9,8.2,5.6,8.7,10,5.4
前年同月比(%)/2008年８月,2008,8,7.6,9.7,8.7,12.3,-,8.2,7.7,5.5,8.4,9.1,0.4
前年同月比(%)/2008年９月,2008,9,7,8.8,2,11.3,10.9,7.6,7.9,5.5,7.3,8.5,-5
前年同月比(%)/2008年10月,2008,10,4.5,5.2,9.7,10.7,-,5.9,7.3,4.4,5.1,6.7,-6.6
前年同月比(%)/2008年11月,2008,11,2.4,0.4,6,7.8,-,2.8,4.7,2.8,2.1,5,-8.4
前年同月比(%)/2008年12月,2008,12,0.9,-0.9,2.4,5.6,6.7,1.1,4,1.9,0.6,4.6,-7.6
前年同月比(%)/2009年１月,2009,1,-0.9,-1,1.4,4.7,-,-0.7,2,-0.9,...,3.5,-1.8
前年同月比(%)/2009年２月,2009,2,-1.8,-1.3,1.6,4.4,-,-1.8,0.9,-2.6,...,3,2.9
前年同月比(%)/2009年３月,2009,3,-2.5,-3.5,...,...,...,...,...,...,...,2,...
前年同月比(%)/2009年４月,2009,4,-3.8,...,...,...,-,...,...,...,...,...,...
,,,,,,,,,,,,,
東京の物価／平成21年6月,,,,,,,,,,,,,
付属資料４ 主要国（地域）の企業物価指数及び生産者価格指数（変化率）,,,,,,,,,,,,,
注．アメリカ合衆国、ドイツ、イタリア、ロシアの数値は前月比,,,,,,,,,,,,,
資料　総務省統計局「総合統計データ月報」,,,,,,,,,,,,,
