総平均・大類別/類別/品目数/ウエイト,西暦（年）,月,国内需要財,国内需要財/国内品,国内需要財/輸入品,素材原料(1),中間財(2),中間財(2)/製品原材料,中間財(2)/建設用材料(3),中間財(2)/燃料動力,中間財(2)/その他中間財,最終財,最終財/資本財(4),最終財/消費財,最終財/消費財/耐久消費財,最終財/消費財/非耐久消費財,(参考)生産財(1)+(2),(参考)投資財 注),,,,,,,,
品目数,,,1264,944,320,83,640,434,111,19,76,541,155,386,80,306,723,269,,,,,,,,
ウエイト,,,1000,813.03,186.97,78.589,517.13,337.673,61.336,61.694,56.427,404.281,131.235,273.046,82.8,190.246,595.719,193.643,,,,,,,,
平成17年平均,2005,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,,,,,,,
平成18年平均,2006,,104.4,102.2,113.9,121.3,105.5,105.7,103,110.8,101.3,99.7,99.4,99.8,97.1,101,107.5,100.6,,,,,,,,
平成19年平均,2007,,107.4,104,122.4,132.2,109.7,110.4,106.7,115,103.4,99.6,98.9,100,94.1,102.6,112.7,101.4,,,,,,,,
平成20年平均,2008,,113.4,108.8,133.2,165.4,115.9,114.5,113.4,133,108.1,100,98.1,100.9,91.2,105.2,122.4,103,,,,,,,,
平成16年度平均,2004,,97.4,98.8,90.3,84.1,97.2,97.3,97.8,93.2,99.4,100.4,101.2,99.9,101.8,99.1,95.4,100,,,,,,,,
平成17年度平均,2005,,101.3,100.5,104.5,107.3,101.3,101.2,100.6,103.8,100.4,100,99.8,100.2,99.4,100.5,102.1,100,,,,,,,,
平成18年度平均,2006,,104.9,102.5,115.5,122.2,106.5,107,104.2,110.6,101.6,99.5,99.4,99.6,96.2,101.1,108.6,100.9,,,,,,,,
平成19年度平均,2007,,108.6,104.9,124.9,139.4,110.9,111.1,107.2,119.3,104.3,99.8,98.6,100.3,93.3,103.3,114.6,101.4,,,,,,,,
平成20年７月,2008,7,120,112.4,153.3,203.4,121.8,119.3,116.5,152.3,108.9,101.5,98.4,103,91.1,108.2,132.6,104.2,,,,,,,,
平成20年８月,2008,8,120.7,112.5,156.7,209,122.2,119.6,117.6,153.1,109.3,101.7,98.5,103.2,91.2,108.4,133.7,104.6,,,,,,,,
平成20年９月,2008,9,118.3,111.8,146.4,189.4,120.7,118.3,117.4,147.9,109.5,101.2,98.4,102.6,90.9,107.7,129.8,104.5,,,,,,,,
平成20年10月,2008,10,113.4,109.5,130,161.9,116.5,114.7,116.4,131.7,110.4,99.9,98,100.8,90.2,105.4,122.5,103.9,,,,,,,,
平成20年11月,2008,11,108.7,107.5,113.9,134.3,112.8,111.5,115,120,110.5,98.5,97.7,98.8,90,102.7,115.7,103.3,,,,,,,,
平成20年12月,2008,12,105.1,106.3,100,112.5,110.1,109.3,113.3,111.2,109.8,97.3,97.1,97.4,89.6,100.8,110.4,102.3,,,,,,,,
平成21年１月,2009,1,103,104.7,95.4,104.6,107.7,106.4,111.6,110.5,108.3,96.6,96.7,96.6,89.3,99.8,107.3,101.5,,,,,,,,
平成21年２月,2009,2,103,104.2,97.5,107.6,107.2,106,110.4,109.6,108,96.7,96.6,96.8,89.3,100,107.2,101,,,,,,,,
平成21年３月,2009,3,103.4,104,100.9,110.4,107.4,106.4,110.1,109.6,107.9,97,96.8,97.1,89.4,100.4,107.8,101.1,,,,,,,,
平成21年４月,2009,4,103,103.4,101.4,111.3,106.5,105.9,109.1,106.9,106.9,97,96.7,97.1,88.8,100.8,107.1,100.7,,,,,,,,
平成21年５月,2009,5,102.1,102.9,98.7,108.5,105.2,104.9,108.4,102.5,106.8,96.9,96.4,97.1,88.6,100.8,105.7,100.3,,,,,,,,
平成21年６月,2009,6,102.2,102.5,101.1,113,104.8,104.4,107.9,101.8,106.9,96.9,96.4,97.1,88.5,100.9,105.9,100.1,,,,,,,,
平成21年７月,2009,7,102.8,102.9,102.2,117.8,105.3,104.4,107.6,106.9,106.3,96.7,96.1,96.9,88.1,100.8,107,99.9,,,,,,,,
対前月比(%),,,0.6,0.4,1.1,4.2,0.5,0,-0.3,5,-0.6,-0.2,-0.3,-0.2,-0.5,-0.1,1,-0.2,,,,,,,,
対前年同月比(%),,,-14.3,-8.5,-33.3,-42.1,-13.5,-12.5,-7.6,-29.8,-2.4,-4.7,-2.3,-5.9,-3.3,-6.8,-19.3,-4.1,,,,,,,,
,,,,,,,,,,, ,,,,,,,,,,,,,,,
東京の物価／平成21年8月,,,,,,,,,,,,,,,,,,,,,,,,,,
付属資料３　需要段階別・用途別指数,,,,,,,,,,,,,,,,,,,,,,,,,,
２００５年＝１００／（平成１７年平均＝１００）,,,,,,,,,,,,,,,,,,,,,
注) 投資財：(3)＋(4)＋素原材料内建設用材料 ,,,,,,,,,,,,,,,,,,,,,,,,,,
資料　日本銀行調査統計局,,,,,,,,,,,,,,,,,,,,,,,,,,
