分類/品目/銘柄/単位,2008年11月,2009年9月,2009年10月,2009年11月,銘柄改正等
（穀類）/うるち米/国内産、精米、単一原料米、コシヒカリ(5kg入り）/1袋(円),2641,2549,2533,2549,平成21年11月から基本銘柄改正
（穀類）/うるち米/国内産、精米、単一原料米、コシヒカリを除く(5kg入り）/1袋(円),2330,2218,2192,2212,平成21年11月から基本銘柄改正
（穀類）/うるち米/国内産、精米、複数原料米(5kg入り）/1袋(円),1861,1835,1793,1768,
（穀類）/もち米/国内産、精米、複数原料米(1～2kg入り）/1kg(円),589,605,620,601,
（穀類）/食パン/普通品/1kg(円),487,450,452,445,
（穀類）/あんパン/あずきあん入り、丸型、普通品/100g(円),95,92,94,94,
（穀類）/カレーパン/揚げパン、普通品/100g(円),109,107,106,105,
（穀類）/ゆでうどん/1食入り（200～250g入り）、普通品/1袋(円),39,40,39,39,
（穀類）/干しうどん/袋入り（250g～300g入り）、普通品/100g(円),71,70,70,69,
（穀類）/スパゲッティ/袋入り（300g入り）、JAS規格品/1袋(円),203,187,182,182,
（穀類）/即席めん/即席カップめん、中華タイプ、「カップヌードル(77g入り)」/1個(円),144,146,146,143,
（穀類）/生中華めん/普通品、2食入り（220～260g入り）/1袋(円),113,113,113,110,
（穀類）/小麦粉/薄力粉、袋入り（1kg入り）「日清フラワーチャック付」/1袋(円),227,229,230,228,
（穀類）/もち/包装生もち、袋入り（1kg入り）、普通品/1袋(円),892,951,871,877,
（魚介類）/まぐろ/めばち又はきはだ、刺身用、さく、赤身/100g(円),421,389,386,396,
（魚介類）/あじ/まあじ、丸（長さ約15cm以上）/100g(円),110,111,112,95,
（魚介類）/いわし/まいわし、丸（長さ約12cm以上）/100g(円),115,101,119,83,
（魚介類）/かつお/切り身（刺身用）/100g(円),        -,245,241,        -,
（魚介類）/かれい/まがれい、あかがれい、むしがれい又はまこがれい、丸（長さ約20cm以上）/100g(円),179,193,192,181,
（魚介類）/さけ/トラウトサーモン､ぎんざけ､アトランティックサーモン､べにざけ､又はキングサーモン､切り身/100g(円),230,213,212,216,
（魚介類）/さば/まさば又はごまさば、切り身/100g(円),127,101,104,106,
（魚介類）/さんま/丸（長さ約25cm以上）/100g(円),71,72,68,67,
（魚介類）/たい/まだい、刺身用、さく/100g(円),616,576,577,548,
（魚介類）/ぶり/切り身/100g(円),281,254,247,243,
（魚介類）/いか/するめいか/100g(円),77,76,73,64,
（魚介類）/たこ/まだこ（ゆでもの）/100g(円),282,247,248,239,
（魚介類）/えび/輸入品、冷凍（解凍含む）、パック包装[長さ]無頭8～10cm/100g(円),259,246,239,233,
（魚介類）/あさり/殻付き/100g(円),131,121,120,118,
（魚介類）/かき/まがき、むき身/100g(円),327,        -,317,305,
（魚介類）/ほたて貝/養殖もの、むき身（ゆでもの）/100g(円),211,199,202,190,
（魚介類）/塩さけ/ぎんざけ、切り身/100g(円),165,163,159,159,
（魚介類）/たらこ/並/100g(円),566,487,474,466,
（魚介類）/しらす干し/並/100g(円),474,433,411,414,
（魚介類）/干しあじ/まあじ、開き、並/100g(円),180,172,163,170,
（魚介類）/丸干しいわし/まいわし（長さ約12cm以上）、並/100g(円),119,122,118,116,
（魚介類）/煮干し/かたくちいわし、並/100g(円),255,255,231,222,平成21年10月から基本銘柄改正
（魚介類）/ししゃも/子持ちししゃも、カラフトシシャモ、パック入り（8～12匹入り/100g(円),186,169,168,162,
（魚介類）/さつま揚げ/並/100g(円),131,124,124,124,
（魚介類）/ちくわ/焼ちくわ（冷凍ものを除く）、並/100g(円),141,137,142,139,
（魚介類）/かまぼこ/蒸かまぼこ、板付き、100g～160g、普通品/100g(円),178,178,176,177,
（魚介類）/かつお節/かつおかれぶし削りぶし、パック入り（3g×10袋入り）、普通品/1パック(円),281,271,281,280,平成21年10月から基本銘柄改正
（魚介類）/塩辛/いかの塩辛、並/100g(円),201,196,200,200,
（魚介類）/魚みそ漬/さわら又はさけ、並/100g(円),237,229,228,238,
（魚介類）/あさりつくだ煮/並/100g(円),443,456,457,445,
（魚介類）/まぐろ缶詰/油漬、きはだまぐろ、フレーク、内容量80g入り3缶パック又は4缶パック/1缶(円),159,159,157,121,平成21年11月から基本銘柄改正
（肉類）/牛肉/国産品、ロース/100g(円),892,875,827,841,
（肉類）/牛肉/肩肉/100g(円),        -,        -,        -,        -,
