分類/品目/銘柄/単位,2008年6月,2009年4月,2009年5月,2009年6月,銘柄改正等
（穀類）/うるち米/国内産、精米、単一品種、コシヒカリ(5kg入り）/1袋(円),2607,2589,2575,2549,
（穀類）/うるち米/国内産、精米、単一品種、コシヒカリを除く(5kg入り）/1袋(円),2255,2261,2251,2238,
（穀類）/うるち米/国内産、精米、複数原料米(5kg入り）/1袋(円),1823,1808,1811,1803,
（穀類）/もち米/国内産、精米、複数原料米(1～2kg入り）/1kg(円),589,620,608,613,
（穀類）/食パン/普通品/1kg(円),498,489,459,456,
（穀類）/あんパン/あずきあん入り、丸型、普通品/100g(円),92,97,97,97,
（穀類）/カレーパン/揚げパン、普通品/100g(円),108,110,110,110,
（穀類）/ゆでうどん/1食入り（200～250g入り）、普通品/1袋(円),35,39,40,39,
（穀類）/干しうどん/袋入り（250g～300g入り）、普通品/100g(円),533,69,69,69,平成20年11月から基本銘柄改正
（穀類）/スパゲッティ/袋入り（300g入り）、JAS規格品/1袋(円),200,192,190,191,
（穀類）/即席めん/即席カップめん、中華タイプ、「カップヌードル(77g入り)」/1個(円),145,146,147,147,
（穀類）/生中華めん/普通品、2食入り（220～260g入り）/1袋(円),115,114,113,114,
（穀類）/小麦粉/薄力粉、袋入り（1kg入り）「日清フラワーチャック付」/1袋(円),219,234,236,234,平成20年11月から基本銘柄改正
（穀類）/もち/包装生もち、袋入り（1kg入り）、普通品/1袋(円),1085,938,975,1015,平成20年11月から基本銘柄改正
（魚介類）/まぐろ/めばち又はきはだ、刺身用、さく、赤身/100g(円),398,383,388,383,
（魚介類）/あじ/まあじ、丸（長さ約15cm以上）/100g(円),114,117,111,112,
（魚介類）/いわし/まいわし、丸（長さ約12cm以上）/100g(円),116,106,110,88,
（魚介類）/かつお/切り身（刺身用）/100g(円),213,278,243,238,
（魚介類）/かれい/まがれい、あかがれい、むしがれい又はまこがれい、丸（長さ約20cm以上）/100g(円),169,161,157,159,
（魚介類）/さけ/トラウトサーモン､ぎんざけ､アトランティックサーモン､べにざけ､又はキングサーモン､切り身/100g(円),226,220,214,205,
（魚介類）/さば/まさば又はごまさば、切り身/100g(円),131,123,117,109,平成20年11月から基本銘柄改正
（魚介類）/さんま/丸（長さ約25cm以上）/100g(円),69,64,61,62,
（魚介類）/たい/まだい、刺身用、さく/100g(円),602,571,556,580,
