年月,西暦（年）,月,総合,財,財／生鮮食品を除く財,財／農水畜産物,財／農水畜産物／生鮮商品,財／農水畜産物／他の農水畜産物,財／農水畜産物／うち米類,財／工業製品,財／工業製品／大企業性製品,財／工業製品／中小企業性製品,財／工業製品／食料工業製品,財／工業製品／繊維製品,財／工業製品／石油製品,財／工業製品／他の工業製品,財／電気・都市ガス・水道,財／出版物,サービス,サービス/持家の帰属家賃を除くサービス,サービス/公共サービス,サービス/一般サービス,サービス／一般サービス／外食,サービス／一般サービス／民営家賃,サービス／一般サービス／持家の帰属家賃,サービス／一般サービス／他のサービス,耐久消費財,半耐久消費財,非耐久消費財,公共料金
前年（度）比（％）／平成17年平均,2005,,-0.5,-1,-0.7,-3.8,-2.3,-13,-13.2,-0.3,-0.8,0.1,0,0,8.7,-1.7,-2,0.4,-0.1,-0.3,-1.1,0.2,0.2,-0.7,0.2,0.3,-3.4,-0.1,-1.1,-1.4
前年（度）比（％）／平成18年平均,2006,,0.1,0.3,-0.1,2.4,2.9,-1.9,-1.9,-0.5,-1.4,0.4,-0.5,0.1,9.4,-1.7,2.2,0.4,0.1,0.1,0,0.1,0.3,-0.2,0.1,0,-6.8,0.5,1,0.7
前年（度）比（％）／平成19年平均,2007,,0.1,-0.3,-0.4,0.5,0.9,-2.1,-2.2,-0.8,-1.1,-0.3,-0.1,-1.5,3.1,-1.7,1.2,0.4,0.2,0.2,0.3,0.2,0.4,-0.4,0.2,0.4,-6.2,-0.4,0.4,0.6
前年（度）比（％）／平成20年平均,2008,,1,1.5,1.8,0.2,0.5,-2.3,-2.4,1.4,0.8,2.2,3.1,-0.4,12.9,-0.8,4.1,0.1,0.6,0.7,0.1,0.7,1.9,0,0.3,0.8,-5.5,0.2,2.6,1.2
前年（度）比（％）／平成17年度平均,2005,,-0.4,-0.9,-0.4,-3.9,-3.3,-8.3,-8.5,-0.2,-0.7,0.1,-0.1,0.1,8.9,-1.5,-0.5,0.4,-0.1,-0.1,-0.6,0.1,0,-0.7,0.2,0.3,-3.3,0.3,-0.9,-0.5
前年（度）比（％）／平成18年度平均,2006,,0.3,0.3,-0.1,2.5,3.1,-1.6,-1.5,-0.5,-1.2,0.5,-0.3,-0.2,6.7,-1.3,1.8,0.4,0.1,0.1,-0.1,0.3,0.4,-0.2,0.1,0.3,-6.2,0.4,1.1,0.6
前年（度）比（％）／平成19年度平均,2007,,0.1,-0.1,-0.1,0.8,1.2,-3,-3.2,-0.5,-0.7,-0.4,0.1,-1.4,7.5,-1.8,1.2,0.3,0.3,0.3,0.4,0.2,0.5,-0.4,0.2,0.4,-6.3,-0.5,0.7,0.7
前年（度）比（％）／平成20年度平均,2008,,1,1.6,1.8,-0.3,-0.1,-1.1,-1.2,1.3,0,2.7,3.8,-0.6,1.4,-0.7,6.1,0.3,0.5,0.7,0,0.7,2.2,0.1,0.3,0.7,-5.2,0.1,2.6,1.6
月別指数／平成20年8月,2008,8,101.6,101.7,101.7,101.9,102.9,94.2,94,100.5,99.5,101.6,103.5,94.3,148,95.4,108.9,101,101.5,101.9,101,101.7,103,99.4,100.7,102.8,81.7,97.7,105,103.3
月別指数／平成20年9月,2008,9,101.9,102.8,102.7,103.3,104.5,93.9,93.7,101.8,99.3,104.6,103.8,101.4,141.7,96,108.9,100.9,101.2,101.4,100.3,101.5,103.3,99.4,100.8,102.1,81.7,102.6,105.3,102.8
月別指数／平成20年10月,2008,10,101.8,102.7,102.6,103.2,104.4,94.7,94.6,101.5,98.7,104.7,104,101.8,130.4,95.9,109.7,101,101.2,101.4,100.3,101.5,103.4,99.4,100.8,102.1,81.6,103,105.1,103
月別指数／平成20年11月,2008,11,101.4,101.9,102.1,101.4,102.2,95.4,95.3,100.7,96.9,105.1,103.9,102.6,110.2,95.5,109.7,101,101,101.1,100.2,101.2,103.5,99.5,100.8,101.3,80.5,103.4,104,102.9
月別指数／平成20年12月,2008,12,101.3,101.6,101.5,102.6,103.6,94.9,94.9,100.1,95.8,104.9,103.7,101.9,98.4,95.4,109.7,101.1,101,101.3,100.4,101.2,103.6,99.4,100.5,101.5,80.5,102.9,103.8,103.1
月別指数／平成21年1月,2009,1,100.7,100.9,100.6,103,104.2,94.2,94.2,98.1,95.1,101.4,103.8,92.1,89.7,95,114.5,101.1,100.5,100.7,100.4,100.6,103.5,99.4,100.2,100.2,80.6,96.5,104.4,104.3
月別指数／平成21年2月,2009,2,100.4,100.4,100.4,100.7,101.6,93.9,93.8,97.8,95.2,100.8,103.5,91,93.5,94.8,114.5,101.4,100.4,100.6,100.2,100.5,103.5,99.2,100,100.1,79.9,95.7,103.9,104.2
月別指数／平成21年3月,2009,3,100.7,100.8,100.7,101.2,102.3,92.5,92.4,98.3,95.2,101.9,104.1,93.7,93.4,94.4,114.5,101.4,100.6,100.9,100.4,100.7,103.5,99.3,100.1,100.6,79.2,97.4,104.2,104.4
月別指数／平成21年4月,2009,4,100.7,101,100.9,101,102,93.3,93.1,98.7,94.8,103.2,103.9,97.5,96.1,93.8,113.7,101.7,100.5,100.7,100.1,100.6,103.3,99.2,100.1,100.6,78.1,99.9,103.9,103.9
月別指数／平成21年5月,2009,5,100.5,100.3,100,101.8,103,92.8,92.7,98.8,94.9,103.3,103.8,98.1,96.2,93.8,106.9,101.5,100.6,100.8,100.2,100.7,103.6,99.1,100.1,100.6,77.8,100.3,103,102.2
月別指数／平成21年6月,2009,6,100.1,99.5,99.3,100.3,101.4,92.3,92.1,98.4,94.7,102.7,103.4,97.6,99.5,93,104.5,101.6,100.5,100.7,100.1,100.6,103.5,99.1,100.1,100.5,76.9,99.8,102.1,101.5
月別指数／平成21年7月,2009,7,99.7,98.4,98.5,97.9,98.5,92.7,92.6,97.7,94.8,101,103.3,93.1,102.9,92.8,102.5,101.6,100.6,100.7,100.2,100.6,103.4,99.1,100.2,100.5,75.9,96.8,101.4,101.1
月別指数／平成21年8月,2009,8,100,98.7,97.9,102.7,104.1,92.1,92,97.1,94.3,100.3,102.7,92.1,103.5,92.4,101.4,101.7,100.9,101.3,100.7,100.9,103.4,99.1,100.1,101.5,75.7,96,102,101.1
前月比（％）／平成20年8月,2008,8,0.1,-0.3,-0.2,-0.6,-0.8,0.3,0.4,-0.2,-0.3,-0.2,0,-1.5,0.7,-0.1,0,0.1,0.4,0.6,0.4,0.5,0,0,0,1.2,-0.6,-0.9,-0.1,0.3
前月比（％）／平成20年9月,2008,9,0.3,1.1,1,1.4,1.6,-0.3,-0.3,1.3,-0.2,3,0.3,7.5,-4.3,0.6,0,-0.1,-0.3,-0.5,-0.7,-0.2,0.3,0,0.1,-0.7,0,5,0.3,-0.5
前月比（％）／平成20年10月,2008,10,-0.1,-0.1,-0.1,-0.1,-0.1,0.9,1,-0.3,-0.6,0.1,0.2,0.4,-8,-0.1,0.7,0.1,0,0,0,0,0.1,0,0,0,-0.1,0.4,-0.2,0.2
前月比（％）／平成20年11月,2008,11,-0.4,-0.8,-0.5,-1.7,-2.1,0.7,0.7,-0.8,-1.8,0.4,-0.1,0.8,-15.5,-0.4,0,0,-0.2,-0.3,-0.1,-0.3,0.1,0.1,0,-0.8,-1.3,0.4,-1,-0.1
前月比（％）／平成20年12月,2008,12,-0.1,-0.3,-0.6,1.2,1.4,-0.5,-0.4,-0.6,-1.1,-0.2,-0.2,-0.7,-10.7,-0.1,0,0.1,0,0.2,0.2,0,0.1,-0.1,-0.3,0.2,0,-0.5,-0.2,0.2
前月比（％）／平成21年1月,2009,1,-0.6,-0.7,-0.9,0.4,0.6,-0.7,-0.7,-2,-0.7,-3.3,0.1,-9.6,-8.8,-0.4,4.4,0,-0.5,-0.6,0,-0.6,-0.1,0,-0.3,-1.3,0.1,-6.2,0.6,1.2
前月比（％）／平成21年2月,2009,2,-0.3,-0.5,-0.2,-2.2,-2.5,-0.3,-0.4,-0.3,0.1,-0.6,-0.3,-1.2,4.2,-0.2,0,0.3,-0.1,-0.1,-0.2,-0.1,0,-0.2,-0.2,-0.1,-0.9,-0.8,-0.5,-0.1
前月比（％）／平成21年3月,2009,3,0.3,0.4,0.3,0.5,0.7,-1.5,-1.5,0.5,0,1.1,0.6,3,-0.1,-0.4,0,0,0.2,0.3,0.2,0.2,0,0.1,0.1,0.5,-0.9,1.8,0.3,0.2
前月比（％）／平成21年4月,2009,4,0,0.2,0.2,-0.2,-0.3,0.9,0.8,0.4,-0.4,1.3,-0.2,4.1,2.9,-0.6,-0.7,0.3,-0.1,-0.2,-0.3,-0.1,-0.2,-0.1,0,0,-1.4,2.6,-0.3,-0.5
前月比（％）／平成21年5月,2009,5,-0.2,-0.7,-0.9,0.8,1,-0.5,-0.4,0.1,0.1,0.1,-0.1,0.6,0.1,0,-6,-0.2,0.1,0.1,0.1,0.1,0.3,-0.1,0,0,-0.4,0.4,-0.9,-1.6
前月比（％）／平成21年6月,2009,6,-0.4,-0.8,-0.7,-1.5,-1.6,-0.5,-0.6,-0.4,-0.2,-0.6,-0.4,-0.5,3.4,-0.9,-2.2,0.1,-0.1,-0.1,-0.1,-0.1,-0.1,0,0,-0.1,-1.2,-0.5,-0.9,-0.7
前月比（％）／平成21年7月,2009,7,-0.4,-1.1,-0.8,-2.4,-2.9,0.4,0.5,-0.7,0.1,-1.7,-0.1,-4.6,3.4,-0.2,-1.9,0,0.1,0,0.1,0,-0.1,0,0.1,0,-1.3,-3,-0.7,-0.4
前月比（％）／平成21年8月,2009,8,0.3,0.3,-0.6,4.9,5.7,-0.6,-0.6,-0.6,-0.5,-0.7,-0.6,-1.1,0.6,-0.4,-1.1,0.1,0.3,0.6,0.5,0.3,0,0,-0.1,1,-0.3,-0.8,0.6,0
前月比寄与度,,,0.30 ,0.13 ,-0.23 ,0.32 ,0.33 ,-0.01 ,0.00 ,-0.17 ,-0.08 ,-0.09 ,-0.07 ,-0.05 ,0.01 ,-0.04 ,-0.05 ,0.00 ,0.18 ,0.24 ,0.07 ,0.14 ,0.00 ,0.00 ,-0.02 ,0.16 ,-0.01 ,-0.06 ,0.18 ,0.00 
前年同月比（％）／平成20年8月,2008,8,1.3,2.1,2.9,-2.4,-2.5,-1.9,-2.1,2.8,2.1,3.5,4.2,0.4,26.8,-0.8,5.8,0.1,0.6,0.7,0,0.9,2.2,0.2,0.5,0.8,-5.3,0.6,3.1,1.6
前年同月比（％）／平成20年9月,2008,9,1.4,2.4,3.2,-2.6,-2.8,-1.8,-1.9,3.1,2,4.4,4.6,1.3,22.6,0,5.8,0.2,0.7,0.9,0.1,0.9,2.5,0.1,0.4,1.2,-5.2,1.6,3.2,1.7
前年同月比（％）／平成20年10月,2008,10,1.2,2,2.7,-2.3,-2.4,-0.5,-0.5,2.4,1.2,3.9,4.7,0.2,11.6,-0.2,5.8,0.2,0.7,0.9,0.1,1,2.6,0.1,0.4,1.2,-5.3,1.1,2.9,1.6
前年同月比（％）／平成20年11月,2008,11,1.1,1.8,1.9,1.5,1.5,1.8,1.9,1.2,-0.9,3.5,4.6,-0.3,-9.3,-0.8,5.8,0.2,0.6,0.7,0,0.8,2.6,0.2,0.4,0.8,-5.6,0.5,2.9,1.5
前年同月比（％）／平成20年12月,2008,12,0.8,1.2,1.2,1.3,1.3,1,1.1,0.5,-2,3.2,4.1,-0.4,-22.1,-0.5,5.8,0.3,0.5,0.8,-0.1,0.7,2.7,0,0,0.9,-4.7,0.4,2.1,1.5
前年同月比（％）／平成21年1月,2009,1,0.5,0.9,1,-0.3,-0.4,1.5,1.7,-0.3,-2.8,2.3,3.8,-2.2,-28.3,-1,9.2,0.3,0.2,0.5,-0.2,0.4,2.5,0,-0.2,0.3,-4.3,-1.1,1.9,2.4
前年同月比（％）／平成21年2月,2009,2,0.5,1,1.2,-1.1,-1.3,0.9,1.1,-0.1,-2.7,2.9,3.3,-0.2,-24.6,-1,9.2,0.7,0.2,0.5,-0.1,0.3,2.2,-0.2,-0.4,0.4,-4.5,-0.1,1.7,2.5
前年同月比（％）／平成21年3月,2009,3,0.2,0.3,0.6,-2.5,-2.8,-0.8,-0.6,-0.6,-2.7,1.7,3.5,-2.4,-25,-1.7,9.2,0.7,0.2,0.4,-0.2,0.3,1.8,-0.1,-0.3,0.4,-5.9,-1.4,1.4,2.5
前年同月比（％）／平成21年4月,2009,4,-0.1,-0.1,0.2,-2.6,-3,0.4,0.4,-0.7,-2.7,1.4,2.2,-1.7,-12.8,-2.3,6.1,0.6,-0.2,-0.1,0,-0.2,1.1,-0.3,-0.4,-0.5,-6.9,-0.9,0.7,1.7
前年同月比（％）／平成21年5月,2009,5,-0.8,-1.5,-1.4,-2.2,-2.5,0.2,0.4,-1.7,-3.9,0.9,1.6,-2.1,-25.9,-2.2,0.2,0.5,-0.3,-0.1,-0.2,-0.3,1.3,-0.4,-0.7,-0.6,-6.9,-1,-1,-0.1
前年同月比（％）／平成21年6月,2009,6,-1.5,-2.9,-2.6,-4.7,-5.1,-1.2,-1.1,-2.8,-4.9,-0.3,0.1,-2.3,-28.8,-2.8,-2.1,0.6,-0.4,-0.3,-0.2,-0.5,1,-0.4,-0.7,-0.8,-7.1,-1.5,-2.8,-0.7
前年同月比（％）／平成21年7月,2009,7,-1.8,-3.5,-3.3,-4.5,-5,-1.3,-1.1,-3,-5,-0.8,-0.2,-2.7,-30,-2.8,-5.9,0.7,-0.5,-0.6,-0.4,-0.6,0.4,-0.3,-0.5,-1.1,-7.7,-1.8,-3.5,-1.8
前年同月比（％）／平成21年8月,2009,8,-1.6,-2.9,-3.7,0.8,1.2,-2.2,-2.1,-3.4,-5.2,-1.3,-0.8,-2.3,-30.1,-3.1,-6.9,0.7,-0.6,-0.6,-0.3,-0.8,0.4,-0.3,-0.6,-1.3,-7.3,-1.7,-2.9,-2.1
前年同月比寄与度,,,-1.60 ,-1.23 ,-1.41 ,0.05 ,0.07 ,-0.02 ,-0.02 ,-0.96 ,-0.78 ,-0.17 ,-0.10 ,-0.10 ,-0.44 ,-0.32 ,-0.36 ,0.01 ,-0.34 ,-0.23 ,-0.04 ,-0.36 ,0.02 ,-0.01 ,-0.11 ,-0.21 ,-0.21 ,-0.13 ,-0.91 ,-0.40 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
東京の物価／平成２１年８月,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
７．東京都区部消費者物価財・サービス分類指数,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
２００５年＝１００／(平成１７年＝１００),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
