年月,西暦（年）,月,総合,持家の帰属家賃を除く総合,食料,住居,持家の帰属家賃を除く住居,光熱・水道,家具・家事用品,被服及び履物,保健医療,交通・通信,教育,教養娯楽,諸雑費
前年(度)比(％)／平成20年平均,2008,,1.4,1.5,2.6,0.2,0.4,6,-0.3,0.5,-0.3,2,0.7,-0.5,0.4
前年(度)比(％)／平成15年度平均,2003,,-0.2,-0.2,-0.3,0,-0.5,0.1,-2.9,-1.6,4.4,-0.2,0.4,-1.5,0.2
前年(度)比(％)／平成16年度平均,2004,,-0.1,0,0.9,-0.3,-0.5,0.1,-3.2,0.2,-1.1,0,0.8,-1.2,0.6
前年(度)比(％)／平成17年度平均,2005,,-0.1,-0.3,-1.2,0.1,-0.3,1.8,-2.1,0.7,-0.3,0.6,0.7,-0.8,0.6
前年(度)比(％)／平成18年度平均,2006,,0.2,0.3,0.7,-0.1,0,2.7,-1.8,0.7,-0.5,0.2,0.7,-1.3,1.1
前年(度)比(％)／平成19年度平均,2007,,0.4,0.4,0.6,-0.1,0,1.7,-1.5,0.6,0.3,0.9,0.7,-1.1,0.6
前年(度)比(％)／平成20年度平均,2008,,1.1,1.3,3,0.1,0.5,5.5,0,0.2,-0.2,-0.2,0.7,-0.7,0.2
月別指数／平成20年3月,2008,3,101,101,102.1,99.9,100,108.1,95.8,99.4,99.6,102.4,101.7,96.2,101.9
月別指数／平成20年4月,2008,4,100.9,101.1,102.6,99.9,99.8,109.2,96,103.2,99.5,98.8,102.3,96.6,102
月別指数／平成20年5月,2008,5,101.7,102,103.3,99.9,99.9,109.6,96.1,103.8,99.5,102.7,102.3,96.9,101.9
月別指数／平成20年6月,2008,6,102.2,102.6,104,100,100.4,111.1,95.9,103.6,99.4,104.4,102.3,96.6,102.1
月別指数／平成20年7月,2008,7,102.4,102.9,103.8,100,100.5,113.6,96.2,99.6,99.4,105.9,102.3,97.1,102.1
月別指数／平成20年8月,2008,8,102.7,103.2,104.3,100,100.5,114.3,95.7,97.9,99.3,106.4,102.3,98.6,102.2
月別指数／平成20年9月,2008,9,102.7,103.2,104.5,100,100.6,113.8,96.1,104.3,99.5,104.6,102.2,97.4,102.2
月別指数／平成20年10月,2008,10,102.6,103.1,105,100,100.6,113.3,96.4,105.5,99.4,102.8,102.3,97.2,102.2
月別指数／平成20年11月,2008,11,101.7,102,104.3,100,100.6,110.9,96.3,106,99.2,99.4,102.3,96.2,102.2
月別指数／平成20年12月,2008,12,101.3,101.5,104.5,100,100.6,109,96.1,105.6,99.1,97.4,102.3,96.3,101.9
月別指数／平成21年1月,2009,1,100.7,100.9,104.9,99.9,100.6,110.5,96.2,97.1,99.8,96,102.3,94.7,101.9
月別指数／平成21年2月,2009,2,100.4,100.6,104,99.8,100.5,110.4,95.8,95.3,99.6,96.4,102.7,94.4,101.9
月別指数／平成21年3月,2009,3,100.7,100.9,104.3,99.8,100.5,109.8,95.2,98.9,99.7,96.9,102.5,95.1,101.7
前月比(％)／平成20年3月,2008,3,0.5,0.5,0.7,0,0.1,0.1,0.2,4.1,0,0.4,0,0.8,-0.1
前月比(％)／平成20年4月,2008,4,-0.1,0,0.5,0,0.2,10,0.2,3.8,-0.1,-3.5,0.6,0.4,0.1
前月比(％)／平成20年5月,2008,5,0.8,0.9,0.7,0,0,0.4,0.1,0.6,0,3.9,0,0.3,-0.1
前月比(％)／平成20年6月,2008,6,0.5,0.6,0.7,0.1,0.1,1.4,-0.2,-0.2,-0.1,1.7,0,-0.3,0.2
前月比(％)／平成20年7月,2008,7,0.2,0.3,-0.2,0,0.1,2.3,0.3,-3.9,0,1.4,0,0.5,0
前月比(％)／平成20年8月,2008,8,0.3,0.3,0.5,0,0,0.6,-0.5,-1.7,-0.1,0.5,0,1.5,0.1
前月比(％)／平成20年9月,2008,9,0,0,0.2,0,0.1,-0.4,0.4,6.5,0.2,-1.7,-0.1,-1.2,0
前月比(％)／平成20年10月,2008,10,-0.1,-0.1,0.5,0,0,-0.4,0.3,1.2,-0.1,-1.7,0.1,-0.2,0
前月比(％)／平成20年11月,2008,11,-0.9,-1.1,-0.7,0,0,-2.1,-0.1,0.5,-0.2,-3.3,0,-1,0
前月比(％)／平成20年12月,2008,12,-0.4,-0.5,0.2,0,0,-1.7,-0.2,-0.4,-0.1,-2,0,0.1,-0.3
前月比(％)／平成21年1月,2009,1,-0.6,-0.6,0.4,-0.1,0,1.4,0.1,-8,0.7,-1.4,0,-1.7,0
前月比(％)／平成21年2月,2009,2,-0.3,-0.3,-0.9,-0.1,-0.1,-0.1,-0.4,-1.9,-0.2,0.4,0.4,-0.3,0
前月比(％)／平成21年3月,2009,3,0.3,0.3,0.3,0,0,-0.5,-0.6,3.8,0.1,0.5,-0.2,0.7,-0.2
前年同月比(％)／平成20年3月,2008,3,1.2,1.3,1.6,0.1,0.1,4.2,-0.6,0.4,-0.2,3.5,0.7,-0.7,0.5
前年同月比(％)／平成20年4月,2008,4,0.8,1,2,0.1,0.4,5.5,-0.9,0.5,-0.5,-0.3,0.7,-0.6,0.4
前年同月比(％)／平成20年5月,2008,5,1.3,1.5,2.4,0.1,0.3,5.5,-0.6,0.4,-0.5,2.9,0.7,-0.8,0.3
前年同月比(％)／平成20年6月,2008,6,2,2.3,3.6,0.2,0.5,6.8,-0.4,0.5,-0.5,4.3,0.7,-0.6,0.6
前年同月比(％)／平成20年7月,2008,7,2.3,2.8,3.5,0.2,0.5,9.3,0.4,0.3,-0.3,5.2,0.7,-0.3,0.7
前年同月比(％)／平成20年8月,2008,8,2.1,2.5,3,0.2,0.6,9.7,0.2,0.3,-0.5,4.7,0.7,-0.4,0.4
前年同月比(％)／平成20年9月,2008,9,2.1,2.4,3,0.2,0.7,9.2,0.4,0.5,0.1,3.8,0.6,-0.3,0.5
前年同月比(％)／平成20年10月,2008,10,1.7,2.1,3.2,0.2,0.7,8,0.3,0.6,-0.1,1.7,0.7,-0.2,0.1
前年同月比(％)／平成20年11月,2008,11,1,1.2,3.7,0.2,0.6,4.8,0.2,0.5,-0.5,-2.3,0.7,-0.5,0.2
前年同月比(％)／平成20年12月,2008,12,0.4,0.4,3.6,0.1,0.6,1.8,0.2,0.5,-0.4,-5.1,0.7,-0.4,0
前年同月比(％)／平成21年1月,2009,1,0,0,3.3,0,0.6,2.3,0.4,-0.8,0.1,-6.3,0.7,-1.4,-0.1
前年同月比(％)／平成21年2月,2009,2,-0.1,0,2.6,-0.1,-0.1,2.2,0.2,-0.2,0,-5.5,1,-1.3,-0.1
前年同月比(％)／平成21年3月,2009,3,-0.3,-0.2,2.2,-0.1,0.4,1.6,-0.6,-0.5,0.1,-5.4,0.8,-1.1,-0.2
,,,,,,,,,,,,,,,
東京の物価／平成２１年４月,,,,,,,,,,,,,,,
１０．全国消費者物価１０大費目指数,,,,,,,,,,,,,,,
２００５年＝１００／(平成１７年＝１００),,,,,,,,,,,,,,,
