 4-(4)コンテナ取扱個数係留施設別表,,,,,,,,,,,,,,(単位：ＴＥＵ）
係留施設,合計,,外貿,,,,,,内貿,,,,,
,,,計,,輸出,,輸入,,計,,移出,,移入,
,実入,空,実入,空,実入,空,実入,空,実入,空,実入,空,実入,空
合計,"278,295","112,916","255,403","100,240","67,139","99,804","188,264",436,"22,892","12,676","12,183","10,771","10,709","1,905"
,86.6%,92.6%,86.7%,95.7%,80.8%,95.7%,88.9%,86.2%,86.2%,73.9%,95.4%,70.3%,77.6%,104.8%
,"1,951,812","784,849","1,798,480","685,947","490,175","678,943","1,308,305","7,004","153,332","98,902","81,933","86,434","71,399","12,468"
,94.1%,96.4%,94.1%,99.6%,91.9%,99.3%,94.9%,143.2%,94.8%,78.5%,108.5%,77.2%,82.9%,89.0%
品川岸壁,"20,876","13,291","20,876","12,072","4,290","11,922","16,586",150,-,"1,219",-,"1,219",-,-
,86.3%,81.7%,86.3%,95.2%,82.1%,94.9%,87.5%,127.1%,-,34.0%,-,34.9%,-,-
,"154,075","98,266","154,073","87,978","30,908","87,205","123,165",773,2,"10,288",1,"10,249",1,39
,92.1%,88.4%,92.3%,94.3%,86.7%,94.1%,93.8%,113.7%,0.6%,57.8%,-,58.6%,0.3%,12.8%
10号西岸壁,"4,303",642,-,-,-,-,-,-,"4,303",642,"2,707",-,"1,596",642
,101.8%,109.7%,-,-,-,-,-,-,101.8%,109.7%,103.1%,-,99.6%,109.7%
,"26,725","3,507",-,-,-,-,-,-,"26,725","3,507","16,233",32,"10,492","3,475"
,98.0%,65.8%,-,-,-,-,-,-,98.0%,65.8%,97.3%,82.1%,99.1%,65.6%
青海コンテナふ頭（公共）,"48,368","21,991","46,597","18,953","9,949","18,907","36,648",46,"1,771","3,038","1,552","2,972",219,66
,81.5%,81.9%,81.8%,88.3%,94.6%,88.8%,78.9%,27.4%,74.4%,56.5%,109.7%,56.3%,22.7%,66.7%
,"332,292","153,849","320,138","132,833","66,177","131,241","253,961","1,592","12,154","21,016","9,319","20,469","2,835",547
,89.9%,83.9%,89.8%,90.4%,92.0%,90.1%,89.3%,118.9%,92.7%,57.7%,126.8%,56.8%,49.2%,138.5%
青海コンテナふ頭(埠頭㈱),"15,567","7,405","15,451","6,625","3,126","6,623","12,325",2,116,780,116,780,-,-
,36.8%,31.8%,37.2%,30.1%,30.4%,30.1%,39.4%,9.5%,15.0%,62.5%,19.3%,62.5%,-,-
,"184,474","83,408","181,504","74,774","44,161","74,654","137,343",120,"2,970","8,634","2,970","8,634",-,-
,67.7%,57.9%,67.7%,54.9%,69.5%,54.9%,67.2%,39.1%,67.0%,112.8%,90.4%,112.8%,-,-
お台場ライナーふ頭,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,134,72,134,72,15,-,119,72,-,-,-,-,-,-
,17.1%,27.7%,17.1%,27.7%,-,-,15.2%,27.7%,-,-,-,-,-,-
大井コンテナふ頭,"144,261","44,387","134,911","40,269","42,944","40,051","91,967",218,"9,350","4,118","3,477","3,966","5,873",152
,85.1%,97.5%,85.1%,99.2%,79.3%,99.1%,88.1%,123.2%,84.8%,84.0%,106.5%,82.6%,75.7%,152.0%
,"1,035,854","328,542","974,244","284,308","313,306","279,989","660,938","4,319","61,610","44,234","24,114","43,161","37,496","1,073"
,94.5%,106.3%,94.4%,108.3%,91.7%,107.6%,95.7%,188.2%,95.5%,94.7%,135.4%,93.4%,80.3%,225.4%
その他,"44,920","25,200","37,568","22,321","6,830","22,301","30,738",20,"7,352","2,879","4,331","1,834","3,021","1,045"
,208.5%,267.2%,280.7%,279.7%,234.3%,279.5%,293.6%,"1,000.0%",90.1%,198.6%,89.2%,363.9%,91.5%,110.5%
,"218,258","117,205","168,387","105,982","35,608","105,854","132,779",128,"49,871","11,223","29,296","3,889","20,575","7,334"
,156.4%,191.3%,192.4%,215.2%,172.3%,215.0%,198.6%,"1,280.0%",95.8%,93.3%,96.4%,86.5%,95.0%,97.3%
,,,,,,,,,,,,,,
(注) 上段： 当月，　下段： １月以降累計，　各下段： 対前年比％,,,,,,,,,,,,,,
