 2-(4)入港船舶係留施設別表,,,,,,,,,,,,(単位：隻、総トン)
,合計,,,,外航船,,,,内航船,,,
係留施設,当月,,1月以降累計,,当月,,1月以降累計,,当月,,1月以降累計,
,隻数,総トン数,隻数,総トン数,隻数,総トン数,隻数,総トン数,隻数,総トン数,隻数,総トン数
合計,"1,724 ","14,358,544 ","12,184 ","98,394,559 ",443 ,"10,766,868 ","2,903 ","73,163,126 ","1,281 ","3,591,676 ","9,281 ","25,231,433 "
公共計,926 ,"5,365,957 ","6,460 ","36,345,446 ",166 ,"2,381,794 ","1,121 ","15,838,788 ",760 ,"2,984,163 ","5,339 ","20,506,658 "
ドルフィン,5 ,"2,981 ",34 ,"20,418 ",-,-,-,-,5 ,"2,981 ",34 ,"20,418 "
芝浦ふ頭,25 ,"63,180 ",198 ,"508,463 ",-,-,-,-,25 ,"63,180 ",198 ,"508,463 "
芝浦物揚場,28 ,"12,632 ",170 ,"77,952 ",-,-,-,-,28 ,"12,632 ",170 ,"77,952 "
日の出ふ頭,7 ,"2,245 ",50 ,"32,022 ",-,-,-,-,7 ,"2,245 ",50 ,"32,022 "
竹芝ふ頭,153 ,"415,555 ",898 ,"2,442,986 ",-,-,-,-,153 ,"415,555 ",898 ,"2,442,986 "
品川岸壁,145 ,"1,648,012 ","1,009 ","11,477,636 ",78 ,"790,229 ",527 ,"5,273,373 ",67 ,"857,783 ",482 ,"6,204,263 "
 品川コンテナ,79 ,"741,091 ",533 ,"4,984,107 ",74 ,"735,501 ",503 ,"4,945,008 ",5 ,"5,590 ",30 ,"39,099 "
 品川外貿,4 ,"54,728 ",24 ,"328,365 ",4 ,"54,728 ",24 ,"328,365 ",-,-,-,-
 品川内貿,62 ,"852,193 ",452 ,"6,165,164 ",-,-,-,-,62 ,"852,193 ",452 ,"6,165,164 "
晴海ふ頭,1 ,"1,598 ",14 ,"61,502 ",-,-,1 ,"22,472 ",1 ,"1,598 ",13 ,"39,030 "
月島ふ頭,14 ,"4,552 ",148 ,"44,898 ",-,-,-,-,14 ,"4,552 ",148 ,"44,898 "
漁業基地,2 ,"2,872 ",4 ,"5,744 ",-,-,-,-,2 ,"2,872 ",4 ,"5,744 "
