四半期,製造工業,最終需要財,投資財,資本財,建設財,消費財,耐久消費財,非耐久消費財,生産財,鉱工業用生産財,その他生産財
ウェイト,10000,5817.9,3622.2,3226.4,395.8,2195.7,896,1299.7,4182.1,2667.7,1514.4
2013-Q1,102.7,100.6,96.6,97.1,92.6,107.2,117.8,99.8,105.7,99.8,115.9
2013-Q2,97.3,91.1,81.5,80.3,91.0,106.8,116.2,100.4,106.1,99.1,118.3
2013-Q3,102.7,100.8,95.5,95.8,93.3,109.4,120.0,102.2,105.4,102.0,111.5
2013-Q4,106.6,103.9,92.4,91.4,100.9,122.8,146.5,106.5,110.4,108.0,114.5
2014-Q1,109.2,111.1,110.9,112.4,99.0,111.4,127.8,100.1,106.6,106.1,107.4
2014-Q2,95.9,90.2,81.7,80.5,91.7,104.2,102.3,105.5,103.8,103.0,105.3
2014-Q3,100.4,97.5,96.5,96.2,98.6,99.3,103.0,96.7,104.4,105.5,102.5
2014-Q4,100.1,95.3,90.4,88.3,107.7,103.4,113.1,96.7,106.8,107.2,106.0
2015-Q1,107.4,110.3,114.6,116.2,101.8,103.2,104.5,102.3,103.3,104.4,101.2
2015-Q2,94.5,92.3,89.7,88.2,101.4,96.7,93.1,99.3,97.5,95.2,101.6
2015-Q3,98.7,99.8,101.9,102.3,98.4,96.4,89.9,100.8,97.2,98.1,95.5
2015-Q4,99.4,97.6,93.9,93.3,98.4,103.7,112.5,97.6,102.0,102.3,101.6
2016-Q1,100.7,103.3,108.0,109.4,96.9,95.4,90.4,98.9,97.0,97.8,95.6
2016-Q2,89.9,85.8,82.0,81.1,88.8,92.0,81.8,99.1,95.6,95.0,96.7
2016-Q3,95.3,95.8,99.0,99.6,94.0,90.7,79.1,98.7,94.6,95.1,93.7
2016-Q4,95.7,93.9,95.3,94.5,101.3,91.6,87.5,94.5,98.2,99.4,96.2
2017-Q1,98.5,98.1,106.0,107.0,98.4,85.1,76.3,91.3,99.1,103.0,92.3
2017-Q2,88.8,83.1,82.3,80.9,94.7,84.2,70.7,93.5,96.9,98.6,93.9
2017-Q3,94.4,93.5,97.7,97.6,98.7,86.5,72.6,96.1,95.6,98.9,89.8
2017-Q4,97.3,97.0,98.3,97.4,104.9,94.9,88.4,99.4,97.7,102.5,89.5
2018-Q1,99.8,102.7,111.2,112.3,102.6,88.7,77.0,96.7,95.7,100.5,87.1
2018-Q2,90.8,87.9,87.4,85.8,100.2,88.7,78.0,96.2,94.9,99.3,87.2
2018-Q3,95.9,96.5,102.8,103.2,99.8,85.9,73.7,94.4,95.2,101.1,84.6
2018-Q4,98.0,96.8,97.2,95.6,110.7,96.1,76.9,109.3,99.7,105.1,90.2
2019-Q1,96.0,100.1,108.5,109.3,101.0,86.2,69.6,97.7,90.3,92.4,86.7
2019-Q2,90.2,90.2,89.9,89.0,97.7,90.7,77.3,99.8,90.2,92.5,86.3
2019-Q3,95.7,99.7,104.9,105.9,97.0,90.9,78.8,99.3,90.4,94.3,83.4
2019-Q4,93.2,95.4,95.9,95.9,96.4,94.4,84.3,101.3,90.3,96.7,79.1
2020-Q1,94.2,95.6,101.9,104.0,85.2,85.3,69.5,96.1,92.1,97.8,82.0
2020-Q2,70.9,69.6,71.9,71.0,79.0,65.9,44.5,80.7,72.7,70.5,76.6
2020-Q3,75.3,75.0,78.5,78.7,77.1,69.3,46.3,85.1,75.7,75.5,76.2
2020-Q4,84.1,84.5,89.0,89.8,83.3,77.0,57.2,90.6,83.8,85.2,81.1
2021-Q1,86.9,89.6,101.9,104.8,78.1,69.5,48.6,83.9,83.2,85.1,79.8
2021-Q2,85.8,86.5,94.7,96.8,77.6,73.0,60.8,81.5,84.8,87.6,79.8
2021-Q3,84.0,86.0,95.8,97.8,79.2,69.8,52.5,81.7,81.2,85.8,73.1
2021-Q4,88.4,92.5,103.3,105.0,89.9,74.6,61.6,83.6,82.8,86.8,75.7
2022-Q1,91.1,96.5,113.1,116.7,83.6,69.1,53.1,80.2,83.6,85.5,80.2
2022-Q2,85.1,87.0,97.5,100.1,76.1,69.6,51.0,82.4,82.5,83.1,81.4
2022-Q3,86.9,90.1,102.7,105.9,76.4,69.4,53.4,80.4,82.3,85.4,76.8
2022-Q4,89.8,93.5,105.8,108.2,85.6,73.3,57.6,84.1,84.6,87.4,79.6
2023-Q1,86.0,92.3,106.7,110.3,76.8,68.6,47.3,83.3,77.2,80.4,71.4
2023-Q2,79.8,81.0,86.1,87.2,77.0,72.5,52.7,86.2,78.2,82.5,70.7
2023-Q3,80.5,82.9,87.8,89.0,77.8,74.7,59.1,85.5,77.3,88.2,58.0
2023-Q4,84.6,87.7,95.5,97.1,82.7,74.8,55.3,88.3,80.3,91.1,61.3

東京都工業指数 四半期指数（平成２７年基準）平成２５年第１四半期～令和５年第４四半期,,,,,,,,,,,
生産者出荷指数（特殊分類別、原指数）,,,,,,,,,,,
（注）四半期指数は速報値で公表し、翌月に確報値に修正している。,,,,,,,,,,,
