年,製造工業,最終需要財,投資財,資本財,建設財,消費財,耐久消費財,非耐久消費財,生産財,鉱工業用生産財,その他生産財
ウェイト,10000,6633.3,3084.1,2101.7,982.4,3549.2,2267.8,1281.4,3366.7,3162.4,204.3
2013,99.8,95.4,78.5,74.7,86.8,110.0,107.0,115.2,108.4,109.5,92.6
2014,98.2,96.9,99.5,94.5,110.3,94.6,91.4,100.2,100.9,100.5,107.3
2015,99.7,102.5,110.9,113.0,106.2,95.2,97.4,91.3,94.3,95.4,78.3
2016,97.2,99.5,108.5,103.1,120.1,91.8,85.3,103.1,92.5,94.2,65.5
2017,96.9,98.3,103.9,106.3,98.7,93.5,89.9,100.0,94.2,97.1,48.4
2018,108.3,114.6,127.8,137.3,107.5,103.1,83.7,137.5,95.8,98.7,50.3
2019,99.1,100.4,115.9,120.2,106.6,87.0,68.0,120.7,96.5,97.8,77.6
2020,86.0,83.6,89.9,96.2,76.3,78.1,57.2,115.1,90.8,96.7,0.0
2021,82.0,79.0,92.3,101.1,73.4,67.5,55.1,89.5,88.0,93.7,0.0
2022,87.7,90.5,105.2,128.2,56.0,77.6,54.1,119.3,82.1,87.4,0.0
2023,74.0,75.9,92.2,101.4,72.4,61.7,41.7,97.2,70.4,75.0,0.0

東京都工業指数 年指数（平成２７年基準）平成２５年～令和５年,,,,,,,,,,,
生産者製品在庫指数（特殊分類別、原指数）,,,,,,,,,,,
（注）年指数は12月分で速報値を公表し、翌月に確報値に修正している。,,,,,,,,,,,
