年,製造工業,最終需要財,投資財,資本財,建設財,消費財,耐久消費財,非耐久消費財,生産財,鉱工業用生産財,その他生産財
ウェイト,10000,5817.9,3622.2,3226.4,395.8,2195.7,896,1299.7,4182.1,2667.7,1514.4
2013,102.3,99.1,91.5,91.1,94.5,111.6,125.1,102.2,106.9,102.2,115.1
2014,101.4,98.5,94.9,94.4,99.3,104.6,111.6,99.8,105.4,105.5,105.3
2015,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2016,95.4,94.7,96.1,96.2,95.2,92.4,84.7,97.8,96.4,96.8,95.6
2017,94.8,92.9,96.1,95.7,99.2,87.7,77.0,95.1,97.3,100.8,91.4
2018,96.1,96.0,99.7,99.2,103.3,89.9,76.4,99.1,96.4,101.5,87.3
2019,93.8,96.4,99.8,100.0,98.0,90.5,77.5,99.5,90.3,94.0,83.9
2020,81.1,81.2,85.3,85.8,81.2,74.4,54.4,88.1,81.1,82.2,79.0
2021,86.3,88.6,98.9,101.1,81.2,71.7,55.9,82.7,83.0,86.3,77.1
2022,88.2,91.8,104.8,107.7,80.4,70.4,53.8,81.8,83.2,85.3,79.5
2023,82.7,86.0,94.0,95.9,78.6,72.7,53.6,85.8,78.2,85.5,65.4

東京都工業指数 年指数（平成２７年基準）平成２５年～令和５年,,,,,,,,,,,
生産者出荷指数（特殊分類別、原指数）,,,,,,,,,,,
（注）年指数は12月分で速報値を公表し、翌月に確報値に修正している。,,,,,,,,,,,
