年,製造工業,鉄鋼業,非鉄金属工業,金属製品工業,汎用・生産用・業務用機械工業,汎用機械工業,生産用機械工業,業務用機械工業,電子部品・デバイス工業,電気機械工業,情報通信機械工業,輸送機械工業,窯業・土石製品工業,化学工業,プラスチック製品工業,紙・紙加工品工業,繊維工業,食料品工業,印刷業,その他工業,ゴム製品工業,皮革製品工業,家具工業,木材・木製品工業,その他製品工業
ウェイト,10000,258.5,123.3,280.6,1300.5,266.2,533.2,501.1,461.3,1305.1,849.7,1363.4,259,721.4,177,101.3,81.9,789.9,1253,674.1,83.6,115.5,149.7,24.5,300.8
2013,102.3,100.7,93.1,140.9,104.4,111.9,81.0,125.3,80.3,104.0,93.6,97.6,95.1,103.4,118.9,103.3,107.7,100.4,109.9,101.9,112.7,130.4,95.2,114.6,90.3
2014,101.4,103.0,93.2,119.9,104.4,117.1,93.9,108.8,80.9,105.4,92.2,99.3,95.0,102.8,135.0,101.9,114.5,97.7,102.9,103.1,106.7,117.6,99.8,107.0,97.9
2015,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2016,95.4,100.8,98.5,93.7,96.3,97.1,108.7,82.8,116.5,87.7,97.6,95.8,93.4,92.3,83.0,101.6,100.2,99.4,95.3,89.7,110.9,91.2,83.4,91.9,86.2
2017,94.8,105.5,102.5,91.7,98.8,105.4,121.9,70.8,123.7,92.7,80.9,98.6,97.2,92.8,82.2,103.2,92.7,96.1,90.2,87.0,112.7,85.6,81.0,93.5,82.8
2018,96.1,106.4,102.3,76.2,95.9,108.4,117.7,66.1,117.8,95.5,92.0,103.5,103.5,94.1,92.0,106.0,89.7,101.5,87.1,86.5,103.5,82.7,93.2,83.7,80.2
2019,93.8,94.2,124.9,75.3,81.8,100.6,101.1,51.3,87.9,96.2,114.7,103.4,91.5,83.6,96.3,106.0,90.0,114.6,81.1,81.7,96.9,66.5,108.2,81.0,70.1
2020,81.1,76.4,121.6,75.3,75.8,91.5,103.5,38.1,87.4,84.1,88.6,79.7,76.0,72.7,94.2,106.3,75.7,106.0,75.1,58.6,96.2,49.0,76.5,49.8,43.6
2021,86.3,89.5,134.4,71.4,98.4,93.3,156.9,39.1,102.8,92.2,86.8,85.9,81.2,70.3,82.3,110.5,83.1,101.3,74.6,57.4,107.7,43.6,70.6,43.2,43.2
2022,88.2,86.8,157.9,75.1,110.0,92.3,190.6,33.6,77.2,93.5,83.5,97.5,79.3,64.0,84.5,110.1,83.8,101.6,76.7,57.0,91.2,45.8,72.6,40.3,45.3
2023,82.7,76.6,153.6,42.2,78.8,86.3,121.8,29.0,71.7,97.7,92.8,96.6,77.8,63.2,87.1,101.8,76.9,106.9,66.5,55.7,91.8,42.6,77.5,40.4,41.2

東京都工業指数 年指数（平成２７年基準）平成２５年～令和５年,,,,,,,,,,,,,,,,,,,,,,,,,
生産者出荷指数（業種分類別、原指数）,,,,,,,,,,,,,,,,,,,,,,,,,
（注）年指数は12月分で速報値を公表し、翌月に確報値に修正している。,,,,,,,,,,,,,,,,,,,,,,,,,
