年,製造工業,最終需要財,投資財,資本財,建設財,消費財,耐久消費財,非耐久消費財,生産財,鉱工業用生産財,その他生産財
ウェイト,10000,5938.2,3796.8,3470.2,326.6,2141.4,666.4,1475,4061.8,2451.4,1610.4
2013,102.3,98.4,93.2,92.6,99.3,107.7,124.1,100.3,107.9,102.2,116.7
2014,102.0,99.5,96.9,96.5,100.5,104.1,115.1,99.1,105.8,105.7,106.1
2015,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2016,95.3,95.0,95.8,95.8,96.5,93.4,87.0,96.3,95.7,95.8,95.5
2017,93.6,93.0,94.9,94.4,100.0,89.6,81.1,93.5,94.5,96.4,91.5
2018,94.9,96.5,96.5,95.7,104.4,96.6,85.3,101.7,92.6,96.5,86.6
2019,92.9,97.2,97.1,96.8,99.6,97.4,91.4,100.2,86.6,89.0,83.1
2020,80.4,82.0,83.6,83.9,79.9,79.3,66.3,85.1,78.0,77.7,78.6
2021,85.7,90.8,97.7,99.6,77.5,78.6,69.4,82.8,78.2,79.2,76.6
2022,88.3,94.6,104.6,107.3,75.9,76.9,68.7,80.6,79.1,79.1,79.1
2023,83.6,90.6,96.7,98.6,76.2,79.8,68.6,84.9,73.4,79.9,63.6

東京都工業指数 年指数（平成２７年基準）平成２５年～令和５年,,,,,,,,,,,
生産指数（特殊分類別、原指数）,,,,,,,,,,,
（注）年指数は12月分で速報値を公表し、翌月に確報値に修正している。,,,,,,,,,,,
