年,製造工業,鉄鋼業,非鉄金属工業,金属製品工業,汎用・生産用・業務用機械工業,汎用機械工業,生産用機械工業,業務用機械工業,電子部品・デバイス工業,電気機械工業,情報通信機械工業,輸送機械工業,窯業・土石製品工業,化学工業,プラスチック製品工業,紙・紙加工品工業,繊維工業,食料品工業,印刷業,その他工業,ゴム製品工業,皮革製品工業,家具工業,木材・木製品工業,その他製品工業
ウェイト,10000,136.7,90.2,392.2,1526.9,283.6,665.4,577.9,270,1373.4,688.9,1140.1,266.7,1070.9,189.2,172.5,117,778.3,1301.1,485.9,35.4,35.8,162.3,36.5,215.9
2013,102.3,103.8,98.4,144.6,93.4,112.9,82.0,97.0,86.7,96.3,109.0,97.5,92.7,101.9,119.3,102.3,105.3,101.8,110.0,102.5,106.2,140.8,100.1,115.6,95.3
2014,102.0,105.6,97.7,123.5,101.5,117.6,95.0,101.2,90.4,95.8,107.4,99.1,94.2,102.1,135.8,100.8,109.9,98.1,103.0,103.0,100.3,121.1,103.3,104.3,100.1
2015,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2016,95.3,98.6,98.9,97.9,98.7,97.9,106.9,89.6,107.2,91.0,96.0,95.4,95.5,90.8,86.5,101.1,100.8,99.1,95.3,88.4,104.2,97.2,86.7,89.3,85.5
2017,93.6,104.2,99.8,93.0,100.7,107.2,119.4,76.0,109.5,94.4,74.2,96.4,97.4,89.7,86.0,101.6,93.1,96.3,90.2,89.1,106.2,89.8,85.4,88.9,89.0
2018,94.9,106.2,101.9,79.6,96.6,111.2,115.0,68.2,98.2,96.2,87.2,101.5,99.9,94.2,95.0,102.6,90.0,104.6,87.1,90.1,97.2,83.5,93.0,84.3,88.9
2019,92.9,93.1,115.5,75.5,85.5,102.1,99.4,61.5,69.2,97.6,115.7,101.5,87.4,81.0,99.4,101.3,90.1,120.8,81.0,85.1,90.8,67.3,107.4,80.9,71.1
2020,80.4,74.3,104.3,77.8,78.0,94.6,99.7,44.8,68.2,89.1,86.0,77.3,71.7,65.2,95.3,103.2,76.0,111.3,75.1,59.2,90.6,46.5,78.3,45.5,44.0
2021,85.7,87.2,115.8,72.1,100.7,96.3,148.1,48.3,77.4,101.3,84.7,80.3,78.2,65.8,81.5,105.9,84.2,106.6,74.5,56.9,101.5,42.2,72.5,42.9,42.6
2022,88.3,83.9,126.9,75.5,113.0,95.5,177.8,47.1,55.9,104.8,82.5,90.3,72.5,60.0,83.8,105.6,83.4,107.8,76.6,58.1,87.3,46.4,71.6,40.9,47.9
2023,83.6,76.4,120.9,44.1,84.1,88.2,115.8,45.6,56.9,111.4,99.8,91.0,71.4,60.4,86.6,97.1,77.3,113.5,66.4,57.1,87.3,42.2,73.9,40.8,44.8

東京都工業指数 年指数（平成２７年基準）平成２５年～令和５年,,,,,,,,,,,,,,,,,,,,,,,,,
生産指数（業種分類別、原指数）,,,,,,,,,,,,,,,,,,,,,,,,,
（注）年指数は12月分で速報値を公表し、翌月に確報値に修正している。,,,,,,,,,,,,,,,,,,,,,,,,,
