年,製造工業,鉄鋼業,非鉄金属工業,金属製品工業,汎用・生産用・業務用機械工業,汎用機械工業,生産用機械工業,業務用機械工業,電子部品・デバイス工業,電気機械工業,情報通信機械工業,輸送機械工業,窯業・土石製品工業,化学工業,プラスチック製品工業,紙・紙加工品工業,繊維工業,食料品工業,印刷業,その他工業,ゴム製品工業,皮革製品工業,家具工業,木材・木製品工業,その他製品工業
ウェイト,10000,410.1,290.3,370.6,2503.4,209.6,644.4,1649.4,203.6,855.6,895,1074.1,706.8,845.5,241.2,66.9,173.9,175.7,-,1187.3,137.2,389.5,130.3,42.2,488.1
2013,99.8,89.7,92.6,112.0,92.9,100.7,64.1,103.2,106.9,63.5,103.9,74.1,100.4,104.4,168.4,110.3,208.6,59.6,-,132.3,129.1,148.0,105.3,97.7,130.9
2014,98.2,98.3,99.5,113.4,77.5,72.8,97.9,70.2,98.5,107.1,111.4,111.8,95.4,106.5,120.9,102.3,70.7,68.7,-,107.4,100.0,110.3,123.3,87.0,104.6
2015,99.7,112.5,101.3,81.1,111.2,74.4,139.8,104.7,100.1,94.3,99.2,92.0,106.5,79.0,107.4,102.1,102.0,66.4,-,101.3,100.0,101.3,113.0,111.5,97.7
2016,97.2,112.4,105.0,102.0,91.7,81.6,151.7,69.6,55.6,105.0,101.5,88.7,111.6,76.4,115.2,90.8,89.2,69.3,-,114.0,100.0,108.4,115.6,99.7,123.3
2017,96.9,100.4,103.4,90.4,106.8,150.1,170.9,76.3,56.1,73.7,94.1,84.2,116.7,80.0,118.4,100.5,105.5,62.3,-,112.4,100.0,118.8,129.1,63.2,110.5
2018,108.3,100.8,123.0,102.0,107.3,166.0,171.8,74.7,29.3,84.5,115.4,114.2,120.8,90.1,116.8,113.8,111.3,59.0,-,141.2,12.5,144.8,113.7,70.4,187.9
2019,99.1,110.7,127.5,85.5,90.2,97.8,174.2,56.4,17.7,92.0,100.0,90.0,126.1,90.9,115.2,99.2,124.3,68.8,-,125.2,12.5,122.7,198.3,88.0,142.6
2020,86.0,104.6,121.6,107.8,72.0,99.4,141.7,41.3,14.2,59.8,88.4,77.4,120.1,86.7,3.1,88.1,162.3,37.7,-,122.7,12.5,117.0,154.7,22.2,158.4
2021,82.0,108.5,131.3,93.6,68.0,193.8,113.8,34.1,34.4,50.9,91.7,86.8,117.8,76.0,2.1,77.5,150.6,43.8,-,101.0,12.5,102.4,166.9,11.4,114.9
2022,87.7,118.4,134.3,79.2,78.6,198.3,114.2,49.5,27.2,53.9,82.9,124.5,117.3,50.0,3.1,108.5,66.0,49.7,-,126.3,12.5,98.5,134.4,12.9,188.1
2023,74.0,152.3,138.6,71.2,61.2,108.9,76.0,49.3,31.5,53.9,58.8,75.2,111.6,55.4,4.2,104.7,35.8,44.8,-,104.7,12.5,90.9,159.7,10.4,135.1

東京都工業指数 年指数（平成２７年基準）平成２５年～令和５年,,,,,,,,,,,,,,,,,,,,,,,,,
生産者製品在庫指数（業種分類別、原指数）,,,,,,,,,,,,,,,,,,,,,,,,,
（注）年指数は12月分で速報値を公表し、翌月に確報値に修正している。,,,,,,,,,,,,,,,,,,,,,,,,,
