"年月[西暦]","施設名称","施設所在地","施設方書","施設廃止日","緯度","経度"
"202404","ひろこデンタルクリニック","東京都港区芝五丁目16番1号","千代ビル4階","2024/4/1","35.648719","139.745744"
"202404","田町駅前歯科クリニック","東京都港区芝五丁目27番13号","第2小川ビル2階","2024/4/25","35.646961","139.746262"
"202404","虎の門水野歯科医院","東京都港区虎ノ門二丁目2番5号","共同通信会館地下1階","2024/3/31","35.669099","139.744543"
"202404","こどもと女性の歯科クリニック","東京都港区元麻布一丁目4番27号","東光麻布ハイム101","2024/3/31","35.653393","139.736423"
"202404","ホワイトスマイルクリニック","東京都港区六本木四丁目3番11号","六本木ユニハウス221号","2024/3/31","35.666070","139.733868"
"202405","ＤｅｎｔａｌＳａｌｏｎ　Ｉｇｅｔａ","東京都港区北青山三丁目5番44号","HT青山302号室","2024/5/15","35.666897","139.711868"
"202405","歯科矯正クイン","東京都港区南青山二丁目22番2号","クインビル5階","2024/4/30","35.670576","139.719300"
"202405","牧田歯科医院","東京都港区南青山三丁目18番11号","ヴァンセットビル402号室","2024/4/30","35.664675","139.713596"
"202405","Ｍｏｒｉ　Ｄｅｎｔａｌ　Ｃｌｉｎｉｃ","東京都港区南青山六丁目2番9号","NYKビル2階","2024/4/30","35.660861","139.715613"
"202406","岡田歯科医院","東京都港区北青山三丁目3番7号","第一青山ビル2階","2024/5/31","35.668363","139.714833"
"202406","岡田歯科医院","東京都港区芝四丁目4番5号","三田KMビル1階","2024/6/9","35.648402","139.749696"
"202406","Ｌｉｏｎ　Ｈｅａｒｔ　Ｄｅｎｔａｌ　Ｉｎｔｅｒｎａｔｉｏｎａｌ　Ｃｌｉｎｉｃ","東京都港区新橋六丁目19番19号","アセンド新橋1階","2024/5/31","35.660726","139.753048"
"202406","大門歯科医院","東京都港区浜松町一丁目9番12号","三宅屋ビル2階","2024/5/31","35.659493","139.755884"
"202407","麻布十番　はな歯科","東京都港区麻布十番四丁目6番8号","麻布十番アクティブビル3階","2024/6/30","35.653070","139.736972"
"202407","井本歯科医院","東京都港区西麻布四丁目3番2号","田丸ビル4階","2024/6/30","35.657750","139.723635"
"202407","山口歯科医院","東京都港区浜松町二丁目2番11号","広瀬ビル2階","2024/6/30","35.654764","139.754647"
"202407","グローバル六本木歯科","東京都港区六本木四丁目8番4号","アルガ六本木3階","2024/7/29","35.664136","139.733507"

"歯科診療所廃止一覧(令和6年7月31日現在)","Ver202407",,,,,
