"年月[西暦]","調査項目","設問","調査回答者の属性種別","調査回答者の属性","調査数[人]","器具で家具を固定している[人]","家具の配置を工夫している[人]","できるだけ家具を置かないようにしている[人]","家具が収納式または据え付けとなっている[人]","行っていない[人]","無回答[人]"
"202203","災害対策","Q24. 震災時に自宅でケガをしないために、事前の備えである家具の転倒・移動・落下対策が重要です。ご自宅でどのような対策を行っていますか。","全体",,"558","179","231","96","69","84","11"
"202203","災害対策","Q24. 震災時に自宅でケガをしないために、事前の備えである家具の転倒・移動・落下対策が重要です。ご自宅でどのような対策を行っていますか。","性・年代別","男性（計）","231","81","94","30","24","36","0"
"202203","災害対策","Q24. 震災時に自宅でケガをしないために、事前の備えである家具の転倒・移動・落下対策が重要です。ご自宅でどのような対策を行っていますか。","性・年代別","男性 18～29歳","13","4","5","2","3","1","0"
"202203","災害対策","Q24. 震災時に自宅でケガをしないために、事前の備えである家具の転倒・移動・落下対策が重要です。ご自宅でどのような対策を行っていますか。","性・年代別","男性 30～39歳","38","9","20","5","2","4","0"
"202203","災害対策","Q24. 震災時に自宅でケガをしないために、事前の備えである家具の転倒・移動・落下対策が重要です。ご自宅でどのような対策を行っていますか。","性・年代別","男性 40～49歳","50","17","13","5","4","14","0"
"202203","災害対策","Q24. 震災時に自宅でケガをしないために、事前の備えである家具の転倒・移動・落下対策が重要です。ご自宅でどのような対策を行っていますか。","性・年代別","男性 50～59歳","47","14","22","9","1","5","0"
"202203","災害対策","Q24. 震災時に自宅でケガをしないために、事前の備えである家具の転倒・移動・落下対策が重要です。ご自宅でどのような対策を行っていますか。","性・年代別","男性 60～69歳","42","19","13","7","11","6","0"
"202203","災害対策","Q24. 震災時に自宅でケガをしないために、事前の備えである家具の転倒・移動・落下対策が重要です。ご自宅でどのような対策を行っていますか。","性・年代別","男性 70歳以上","40","17","20","2","3","6","0"
"202203","災害対策","Q24. 震災時に自宅でケガをしないために、事前の備えである家具の転倒・移動・落下対策が重要です。ご自宅でどのような対策を行っていますか。","性・年代別","男性 無回答","1","1","1","0","0","0","0"
"202203","災害対策","Q24. 震災時に自宅でケガをしないために、事前の備えである家具の転倒・移動・落下対策が重要です。ご自宅でどのような対策を行っていますか。","性・年代別","女性（計）","313","98","134","66","44","48","1"
"202203","災害対策","Q24. 震災時に自宅でケガをしないために、事前の備えである家具の転倒・移動・落下対策が重要です。ご自宅でどのような対策を行っていますか。","性・年代別","女性 18～29歳","26","10","7","2","1","6","0"
"202203","災害対策","Q24. 震災時に自宅でケガをしないために、事前の備えである家具の転倒・移動・落下対策が重要です。ご自宅でどのような対策を行っていますか。","性・年代別","女性 30～39歳","49","12","21","12","3","8","0"
"202203","災害対策","Q24. 震災時に自宅でケガをしないために、事前の備えである家具の転倒・移動・落下対策が重要です。ご自宅でどのような対策を行っていますか。","性・年代別","女性 40～49歳","78","22","35","18","10","13","1"
