年度,会計,会計名称,款,款名称,項,項名称,目,目名称,大事業,大事業名称,節,節名称,細節,細節名称,当初予算額
2021,1,一般会計,1,議会費,1,議会費,1,議会費,1,職員人件費,2,給料,2,一般職,"29,330,000"
2021,1,一般会計,1,議会費,1,議会費,1,議会費,1,職員人件費,3,職員手当等,2,地域手当等,"21,957,000"
2021,1,一般会計,1,議会費,1,議会費,1,議会費,1,職員人件費,4,共済費,3,職員共済組合費,"9,833,000"
2021,1,一般会計,1,議会費,1,議会費,1,議会費,1,職員人件費,9,旅費,3,普通旅費,"22,000"
2021,1,一般会計,1,議会費,1,議会費,1,議会費,1,職員人件費,9,旅費,4,特別旅費,"237,000"
2021,1,一般会計,1,議会費,1,議会費,1,議会費,2,議会活動事業,1,報酬,1,議員,"121,636,000"
2021,1,一般会計,1,議会費,1,議会費,1,議会費,2,議会活動事業,3,職員手当等,1,議員期末手当,"55,294,000"
2021,1,一般会計,1,議会費,1,議会費,1,議会費,2,議会活動事業,4,共済費,1,共済事務費等,"40,580,000"
2021,1,一般会計,1,議会費,1,議会費,1,議会費,2,議会活動事業,4,共済費,2,公務災害補償費,"112,000"
2021,1,一般会計,1,議会費,1,議会費,1,議会費,2,議会活動事業,8,報償費,2,謝礼,"100,000"
2021,1,一般会計,1,議会費,1,議会費,1,議会費,2,議会活動事業,9,旅費,1,費用弁償（普通）,"19,000"
2021,1,一般会計,1,議会費,1,議会費,1,議会費,2,議会活動事業,9,旅費,2,費用弁償（特別）,"1,108,000"
2021,1,一般会計,1,議会費,1,議会費,1,議会費,2,議会活動事業,10,交際費,1,議長交際費,"400,000"
2021,1,一般会計,1,議会費,1,議会費,1,議会費,2,議会活動事業,11,需用費,1,消耗品費,"7,000"
2021,1,一般会計,1,議会費,1,議会費,1,議会費,2,議会活動事業,11,需用費,2,印刷製本費,"17,000"
2021,1,一般会計,1,議会費,1,議会費,1,議会費,2,議会活動事業,11,需用費,4,食糧費,"3,000"
