年度,会計,会計名称,款,款名称,項,項名称,目,目名称,節,節名称,細節,細節名称,決算額
2020,1,一般会計,1,市税,1,市民税,1,個人,1,現年課税分,1,現年度分（均等割）,"127,090,202"
2020,1,一般会計,1,市税,1,市民税,1,個人,1,現年課税分,2,現年度分（所得割）,"4,450,262,675"
2020,1,一般会計,1,市税,1,市民税,1,個人,1,現年課税分,3,過年度分,"22,941,706"
2020,1,一般会計,1,市税,1,市民税,1,個人,2,滞納繰越分,1,滞納繰越分,"42,707,151"
2020,1,一般会計,1,市税,1,市民税,2,法人,1,現年課税分,1,現年度分,"310,623,000"
2020,1,一般会計,1,市税,1,市民税,2,法人,1,現年課税分,2,過年度分,"38,315,000"
2020,1,一般会計,1,市税,1,市民税,2,法人,2,滞納繰越分,1,滞納繰越分,"432,700"
2020,1,一般会計,1,市税,2,固定資産税,1,固定資産税,1,現年課税分,1,現年度分,"3,460,209,805"
2020,1,一般会計,1,市税,2,固定資産税,1,固定資産税,1,現年課税分,2,過年度分,"595,600"
2020,1,一般会計,1,市税,2,固定資産税,1,固定資産税,2,滞納繰越分,1,滞納繰越分,"20,142,746"
2020,1,一般会計,1,市税,2,固定資産税,2,国有資産等所在市町村交付金,1,現年課税分,1,国有資産等所在市町村交付金,"254,708,000"
2020,1,一般会計,1,市税,3,軽自動車税,1,環境性能割,1,現年課税分,1,現年度分,"2,892,300"
2020,1,一般会計,1,市税,3,軽自動車税,2,種別割,1,現年課税分,1,現年度分,"73,677,660"
2020,1,一般会計,1,市税,3,軽自動車税,2,種別割,1,現年課税分,2,過年度分,0
2020,1,一般会計,1,市税,3,軽自動車税,2,種別割,2,滞納繰越分,1,滞納繰越分,"935,183"
2020,1,一般会計,1,市税,4,市たばこ税,1,市たばこ税,1,現年課税分,1,現年度分,"361,042,604"
2020,1,一般会計,1,市税,6,都市計画税,1,都市計画税,1,現年課税分,1,現年度分,"734,885,413"
2020,1,一般会計,1,市税,6,都市計画税,1,都市計画税,1,現年課税分,2,過年度分,"18,300"
2020,1,一般会計,1,市税,6,都市計画税,1,都市計画税,2,滞納繰越分,1,滞納繰越分,"4,635,844"
2020,1,一般会計,2,地方譲与税,1,地方揮発油譲与税,1,地方揮発油譲与税,1,地方揮発油譲与税,1,地方揮発油譲与税,"29,813,000"
2020,1,一般会計,2,地方譲与税,2,自動車重量譲与税,1,自動車重量譲与税,1,自動車重量譲与税,1,自動車重量譲与税,"86,741,000"
2020,1,一般会計,2,地方譲与税,4,森林環境譲与税,1,森林環境譲与税,1,森林環境譲与税,1,森林環境譲与税,"6,218,000"
2020,1,一般会計,3,利子割交付金,1,利子割交付金,1,利子割交付金,1,利子割交付金,1,利子割交付金,"13,896,000"
