"業務内容","施設・事業","対象・費用","定員・利用期間","申込方法等"
"一時預かり","あっぴぃ港南","理由を問わずにお子さんをお預かり【対象】生後4か月～未就学児【費用】月曜～土曜500円／1時間　日曜・祝日600円／1時間※多胎児（双子・三つ子等）世帯の利用料免除制度あり※本事業は幼児教育・保育の無償化の対象","【定員】（1時間当たり）あっぴぃ港南：14人【利用期間】月曜～日曜8時30分～18時30分※原則5時間以内（1時間単位）　休業日：施設点検日、年末年始12月29日～1月3日※登録制で事前予約が必要。お子さまの健康保険証・乳児医療証・母子健康手帳もご持参。","あっぴぃ港南 03-6712-0688"
"一時預かり","あっぴぃ麻布","理由を問わずにお子さんをお預かり【対象】生後4か月～未就学児【費用】月曜～土曜500円／1時間　日曜・祝日600円／1時間※多胎児（双子・三つ子等）世帯の利用料免除制度あり※本事業は幼児教育・保育の無償化の対象","【定員】（1時間当たり）あっぴぃ麻布：15人【利用期間】月曜～日曜8時30分～18時30分※原則5時間以内（1時間単位）　休業日：施設点検日、年末年始12月29日～1月3日※登録制で事前予約が必要。お子さまの健康保険証・乳児医療証・母子健康手帳もご持参。","あっぴぃ麻布 03-5114-9900"
"一時預かり","あっぴぃ新橋","理由を問わずにお子さんをお預かり【対象】生後4か月～未就学児【費用】月曜～土曜500円／1時間　日曜・祝日600円／1時間※多胎児（双子・三つ子等）世帯の利用料免除制度あり※本事業は幼児教育・保育の無償化の対象","【定員】（1時間当たり）あっぴぃ新橋：30人【利用期間】月曜～日曜8時30分～18時30分※原則5時間以内（1時間単位）　休業日：施設点検日、年末年始12月29日～1月3日※登録制で事前予約が必要。お子さまの健康保険証・乳児医療証・母子健康手帳もご持参。","あっぴぃ新橋 03-5425-7525"
"一時預かり","あっぴぃ西麻布","理由を問わずにお子さんをお預かり【対象】生後4か月～未就学児【費用】月曜～土曜500円／1時間　日曜・祝日600円／1時間※多胎児（双子・三つ子等）世帯の利用料免除制度あり※本事業は幼児教育・保育の無償化の対象","【定員】（1時間当たり）あっぴぃ西麻布：18人【利用期間】月曜～日曜8時30分～18時30分※原則5時間以内（1時間単位）　休業日：施設点検日、年末年始12月29日～1月3日※登録制で事前予約が必要。お子さまの健康保険証・乳児医療証・母子健康手帳もご持参。","あっぴぃ西麻布 03-5467-7175"
"一時預かり","あっぴぃ芝浦","理由を問わずにお子さんをお預かり【対象】生後4か月～未就学児【費用】月曜～土曜500円／1時間　日曜・祝日600円／1時間※多胎児（双子・三つ子等）世帯の利用料免除制度あり※本事業は幼児教育・保育の無償化の対象","【定員】（1時間当たり）あっぴぃ芝浦：35人（0歳児は6人）【利用期間】月曜～日曜8時30分～18時30分※原則5時間以内（1時間単位）　休業日：施設点検日、年末年始12月29日～1月3日※登録制で事前予約が必要。お子さまの健康保険証・乳児医療証・母子健康手帳もご持参。","あっぴぃ芝浦 03-5730-3253"
"一時預かり","あっぴぃ赤坂","理由を問わずにお子さんをお預かり【対象】生後4か月～未就学児【費用】月曜～土曜500円／1時間　日曜・祝日600円／1時間※多胎児（双子・三つ子等）世帯の利用料免除制度あり※本事業は幼児教育・保育の無償化の対象","【定員】（1時間当たり）あっぴぃ赤坂：20人【利用期間】月曜～日曜8時30分～18時30分※原則5時間以内（1時間単位）　休業日：施設点検日、年末年始12月29日～1月3日※登録制で事前予約が必要。お子さまの健康保険証・乳児医療証・母子健康手帳もご持参。","あっぴぃ赤坂 03-3475-3900"
"一時預かり","あっぴぃ白金台","理由を問わずにお子さんをお預かり【対象】生後4か月～未就学児【費用】月曜～土曜500円／1時間　日曜・祝日600円／1時間※多胎児（双子・三つ子等）世帯の利用料免除制度あり※本事業は幼児教育・保育の無償化の対象","【定員】（1時間当たり）あっぴぃ白金台：20人【利用期間】月曜～日曜8時30分～18時30分※原則5時間以内（1時間単位）　休業日：施設点検日、年末年始12月29日～1月3日※登録制で事前予約が必要。お子さまの健康保険証・乳児医療証・母子健康手帳もご持参。","あっぴぃ白金台 03-6450-4249"
"一時預かり","あっぴぃ港南四丁目","理由を問わずにお子さんをお預かり【対象】生後4か月～未就学児【費用】月曜～土曜500円／1時間　日曜・祝日600円／1時間※多胎児（双子・三つ子等）世帯の利用料免除制度あり※本事業は幼児教育・保育の無償化の対象","【定員】（1時間当たり）あっぴぃ港南四丁目：12人【利用期間】月曜～日曜8時30分～18時30分※原則5時間以内（1時間単位）　休業日：施設点検日、年末年始12月29日～1月3日※登録制で事前予約が必要。お子さまの健康保険証・乳児医療証・母子健康手帳もご持参。","あっぴぃ港南四丁目 03-5796-8862"
"一時預かり","子育てひろば「あい・ぽーと」あおば","理由を問わずにお子さんをお預かり【対象】生後2か月～未就学児※受け入れに限りがありますが、小学生も利用可能【費用】800円～1400円／1時間　区外者可（日曜・祝日は受け付けていません）※ご利用は1時間以上、30分単位。小学生は料金が異なる※料金はご利用の際に前払いでお預かり※多胎児（双子・三つ子等）世帯の利用料免除制度あり※本事業は幼児教育・保育の無償化の対象","【利用期間】月曜～日曜7時30分～21時　休業日：年末年始12月29日～1月3日【利用方法】会員登録後、利用の1か月前から前日の午前中までにお電話か来館時に予約※日曜・祝日のご予約は1週間前に締め切り【予約受付時間】月曜～土曜9時～17時","子育てひろば「あい・ぽーと」03-5786-3250"
"一時預かり","みなと子育て応援プラザPokke（ぽっけ）","理由を問わずにお子さんをお預かり【対象】生後4か月～就学前（区外者可）【費用】4時間まで2000～3000円　早朝・夜間料金（7時15分～8時および18時～20時15分）500～700円／45分※多胎児（双子・三つ子等）世帯の利用料免除制度あり※本事業は幼児教育・保育の無償化の対象","【定員】20人【利用期間】月曜～日曜（祝日含む）7時15分～20時15分　休業日：月1回、年末年始","みなと子育て応援プラザPokke(ぽっけ）03-6435-0411"
"一時預かり","区立保育園の緊急一時保育（しばうら保育園分園以外の公設民営園を含む）","【対象】区内在住で保護者が出産や病気、介護などで一時的に保育ができない場合。認可保育園等に入園していない生後4か月～未就学児【費用】1日1人3000円　5時間以内1人1500円（給食・おやつ含む）　延長保育は400円／時間※生活保護・住民税非課税世帯・多胎児（双子・三つ子等）世帯の利用料免除制度あり","【定員】各園1人（きょうだいは可）【利用期間】1日単位で1か月以内（日曜、祝日、年末年始を除く）　7時15分～18時15分（平日のみ延長保育利用可）","利用日の1か月前から前日17時15分までに電話連絡の上、申込書を各保育園へ"
"一時預かり","南青山ぱんだるーむ","【対象】区内在住で認可保育園等に入園していない生後4か月～未就学児【費用】1日1人3000円　5時間以内1人1500円（給食・おやつ含む）※生活保護・住民税非課税世帯・多胎児（双子・三つ子等）世帯の利用料免除制度あり※本事業は幼児教育・保育の無償化の対象","【定員】南青山2人【利用期間】5月～翌年2月月8回以内（土曜・日曜、祝日、年末年始を除く）9時30分～16時","要事前登録　直接各保育園へお問い合わせ　南青山保育園 03-3401-5047"
"一時預かり","南麻布たんぽぽるーむ","【対象】区内在住で認可保育園等に入園していない生後4か月～未就学児【費用】1日1人3000円　5時間以内1人1500円（給食・おやつ含む）※生活保護・住民税非課税世帯・多胎児（双子・三つ子等）世帯の利用料免除制度あり※本事業は幼児教育・保育の無償化の対象","【定員】南麻布2人【利用期間】5月～翌年2月月8回以内（土曜・日曜、祝日、年末年始を除く）9時30分～16時","要事前登録　直接各保育園へお問い合わせ　南麻布保育園 03-3442-5907"
"一時預かり","飯倉いちごるーむ","【対象】区内在住で認可保育園等に入園していない生後4か月～未就学児【費用】1日1人3000円　5時間以内1人1500円（給食・おやつ含む）※生活保護・住民税非課税世帯・多胎児（双子・三つ子等）世帯の利用料免除制度あり※本事業は幼児教育・保育の無償化の対象","【定員】飯倉2人【利用期間】5月～翌年2月月8回以内（土曜・日曜、祝日、年末年始を除く）9時30分～16時","要事前登録　直接各保育園へお問い合わせ　飯倉保育園 03-3583-5805"
"一時預かり","芝浦アイランドこども園","【対象】区内在住で認可保育園等に入園していない生後4か月～未就学児【費用】1日1人3000円　5時間以内1人1500円（給食・おやつ含む）※生活保護・住民税非課税世帯・多胎児（双子・三つ子等）世帯の利用料免除制度あり※本事業は幼児教育・保育の無償化の対象","【利用期間】月8回以内（日曜、祝日、年末年始を除く）7時15分～18時15分","要事前登録　直接各保育園へお問い合わせ　芝浦アイランドこども園 03-5443-2530（一時保育専用）"
