"年月[西暦]","調査項目","設問","取組内容","選択肢","回答数[件]","構成比[%]"
"202003","区の取組","Q9. 環境に関する現在の区の取組状況が十分と感じるかどうかお答えください。（○はそれぞれ１つずつ）","地球温暖化対策","十分","18","14.0"
"202003","区の取組","Q9. 環境に関する現在の区の取組状況が十分と感じるかどうかお答えください。（○はそれぞれ１つずつ）","地球温暖化対策","まあ十分","48","37.2"
"202003","区の取組","Q9. 環境に関する現在の区の取組状況が十分と感じるかどうかお答えください。（○はそれぞれ１つずつ）","地球温暖化対策","やや不十分","12","9.3"
"202003","区の取組","Q9. 環境に関する現在の区の取組状況が十分と感じるかどうかお答えください。（○はそれぞれ１つずつ）","地球温暖化対策","不十分","9","7.0"
"202003","区の取組","Q9. 環境に関する現在の区の取組状況が十分と感じるかどうかお答えください。（○はそれぞれ１つずつ）","地球温暖化対策","わからない","36","27.9"
"202003","区の取組","Q9. 環境に関する現在の区の取組状況が十分と感じるかどうかお答えください。（○はそれぞれ１つずつ）","地球温暖化対策","無回答","6","4.7"
"202003","区の取組","Q9. 環境に関する現在の区の取組状況が十分と感じるかどうかお答えください。（○はそれぞれ１つずつ）","ごみ・リサイクル","十分","10","7.8"
"202003","区の取組","Q9. 環境に関する現在の区の取組状況が十分と感じるかどうかお答えください。（○はそれぞれ１つずつ）","ごみ・リサイクル","まあ十分","37","28.7"
"202003","区の取組","Q9. 環境に関する現在の区の取組状況が十分と感じるかどうかお答えください。（○はそれぞれ１つずつ）","ごみ・リサイクル","やや不十分","24","18.6"
"202003","区の取組","Q9. 環境に関する現在の区の取組状況が十分と感じるかどうかお答えください。（○はそれぞれ１つずつ）","ごみ・リサイクル","不十分","7","5.4"
"202003","区の取組","Q9. 環境に関する現在の区の取組状況が十分と感じるかどうかお答えください。（○はそれぞれ１つずつ）","ごみ・リサイクル","わからない","43","33.3"
"202003","区の取組","Q9. 環境に関する現在の区の取組状況が十分と感じるかどうかお答えください。（○はそれぞれ１つずつ）","ごみ・リサイクル","無回答","8","6.2"
"202003","区の取組","Q9. 環境に関する現在の区の取組状況が十分と感じるかどうかお答えください。（○はそれぞれ１つずつ）","環境保全・公害対策","十分","13","10.1"
"202003","区の取組","Q9. 環境に関する現在の区の取組状況が十分と感じるかどうかお答えください。（○はそれぞれ１つずつ）","環境保全・公害対策","まあ十分","50","38.8"
"202003","区の取組","Q9. 環境に関する現在の区の取組状況が十分と感じるかどうかお答えください。（○はそれぞれ１つずつ）","環境保全・公害対策","やや不十分","18","14.0"
"202003","区の取組","Q9. 環境に関する現在の区の取組状況が十分と感じるかどうかお答えください。（○はそれぞれ１つずつ）","環境保全・公害対策","不十分","13","10.1"
"202003","区の取組","Q9. 環境に関する現在の区の取組状況が十分と感じるかどうかお答えください。（○はそれぞれ１つずつ）","環境保全・公害対策","わからない","29","22.5"
"202003","区の取組","Q9. 環境に関する現在の区の取組状況が十分と感じるかどうかお答えください。（○はそれぞれ１つずつ）","環境保全・公害対策","無回答","6","4.7"
"202003","区の取組","Q9. 環境に関する現在の区の取組状況が十分と感じるかどうかお答えください。（○はそれぞれ１つずつ）","環境美化活動・路上喫煙対策","十分","7","5.4"
"202003","区の取組","Q9. 環境に関する現在の区の取組状況が十分と感じるかどうかお答えください。（○はそれぞれ１つずつ）","環境美化活動・路上喫煙対策","まあ十分","21","16.3"
"202003","区の取組","Q9. 環境に関する現在の区の取組状況が十分と感じるかどうかお答えください。（○はそれぞれ１つずつ）","環境美化活動・路上喫煙対策","やや不十分","23","17.8"
"202003","区の取組","Q9. 環境に関する現在の区の取組状況が十分と感じるかどうかお答えください。（○はそれぞれ１つずつ）","環境美化活動・路上喫煙対策","不十分","12","9.3"
"202003","区の取組","Q9. 環境に関する現在の区の取組状況が十分と感じるかどうかお答えください。（○はそれぞれ１つずつ）","環境美化活動・路上喫煙対策","わからない","60","46.5"
"202003","区の取組","Q9. 環境に関する現在の区の取組状況が十分と感じるかどうかお答えください。（○はそれぞれ１つずつ）","環境美化活動・路上喫煙対策","無回答","6","4.7"
"202003","区の取組","Q9. 環境に関する現在の区の取組状況が十分と感じるかどうかお答えください。（○はそれぞれ１つずつ）","開発事業における環境への配慮の誘導","十分","6","4.7"
"202003","区の取組","Q9. 環境に関する現在の区の取組状況が十分と感じるかどうかお答えください。（○はそれぞれ１つずつ）","開発事業における環境への配慮の誘導","まあ十分","30","23.3"
"202003","区の取組","Q9. 環境に関する現在の区の取組状況が十分と感じるかどうかお答えください。（○はそれぞれ１つずつ）","開発事業における環境への配慮の誘導","やや不十分","20","15.5"
"202003","区の取組","Q9. 環境に関する現在の区の取組状況が十分と感じるかどうかお答えください。（○はそれぞれ１つずつ）","開発事業における環境への配慮の誘導","不十分","13","10.1"
"202003","区の取組","Q9. 環境に関する現在の区の取組状況が十分と感じるかどうかお答えください。（○はそれぞれ１つずつ）","開発事業における環境への配慮の誘導","わからない","53","41.1"
"202003","区の取組","Q9. 環境に関する現在の区の取組状況が十分と感じるかどうかお答えください。（○はそれぞれ１つずつ）","開発事業における環境への配慮の誘導","無回答","7","5.4"
"202003","区の取組","Q9. 環境に関する現在の区の取組状況が十分と感じるかどうかお答えください。（○はそれぞれ１つずつ）","緑や水辺の保全・創出","十分","6","4.7"
"202003","区の取組","Q9. 環境に関する現在の区の取組状況が十分と感じるかどうかお答えください。（○はそれぞれ１つずつ）","緑や水辺の保全・創出","まあ十分","22","17.1"
"202003","区の取組","Q9. 環境に関する現在の区の取組状況が十分と感じるかどうかお答えください。（○はそれぞれ１つずつ）","緑や水辺の保全・創出","やや不十分","19","14.7"
"202003","区の取組","Q9. 環境に関する現在の区の取組状況が十分と感じるかどうかお答えください。（○はそれぞれ１つずつ）","緑や水辺の保全・創出","不十分","16","12.4"
"202003","区の取組","Q9. 環境に関する現在の区の取組状況が十分と感じるかどうかお答えください。（○はそれぞれ１つずつ）","緑や水辺の保全・創出","わからない","59","45.7"
"202003","区の取組","Q9. 環境に関する現在の区の取組状況が十分と感じるかどうかお答えください。（○はそれぞれ１つずつ）","緑や水辺の保全・創出","無回答","7","5.4"
"202003","区の取組","Q9. 環境に関する現在の区の取組状況が十分と感じるかどうかお答えください。（○はそれぞれ１つずつ）","生物の生息環境の保全","十分","6","4.7"
"202003","区の取組","Q9. 環境に関する現在の区の取組状況が十分と感じるかどうかお答えください。（○はそれぞれ１つずつ）","生物の生息環境の保全","まあ十分","26","20.2"
"202003","区の取組","Q9. 環境に関する現在の区の取組状況が十分と感じるかどうかお答えください。（○はそれぞれ１つずつ）","生物の生息環境の保全","やや不十分","19","14.7"
"202003","区の取組","Q9. 環境に関する現在の区の取組状況が十分と感じるかどうかお答えください。（○はそれぞれ１つずつ）","生物の生息環境の保全","不十分","11","8.5"
"202003","区の取組","Q9. 環境に関する現在の区の取組状況が十分と感じるかどうかお答えください。（○はそれぞれ１つずつ）","生物の生息環境の保全","わからない","60","46.5"
"202003","区の取組","Q9. 環境に関する現在の区の取組状況が十分と感じるかどうかお答えください。（○はそれぞれ１つずつ）","生物の生息環境の保全","無回答","7","5.4"
"202003","区の取組","Q9. 環境に関する現在の区の取組状況が十分と感じるかどうかお答えください。（○はそれぞれ１つずつ）","環境学習・環境教育","十分","6","4.7"
"202003","区の取組","Q9. 環境に関する現在の区の取組状況が十分と感じるかどうかお答えください。（○はそれぞれ１つずつ）","環境学習・環境教育","まあ十分","24","18.6"
"202003","区の取組","Q9. 環境に関する現在の区の取組状況が十分と感じるかどうかお答えください。（○はそれぞれ１つずつ）","環境学習・環境教育","やや不十分","16","12.4"
"202003","区の取組","Q9. 環境に関する現在の区の取組状況が十分と感じるかどうかお答えください。（○はそれぞれ１つずつ）","環境学習・環境教育","不十分","17","13.2"
"202003","区の取組","Q9. 環境に関する現在の区の取組状況が十分と感じるかどうかお答えください。（○はそれぞれ１つずつ）","環境学習・環境教育","わからない","59","45.7"
"202003","区の取組","Q9. 環境に関する現在の区の取組状況が十分と感じるかどうかお答えください。（○はそれぞれ１つずつ）","環境学習・環境教育","無回答","7","5.4"
"202003","区の取組","Q9. 環境に関する現在の区の取組状況が十分と感じるかどうかお答えください。（○はそれぞれ１つずつ）","区民や事業者の環境保全活動への支援","十分","6","4.7"
"202003","区の取組","Q9. 環境に関する現在の区の取組状況が十分と感じるかどうかお答えください。（○はそれぞれ１つずつ）","区民や事業者の環境保全活動への支援","まあ十分","24","18.6"
"202003","区の取組","Q9. 環境に関する現在の区の取組状況が十分と感じるかどうかお答えください。（○はそれぞれ１つずつ）","区民や事業者の環境保全活動への支援","やや不十分","16","12.4"
"202003","区の取組","Q9. 環境に関する現在の区の取組状況が十分と感じるかどうかお答えください。（○はそれぞれ１つずつ）","区民や事業者の環境保全活動への支援","不十分","17","13.2"
"202003","区の取組","Q9. 環境に関する現在の区の取組状況が十分と感じるかどうかお答えください。（○はそれぞれ１つずつ）","区民や事業者の環境保全活動への支援","わからない","59","45.7"
"202003","区の取組","Q9. 環境に関する現在の区の取組状況が十分と感じるかどうかお答えください。（○はそれぞれ１つずつ）","区民や事業者の環境保全活動への支援","無回答","7","5.4"

"港区の環境に関する事業者アンケート調査結果・単純集計表・区の取組Q9","Ver202003",,,,,
