"年度","区分","自立訓練(機能訓練) 30歳以下[人]","自立訓練(機能訓練) 31～40歳[人]","自立訓練(機能訓練) 41～50歳[人]","自立訓練(機能訓練) 51～60歳[人]","自立訓練(機能訓練) 61～70歳[人]","自立訓練(機能訓練) 71歳以上[人]","自立訓練(機能訓練) 合計[人]","区単独機能訓練 重複障害者機能訓練[人]","区単独機能訓練 高次脳機能障害者機能訓練[人]","区単独機能訓練 学齢児機能訓練[人]","区単独機能訓練 合計[人]"
"2014","合計","2","1","1","5","4","0","13","12","3","13","28"
"2015","合計","2","2","3","5","4","0","16","12","3","14","29"
"2016","合計","0","2","2","8","4","0","16","14","4","14","32"
"2017","合計","0","2","2","6","3","0","13","15","6","14","35"
"2018","性別 男","0","2","3","2","0","0","7","4","1","7","12"
"2018","性別 女","0","0","2","0","0","0","2","10","4","6","20"
"2018","障害別 脳血管疾患","0","1","3","1","0","0","5","0","4","0","4"
"2018","障害別 神経・筋疾患","0","0","0","1","0","0","1","0","0","0","0"
"2018","障害別 脳性麻痺","0","0","0","0","0","0","0","7","0","2","9"
"2018","障害別 その他","0","1","2","0","0","0","3","7","1","11","19"
"2018","身体障害者手帳 １・２級","0","1","4","2","0","0","7","14","0","12","26"
"2018","身体障害者手帳 ３・４級","0","1","1","0","0","0","2","0","1","1","2"
"2018","身体障害者手帳 ５・６級","0","0","0","0","0","0","0","0","0","0","0"
"2018","身体障害者手帳 相互利用 知的障害",,,,,,,,"0","0","0","0"
"2018","身体障害者手帳 手帳なし",,,,,,,,"0","4","0","4"

"令和元年度港区行政資料集　障害保健福祉センター機能訓練等利用状況","Ver201903",,,,,,,,,,,
