児童相談所名,所在地郵便番号（〒）,所在地,電話,ＦＡＸ,担当地域,最寄駅
児童相談センター,169[sanitize]0074,新宿区北新宿４[sanitize]６[sanitize]１,03[sanitize]5937[sanitize]2311,03[sanitize]3366[sanitize]6036,練馬区、小笠原支庁,ＪＲ高田馬場駅から都バス小滝橋下車／ＪＲ大久保駅及び東中野駅、新宿西口から関東バス小滝橋車庫前下車／地下鉄東西線落合駅
児童相談センター,169[sanitize]0074,新宿区北新宿４[sanitize]６[sanitize]１,03[sanitize]5937[sanitize]2314,03[sanitize]3366[sanitize]6036,渋谷区、文京区、大島支庁,ＪＲ高田馬場駅から都バス小滝橋下車／ＪＲ大久保駅及び東中野駅、新宿西口から関東バス小滝橋車庫前下車／地下鉄東西線落合駅
児童相談センター,169[sanitize]0074,新宿区北新宿４[sanitize]６[sanitize]１,03[sanitize]5937[sanitize]2317,03[sanitize]3366[sanitize]6036,新宿区、中央区、台東区、千代田区、八丈・三宅支庁,ＪＲ高田馬場駅から都バス小滝橋下車／ＪＲ大久保駅及び東中野駅、新宿西口から関東バス小滝橋車庫前下車／地下鉄東西線落合駅
北児童相談所,114[sanitize]0002,北区王子６[sanitize]１[sanitize]１２,03[sanitize]3913[sanitize]5421,03[sanitize]3913[sanitize]9048,北区,ＪＲ王子駅、地下鉄南北線王子神谷駅
品川児童相談所,140[sanitize]0001,品川区北品川３[sanitize]７[sanitize]２１,03[sanitize]3474[sanitize]5442,03[sanitize]3474[sanitize]5596,品川区、目黒区、大田区,京浜急行線新馬場駅
立川児童相談所,190[sanitize]0023,立川市柴崎町２[sanitize]２１[sanitize]１９,042[sanitize]523[sanitize]1321,042[sanitize]526[sanitize]0150,立川市、青梅市、昭島市、国立市、福生市、あきる野市、羽村市、瑞穂町、日の出町、檜原村、奥多摩町,ＪＲ立川駅、多摩モノレール立川南駅又は柴崎体育館駅
杉並児童相談所,167[sanitize]0052,杉並区南荻窪４[sanitize]２３[sanitize]６,03[sanitize]5370[sanitize]6001,03[sanitize]5370[sanitize]6005,杉並区、武蔵野市、三鷹市,ＪＲ又は地下鉄丸ノ内線荻窪駅
江東児童相談所,135[sanitize]0051,江東区枝川３[sanitize]６[sanitize]９,03[sanitize]3640[sanitize]5432,03[sanitize]3640[sanitize]5466,墨田区、江東区,ＪＲ潮見駅／地下鉄東西線木場駅及び有楽町線豊洲駅から都バス枝川二丁目下車
小平児童相談所,187[sanitize]0002,小平市花小金井１[sanitize]３１[sanitize]２４,042[sanitize]467[sanitize]3711,042[sanitize]467[sanitize]5241,小平市、小金井市、東村山市、国分寺市、西東京市、東大和市、清瀬市、東久留米市、武蔵村山市,西武新宿線花小金井駅
八王子児童相談所,193[sanitize]0931,八王子市台町３[sanitize]１７[sanitize]３０,042[sanitize]624[sanitize]1141,042[sanitize]624[sanitize]3865,八王子市、町田市、日野市,ＪＲ西八王子駅
足立児童相談所,123[sanitize]0845,足立区西新井本町３[sanitize]８[sanitize]４,03[sanitize]3854[sanitize]1181,03[sanitize]3890[sanitize]3689,足立区、葛飾区,日暮里・舎人ライナー江北駅、又は東武伊勢崎線西新井駅から都バス足立第五中学校前下車
多摩児童相談所,206[sanitize]0024,多摩市諏訪２[sanitize]６,042[sanitize]372[sanitize]5600,042[sanitize]373[sanitize]6200,多摩市、府中市、調布市、稲城市、狛江市,京王相模原線京王永山駅、又は小田急多摩線小田急永山駅
