"年度","区分","小学校・低学年[人]","小学校・高学年[人]","中学生[人]","高校生[人]","合計[人]"
"2020",,"8","6","1","2","17"
"2021","障害別 知的障害","10","6","1","1","18"
"2021","障害別 身体障害","10","6","1","1","18"
"2021","障害別 重複障害","10","6","1","1","18"
"2021","障害等級 愛の手帳 １度","0","2","0","0","2"
"2021","障害等級 愛の手帳 ２度","3","2","1","0","6"
"2021","障害等級 愛の手帳 ３度","0","0","0","1","1"
"2021","障害等級 身体障害者手帳　１級","9","2","1","0","12"
"2021","障害等級 身体障害者手帳　２級","2","3","0","1","6"
"2021","障害等級 身体障害者手帳　３級","0","0","0","0","0"
"2021","障害等級 身体障害者手帳　４級","0","0","0","0","0"

"令和4年度港区行政資料集　障害保健福祉センター放課後等デイサービス事業","Ver202203",,,,,
