"年月[西暦]","調査項目","設問","調査回答者の属性種別","調査回答者の属性","調査数[人]","知っている（使用したことがある）[人]","知っているが 使用したことはない[人]","知らないが使用してみたい[人]","知らないし使用してみたいとも思わない[人]","無回答[人]"
"202203","やさしい日本語","Q32. 区では、外国人の地域参画と協働を推進するために、「やさしい日本語」の取組を実施しています。あなたは、「やさしい日本語」を知っていますか 。","全体",,"558","22","97","252","171","16"
"202203","やさしい日本語","Q32. 区では、外国人の地域参画と協働を推進するために、「やさしい日本語」の取組を実施しています。あなたは、「やさしい日本語」を知っていますか 。","性・年代別","男性（計）","231","8","36","91","94","2"
"202203","やさしい日本語","Q32. 区では、外国人の地域参画と協働を推進するために、「やさしい日本語」の取組を実施しています。あなたは、「やさしい日本語」を知っていますか 。","性・年代別","男性 18～29歳","13","3","3","5","2","0"
"202203","やさしい日本語","Q32. 区では、外国人の地域参画と協働を推進するために、「やさしい日本語」の取組を実施しています。あなたは、「やさしい日本語」を知っていますか 。","性・年代別","男性 30～39歳","38","0","6","12","20","0"
"202203","やさしい日本語","Q32. 区では、外国人の地域参画と協働を推進するために、「やさしい日本語」の取組を実施しています。あなたは、「やさしい日本語」を知っていますか 。","性・年代別","男性 40～49歳","50","2","11","21","16","0"
"202203","やさしい日本語","Q32. 区では、外国人の地域参画と協働を推進するために、「やさしい日本語」の取組を実施しています。あなたは、「やさしい日本語」を知っていますか 。","性・年代別","男性 50～59歳","47","1","7","22","17","0"
"202203","やさしい日本語","Q32. 区では、外国人の地域参画と協働を推進するために、「やさしい日本語」の取組を実施しています。あなたは、「やさしい日本語」を知っていますか 。","性・年代別","男性 60～69歳","42","2","6","17","16","1"
"202203","やさしい日本語","Q32. 区では、外国人の地域参画と協働を推進するために、「やさしい日本語」の取組を実施しています。あなたは、「やさしい日本語」を知っていますか 。","性・年代別","男性 70歳以上","40","0","3","13","23","1"
"202203","やさしい日本語","Q32. 区では、外国人の地域参画と協働を推進するために、「やさしい日本語」の取組を実施しています。あなたは、「やさしい日本語」を知っていますか 。","性・年代別","男性 無回答","1","0","0","1","0","0"
"202203","やさしい日本語","Q32. 区では、外国人の地域参画と協働を推進するために、「やさしい日本語」の取組を実施しています。あなたは、「やさしい日本語」を知っていますか 。","性・年代別","女性（計）","313","14","61","160","75","3"
"202203","やさしい日本語","Q32. 区では、外国人の地域参画と協働を推進するために、「やさしい日本語」の取組を実施しています。あなたは、「やさしい日本語」を知っていますか 。","性・年代別","女性 18～29歳","26","2","7","11","6","0"
"202203","やさしい日本語","Q32. 区では、外国人の地域参画と協働を推進するために、「やさしい日本語」の取組を実施しています。あなたは、「やさしい日本語」を知っていますか 。","性・年代別","女性 30～39歳","49","1","9","27","12","0"
"202203","やさしい日本語","Q32. 区では、外国人の地域参画と協働を推進するために、「やさしい日本語」の取組を実施しています。あなたは、「やさしい日本語」を知っていますか 。","性・年代別","女性 40～49歳","78","4","17","41","16","0"
"202203","やさしい日本語","Q32. 区では、外国人の地域参画と協働を推進するために、「やさしい日本語」の取組を実施しています。あなたは、「やさしい日本語」を知っていますか 。","性・年代別","女性 50～59歳","62","4","13","35","10","0"
"202203","やさしい日本語","Q32. 区では、外国人の地域参画と協働を推進するために、「やさしい日本語」の取組を実施しています。あなたは、「やさしい日本語」を知っていますか 。","性・年代別","女性 60～69歳","56","1","11","28","16","0"
"202203","やさしい日本語","Q32. 区では、外国人の地域参画と協働を推進するために、「やさしい日本語」の取組を実施しています。あなたは、「やさしい日本語」を知っていますか 。","性・年代別","女性 70歳以上","42","2","4","18","15","3"
"202203","やさしい日本語","Q32. 区では、外国人の地域参画と協働を推進するために、「やさしい日本語」の取組を実施しています。あなたは、「やさしい日本語」を知っていますか 。","性・年代別","女性 無回答","0","0","0","0","0","0"
