区分,男女計／実数（千人、％）,男女計／前年同期（千人、％）,男女計／対前年同期／増減数（千人、ポイント）,男女計／対前年同期／増減率（％）,男／実数（千人、％）,男／前年同期（千人、％）,男／対前年同期／増減数（千人、ポイント）,男／対前年同期／増減率（％）,女／実数（千人、％）,女／前年同期（千人、％）,女／対前年同期／増減数（千人、ポイント）,女／対前年同期／増減率（％）
15歳以上人口,11301,11234,67,0.6,5605,5572,33,0.6,5696,5662,34,0.6
〔就業状態〕／労働力人口,7109,7036,73,1,4259,4247,12,0.3,2850,2788,62,2.2
〔就業状態〕／労働力人口／就業者数,6851,6723,128,1.9,4107,4054,53,1.3,2744,2669,75,2.8
〔就業状態〕／労働力人口／就業者数／自営業主数,560,554,6,1.1,412,428,-16,-3.7,148,126,22,17.5
〔就業状態〕／労働力人口／就業者数／家族従業者数,141,143,-2,-1.4,24,24,0,0,117,119,-2,-1.7
〔就業状態〕／労働力人口／就業者数／雇用者数,6113,5973,140,2.3,3650,3580,70,2,2463,2393,70,2.9
〔就業状態〕／労働力人口／就業者数／雇用者数／うち常雇,5300,5056,244,4.8,3376,3259,117,3.6,1924,1797,127,7.1
〔就業状態〕／労働力人口／完全失業者数,258,313,-55,-17.6,152,194,-42,-21.6,106,119,-13,-10.9
〔就業状態〕／非労働力人口,4185,4193,-8,-0.2,1344,1321,23,1.7,2841,2873,-32,-1.1
〔就業者の活動状況別内訳〕／就業者数（再掲）,6851,6723,128,1.9,4107,4054,53,1.3,2744,2669,75,2.8
〔就業者の活動状況別内訳〕／就業者数（再掲）／従業者数,6698,6601,97,1.5,4030,4001,29,0.7,2668,2600,68,2.6
〔就業者の活動状況別内訳〕／就業者数（再掲）／従業者数／主に仕事,5744,5643,101,1.8,3895,3859,36,0.9,1850,1784,66,3.7
〔就業者の活動状況別内訳〕／就業者数（再掲）／従業者数／家事などのかたわらに仕事,764,764,0,0,42,39,3,7.7,721,725,-4,-0.6
〔就業者の活動状況別内訳〕／就業者数（再掲）／従業者数／通学のかたわらに仕事,190,195,-5,-2.6,93,104,-11,-10.6,97,91,6,6.6
〔就業者の活動状況別内訳〕／就業者数（再掲）／休業者数,153,121,32,26.4,77,52,25,48.1,76,69,7,10.1
〔就業者の主な産業別内訳〕／建設業,511,472,39,8.3,427,393,34,8.7,83,80,3,3.8
〔就業者の主な産業別内訳〕／製造業,900,911,-11,-1.2,647,638,9,1.4,253,274,-21,-7.7
〔就業者の主な産業別内訳〕／情報通信業,555,533,22,4.1,412,414,-2,-0.5,143,119,24,20.2
〔就業者の主な産業別内訳〕／運輸業,354,375,-21,-5.6,291,309,-18,-5.8,63,66,-3,-4.5
〔就業者の主な産業別内訳〕／卸売・小売業,1230,1202,28,2.3,654,625,29,4.6,576,577,-1,-0.2
〔就業者の主な産業別内訳〕／金融・保険業,282,217,65,30,156,123,33,26.8,126,95,31,32.6
〔就業者の主な産業別内訳〕／不動産業,205,208,-3,-1.4,118,123,-5,-4.1,87,85,2,2.4
〔就業者の主な産業別内訳〕／飲食店，宿泊業,455,404,51,12.6,210,187,23,12.3,245,216,29,13.4
〔就業者の主な産業別内訳〕／医療，福祉,480,490,-10,-2,129,140,-11,-7.9,352,351,1,0.3
〔就業者の主な産業別内訳〕／教育，学習支援業,292,272,20,7.4,123,143,-20,-14,169,129,40,31
〔就業者の主な産業別内訳〕／サービス業（他に分類されないもの）,1245,1225,20,1.6,709,681,28,4.1,536,544,-8,-1.5
〔雇用者の主な産業別内訳〕／建設業,417,399,18,4.5,344,328,16,4.9,72,71,1,1.4
〔雇用者の主な産業別内訳〕／製造業,844,842,2,0.2,614,593,21,3.5,230,250,-20,-8
〔雇用者の主な産業別内訳〕／情報通信業,538,516,22,4.3,397,402,-5,-1.2,141,114,27,23.7
〔雇用者の主な産業別内訳〕／運輸業,321,333,-12,-3.6,259,269,-10,-3.7,62,65,-3,-4.6
〔雇用者の主な産業別内訳〕／卸売・小売業,1130,1098,32,2.9,597,564,33,5.9,533,534,-1,-0.2
〔雇用者の主な産業別内訳〕／金融・保険業,273,213,60,28.2,149,120,29,24.2,124,93,31,33.3
〔雇用者の主な産業別内訳〕／不動産業,167,183,-16,-8.7,101,108,-7,-6.5,66,75,-9,-12
〔雇用者の主な産業別内訳〕／飲食店，宿泊業,378,334,44,13.2,173,154,19,12.3,206,180,26,14.4
〔雇用者の主な産業別内訳〕／医療，福祉,444,440,4,0.9,104,109,-5,-4.6,339,330,9,2.7
〔雇用者の主な産業別内訳〕／教育，学習支援業,270,247,23,9.3,122,134,-12,-9,148,113,35,31
〔雇用者の主な産業別内訳〕／サービス業（他に分類されないもの）,1044,1030,14,1.4,591,558,33,5.9,453,472,-19,-4
〔非農林業雇用者の従業者規模別内訳〕／総数,6104,5967,137,2.3,3645,3575,70,2,2460,2393,67,2.8
〔非農林業雇用者の従業者規模別内訳〕／総数／１～29人規模,1807,1886,-79,-4.2,1046,1105,-59,-5.3,761,781,-20,-2.6
〔非農林業雇用者の従業者規模別内訳〕／総数／30～499人規模,1915,1824,91,5,1160,1067,93,8.7,755,757,-2,-0.3
〔非農林業雇用者の従業者規模別内訳〕／総数／500人以上規模,1969,1783,186,10.4,1237,1120,117,10.4,732,663,69,10.4
〔完全失業率（年齢階級別）(%)〕／総数,3.6,4.4,-0.8,,3.6,4.6,-1,,3.7,4.3,-0.6,
〔完全失業率（年齢階級別）(%)〕／総数／15～24歳,4.9,8.1,-3.2,,4.2,8.9,-4.7,,5.3,7.2,-1.9,
〔完全失業率（年齢階級別）(%)〕／総数／25～34歳,5.1,5.5,-0.4,,5.1,6.5,-1.4,,5.1,4.2,0.9,
〔完全失業率（年齢階級別）(%)〕／総数／35～44歳,3.9,3.8,0.1,,3.6,3.5,0.1,,4.4,4.5,-0.1,
〔完全失業率（年齢階級別）(%)〕／総数／45～54歳,2.4,3.5,-1.1,,2.4,2.7,-0.3,,2.5,4.6,-2.1,
〔完全失業率（年齢階級別）(%)〕／総数／55～64歳,2.5,4,-1.5,,2.6,4.5,-1.9,,2.3,3.1,-0.8,
〔完全失業率（年齢階級別）(%)〕／総数／65歳以上,2.6,2.7,-0.1,,3.3,2.9,0.4,,1.4,2.2,-0.8,
〔労働力人口比率(%)〕／総数,62.9,62.6,0.3,,76,76.2,-0.2,,50,49.2,0.8,
,,,,,,,,,,,,
東京の労働力統計データ（平成20年１～３月期平均）,,,,,,,,,,,,
第１表　就業状態別15歳以上人口、産業別就業者数及び完全失業者数,,,,,,,,,,,,
平成20年１～３月期平均,,,,,,,,,,,,
注1)15歳以上人口及び就業者数には、不詳を含む。,,,,,,,,,,,,
注2)非農林業雇用者の従業者規模別内訳の総数には、官公・従業者規模不詳を含むため、規模別内訳を積み上げても、総数と一致しない。,,,,,,,,,,,,
